19:34:001:1	Atí'él'į́ bits'ąą yisdá'iildéehii baa ha'niih
19:34:001:0	T'áá áłahjį' Bóhólníihii baa hashniih doo; t'ááłáhígi át'éego baa hashniih doo. 
19:34:002:0	Shii' sizíinii éí Bóhólníihii yaa haniih doo; a'ohgo ádaat'éii yaa dahodiizts'ą́ą'go bił dahózhǫ́ǫ doo. 
19:34:003:0	Bóhólníihii t'áá íiyisí shił baa dahohniih; haa'íyee' t'áá ahąąh t'áá áníiltso Bóhólníihii bízhi' ayóó át'éego ádadiilnííł! 
19:34:004:0	Bóhólníihii hanishtáago shich'į' ééhoosįįd, áádóó bik'ee shił yée'ii t'áá ałtso yits'ąą yisdáshííłtį́. 
19:34:005:0	Diyin God yich'į' dadéé'į́į'go bił dahóózhǫǫd, áádóó ts'ídá doo yádadínóozįįł da. 
19:34:006:0	Diné hojooba' át'éii nishłíinii Bóhólníihii bich'į' sodeeszingo shidiizts'ą́ą́', áádóó bee shich'į' nahwii'náanii t'áá át'é bii'dę́ę́' yisdáshííłtį́. 
19:34:007:0	Bóhólníihii bidiyingo naal'a'í éí dabidósinii binaagóó yináhooleeł, áádóó yisdábiinííł. 
19:34:008:0	Shoo, dasoolįhgo Bóhólníihii yá'át'éehii jílį́įgo nihił béédahodoozįįł! Bóhólníihii beijólíii éí hak'ihojidlí! 
19:34:009:0	Bidiyį́į́' danohłíinii, Bóhólníihii dadíínóhsin, háálá dabidísinii t'áadoo yídin danilíní da! 
19:34:010:0	Náshdóí yáázh bitsiijį' daditł'ooígíí t'áá báa'da nidaakai áádóó dichin yééda'oo'nííh, nidi Bóhólníihii yich'į' dadéez'į́į'ii éí yá'át'éehii doo bi'oh neel'ą́ą da doo. 
19:34:011:0	Hágo, sha'áłchíní, dashíísółts'ą́ą́'; Bóhólníihii dólzingi bínanihinishtin doo. 
19:34:012:0	Háí diné shį́įshą' iiná bee ní'deeshdįįł, áádóó yá'át'éehgo shíyoołkáał doo nízin? 
19:34:013:0	Saad doo adaaníinii bits'ąą ádaa áhólyą́, áádóó t'áadoo nina'adlo'go yáníłti'í. 
19:34:014:0	Doo yá' ádaat'éehii bits'ánínáahgo yá'át'éehii baa nanináa doo; bee ach'į' hózhǫ́ náhásdlį́į'ii hánít'į́įgo dziil bee bíká ánít'į́į doo. 
19:34:015:0	T'áá ákogi ádajít'éii Bóhólníihii hak'i déez'į́į́', índa bich'į' sodazdilzingo hwíists'ą́ą́'. 
19:34:016:0	Doo yá'át'ééhgóó ádajooníiłii éí nahasdzáán bikáá'dóó haa dahodiyoo'nah biniyé Bóhólníihii honíł'į́įgo hak'ijį' nilį́. 
19:34:017:0	T'áá ákogi ádaat'éii, Shíká anilyeed, daaníigo nída'ookąąhii Bóhólníihii bidiits'a', áko bee bich'į' nidahwii'náanii t'áá ałtso yits'ąą yisdáyiinííł. 
19:34:018:0	Yínííł ádajít'éii Bóhólníihii hwíighahgi hólǫ́, áádóó níłch'i hwii' sizíinii tídáánáanii yisdáyiinííł. 
19:34:019:0	Diné t'áá ákogi ááníiłii yik'ee ti'hooníihii t'óó ahayóí, nidi éí t'áá át'é yits'ąą Bóhólníihii yisdábiiłteeh. 
19:34:020:0	Hats'in t'áá át'é há yaa áhályą́; t'áadoo ła' k'é'éltǫ' da. 
19:34:021:0	Diné doo yá'áshóonii hadoo yá'áshǫ' náhodiyoolyééł, áádóó t'áá ákogi ádaaníiłii deijoołxáii éí bá nidahodiyoot'ááł. 
19:34:022:0	Bóhólníihii bá nidaal'a'í bii' naazíinii yik'é niná'ídláago hááyoo'nil; haa dadzólíii doo ła' bá nidahodiyoot'áał da.
