19:64:001:1	Ana'í nant'inii bits'ąą adoodzih biniyé sohodizin
19:64:001:0	Diyin God nílíinii, sodiszingo shiinéé' diits'į́į́h. Shi'ana'í bik'ee shił yé'ígíí bits'ąą shaa áhólyą́. 
19:64:002:0	Diné doo yá'ádaashóonii t'áá nahont'inee shindaha'áago doo ákwii ádaaníiłii shide nídahidiikáahii bits'ąą náshidíł'įįh. 
19:64:003:0	Diltłish deeníinii nahalingo dabitsoo' yee saad da'digishii yee ayánínáda'niiltih. K'aa' bee éézhnítah nahalingo saad bik'i da'ashch'íi'ii yee éédantah. 
19:64:004:0	Áko diné t'áadoo bee bik'íhót'ahí daígíí nahont'indę́ę́' dayółt'óóh. T'áadoo hooyání dahółt'óohgo doo bił daayée' da. 
19:64:005:0	Doo yá'áshóonii yiniyé ádaat'íinii yéego yąąh dashijéé'. T'áá nahont'inee łoh nidadii'nił, daaníigo yaa yádaałti'. Ádeinízin, Háísh deidoołtsééł? 
19:64:006:0	Doo ákwii ádadooníłígíí yíká da'íłkeed. K'ad lá índa bindahosiigiz ni, daaní. Áko yaa nitsídaakeesii índa bijéí biyi'di ádahoot'éii doo bééjółkááh át'ée da. 
19:64:007:0	Nidi Diyin God éí k'aa' yee hodoołkah. T'áadoo kót'é ílíní k'adahodi'doolk'eh. 
19:64:008:0	Áko hazaad danichxǫ́'ígíí t'áá hó hak'ijį' nídadoodleeł. Diné hak'i dahaghaałígíí t'áá ałtso hak'ee yóó'adoojah. 
19:64:009:0	Áko diné t'áá ałtso bił yéé' dahodooleełgo Diyin God yinaashnishii yaa dahalne' doo. Háálá Diyin God yaa naayáii hazhó'ó yaa nitsídaakees doo. 
19:64:010:0	T'áá ákogi ádaat'éii éí Bóhólníihii binahjį' bił dahózhǫ́ǫ doo áádóó yaa deidzólíi doo. Bijéí yee t'áá ákóne' ádaat'éii t'áá ałtso yaa dahaniih doo.
