19:35:001:1	Ana'í bits'ąą yisdáshííłtį́ bá sohodizin
19:35:001:0	Bóhólníihii nílíinii, shighada'dit'áahii shá bighadi'nít'aah; shił da'ahigáanii shá bił da'ahígą́! 
19:35:002:0	Béésh téél ách'ą́ą́h dah yit'áałii índa naagé nídiinííł índa díldzíiłgo shíká anilyeed! 
19:35:003:0	Nidashiniłchéii tsiidétáán bich'į' bił handeeł! Shii' sizíinii ábidiní, Shí yisdánííłtíinii nishłį́! 
19:35:004:0	Shizéé' nideii'áhígíí háni'dii t'áadoo danilínígóó áádóó t'óó baa yáhásinígi ádabi'dilnééh! Doo yá'át'ééhgóó shindahagizgo atídashiléhígíí bíni' t'ą́ą́' anábidi'nilkaadgo yaa yádaniizįįh! 
19:35:005:0	Háni'dii azhool bił deíyółígi át'éego Bóhólníihii bidiyingo naal'a'í binoołkał le'! 
19:35:006:0	Bóhólníihii bidiyingo naal'a'í binoołkałgo háni'dii t'áá chahałheełgóó índa hwíídéeltǫ'góó dazhnéechéeh le'! 
19:35:007:0	Háálá t'áadoo biniinaanígóó shiniyé a'áán góyaa łoh nídeidees'į́į́'; t'áadoo biniinaanígóó she'iina' yiniyé hadah hwiizgeed. 
19:35:008:0	T'áadoo dilyésí bíni' ábi'dildįįh! Áádóó bíni' łoh néidees'į́į'ii t'áá bí yiih nídoodááł; bíni' ábidoołdįįłii yiih yitłíísh! 
19:35:009:0	Ákohgo shii' sizíinii Bóhólníihii yaa bił hózhǫ́ǫ doo; bibee yisdá'iildéehii yaa bił nihoozhǫǫh doo. 
19:35:010:0	T'áá sézį́į́ nít'éé' ádideeshniił, Diné bahojoobá'íii diné ła' bilááh ábóodziilgo atíbíł'íinii bits'ą́ąjį' yisdádííłtéełii, aoo', bahojoobá'íii áádóó hojooba' has'áanii bigha'ii'níiłii bits'ą́ąjį' yisdádííłtéełii, Bóhólníihii nílíinii, háishą' nigi át'é? 
19:35:011:0	Doo t'áá aaníígóó dahalne'ii shich'į' nídahidiikááh; t'áadoo shił bééhózinii yee shik'ídaha'ááh. 
19:35:012:0	Yá'át'éehii bideená doo yá'áshóonii shich'į' ninádayiidlé; éí bąą shii' sizíinii yínííł nilį́. 
19:35:013:0	Nidi bitah dahoneezgai yę́ędą́ą́' shí éiyá baa yínííł naasháago tł'oh yishbizhii shi'éé' nít'éé'; shii' sizíinii ádaa hojoolbá'ígo doo ashą́ą́góó í'diishyaa. Nidi bá sodiszinii t'áadoo násdlį́'ígóó t'óó shik'ijį' t'ą́ą́' nináhádleeh, 
19:35:014:0	shik'is, éí doodaléi' bił háí'áázh bąąh shíni' nahalingo, doodaii' ła' hamá baa jicha nahalingo yaa ánísht'éego atínídinishdleeh nít'éé'. 
19:35:015:0	Nidi ch'ééh ásht'į́įgo baa bił dahóózhǫǫdgo shiniyé áłah silį́į́'; t'áá aaníí doo ádił dandlíinii doo béédahasinígíí shiniyé áłah silį́į'go t'áadoo áádahoot'įįhí dashijoołáago shá nidahałt'i'. 
19:35:016:0	Áda'azįįdgi Diyin God doo deidísinii á nidahałt'i'ígi át'éego shich'į' biwoo' ahídeidiłk'ash. 
19:35:017:0	Bóhólníihii nílíinii, haashą' nízáagi t'óó nináał doo? Yee atída'ał'íinii bits'ą́ąjį' shii' sizíinii yisdáníłteeh; náshdóítsoh bitsiijį' daditł'ooígíí bits'ą́ąjį' t'áá shí she'iina' yisdáníłteeh! 
19:35:018:0	Ayóó át'é áłah ílį́įgi nich'į' ahééh nisin doo, diné ayóó ánéelą́ą́' bichádahilzhołgi naa hashniih doo. 
19:35:019:0	T'áadoo biniinaanígóó shi'ana'í danilíinii doo shaa bił dahózhǫ́ǫ da le'; t'áadoo baanígóó shik'ee dadiniihii t'áadoo bił dahózhǫ́ǫgo dashidi'niihí le'. 
19:35:020:0	Háálá doo k'é dandzingo yádaałti' da, nidi t'áadoo íits'a'í kéédahat'íinii na'adlo' saad yee yindahagiz. 
19:35:021:0	Tłeheeyéii', daaníigo bizéé' nídahodits'ǫ'go shaa daadloh. Nihináá' yee' bee dahwiiltsą́! daaní. 
19:35:022:0	Bóhólníihii nílíinii, díí yiniłtsą́; t'áadoo t'óó dííníłhélí! Bóhólníihii nílíinii, t'áadoo nízaadi shits'ą́ądi honílóní! 
19:35:023:0	ShiDiyin God áádóó shiBóhólníihii nílíinii, díldzííł; biniyé ásht'íinii biniyé shá díldzíiłgo hazhó'ó shá baa nánít'įįh! 
19:35:024:0	Bóhólníihii shiDiyin God nílíinii, t'áá ákogi ánít'éhígíí bik'ehgo shaa nánít'įįh; t'áadoo shaa bił dahózhóní le'! 
19:35:025:0	T'áá biyi'ídi, Ts'íigo, ts'íigo lą́ą! laanaa daniidzinii nihá bohoolyaa, t'áadoo daaníní. Adahosiilna'; ałdó' t'áadoo daaníní le'. 
19:35:026:0	Atíshi'dil'į́įgo yaa bił dahózhóonii bíni'dii t'óó bił ałtaa daha'a'go t'óó baa yáhásinígi ádabi'dólnééh! Shich'į' ayóó át'é áńda'diil'įįhii bíni'dii doo ił ílį́, índa baa yáhásinii béédaháastł'ingo ádabi'dólne'! 
19:35:027:0	T'áá ákogi át'é shá bidíníniidii yídin danilíinii éí bíni'dii yéego bił dahózhǫ́ǫgo ádaaníi le'; t'áá aaníí, bíni' áłahjį' kódaaníi doo, Bóhólníihii ayóó át'éii nilį́; bá naal'a'í yá'át'éehgo dah ooléłígíí bił nihooshǫǫh! 
19:35:028:0	Áádóó t'áá ákogi ánít'éhígíí índa bee naa ha'niihígíí t'áá áłahjį' bee naa yáshti' dooleeł.
