19:141:001:1	Doo yá'át'éehii bich'ą́ą́h sohodizin
19:141:001:0	Bóhólníihii nílíinii, nánooshkąąhgo nich'į' sodiszin, tsį́įłgo shaa honíleeh! Nánooshkąąhgo shííníłts'ą́ą́'! 
19:141:002:0	Háni'dii shisodizin nidááhdóó tsin bijeeh dilidgo łikání halchinii nahalin le'! Áádóó nich'į' dah nídidiishnihígíí éí e'e'áahgo nááhániihígíí nahalin le'! 
19:141:003:0	Bóhólníihii nílíinii, saad bee yáshti'ígíí bee ádaa áháshyą́ągo áshíínísin; shizéé' ąą ánáhát'įįhgi shá baa áhólyą́! 
19:141:004:0	Doo yá'ádaat'éehii ła', éí diné doo ákwii ádaat'íinii bił doo yá'áshóonii baa yisháał dooleełígíí shijéí t'áadoo yaa nitsíkeesgo áshíínísiní, áádóó bíni'dii bich'iyą' ałtaaskąądí doo ła' deeshį́įł da! 
19:141:005:0	Háni'dii diné t'áá ákogi át'éii shaa jooba'go atíshílééh, índa shich'ahashkée le', áko shitsiit'áagi ak'ah yá'át'éehii yąąh áyiilaii át'éego shitsiits'iin bik'i yaadzíid le'; ákondi hadoo ákwii ádaat'éii bik'ijį' sodiszin doo. 
19:141:006:0	Há dahwée'aahii tsédeíchii' góyaa hadah adabi'diistł'íidgo índa shizaad dajíists'ą́ą' doo, háálá éí saad yá'át'éehii át'é. 
19:141:007:0	Ła' ni' nihojiiłdlaadgo tsé nihidíl'á nahalingo danihits'in jishcháá' bizéé' yah ahóót'i'gi niheel'á. 
19:141:008:0	Nidi, Diyin God Bóhólníihii nílíinii, nich'į' dísh'į́į́'; niniit'aajį' adínéeshchéełgo nich'į' cho'oosh'į́; t'áá ákohígo shidóóchííd yíila'! 
19:141:009:0	Łoh shá nideiznilígíí bik'ee'ąą shił hahí'aash doo, áádóó doo ákwii ádaaníiłii biloh shá nideiznilígíí bits'ąą shaa áhólyą́! 
19:141:010:0	Diné doo yá'ádaashóonii tł'óół ahideełnádaastł'óonii shá nideiznilii bíni'dii t'áá bí yiih náłdaasgo shí éí yisdádeeshwoł.
