19:5:001:1	Aa áháyą́ą doo biniyé sohodizin
19:5:001:0	Bóhólníihii nílíinii, shizaad shá diits'į́į́h, áádóó baa nitséskeesii nabik'ítsíníłkees. 
19:5:002:0	Aláahgo shinanit'a'í, shiDiyin God nílíinii, chánahgo nánooshkąąhgo yíníłts'ą́ą́'; jó, nich'į' sodiszin. 
19:5:003:0	Bóhólníihii nílíinii, t'áá ákwíí abíní shiinéé' dinits'a' doo; abínígo nich'į' sonídíszįįhgo ha'ídínísh'į́į́'. 
19:5:004:0	Háálá Diyin God ni, doo yá'áshóonii doo baa nił hózhǫ́ǫ da; doo yá'át'éehii doo nił hólǫ́ǫ da. 
19:5:005:0	Diné ádaa ha'niihii nidáahgi doo deidoozįįł da; doo ákwii át'éii yaa deíkáahii t'áá ałtso jiiníłá. 
19:5:006:0	Dabiyooch'íidii áníłdįįh. Diné neiłtseedgo dił bits'ánílį́įgo ádeile'ii áádóó hona'adlo'ii éí Bóhólníihii hojoołá. 
19:5:007:0	Nidi shí sézį́įgi aa a'ááh nínízinii t'óó ahayóígíí bik'ehgo nikin góne' yah adeeshááł; nidíínísingo diyingo nikin bii' sohodizin si'áníjígo nahashłáa doo. 
19:5:008:0	Shida'ana'í hadasisídígíí biniinaa, Bóhólníihii nílíinii, t'áá ákogi ánít'éii bik'ehgo shiyííłááł; nee honít'i'ii shilą́ąjį' k'éhézdongo íínísin. 
19:5:009:0	Háálá doo ba'jóolíí át'éégóó yádaałti'; atí'doolnííł t'éí bijéí biyi'di yee nitsídaakees; bidáyi' jishcháá' ąą áhoot'é nidahalin; saałką́ą́' yee yádaałti'. 
19:5:010:0	Diyin God nílíinii, éí ádidahodiilt'i'go bá handziih; háni'dii t'áá hó handahagiz bik'ee naa'anázhnídééh; t'óó ahayóígóó bee haz'áanii nidayiizti'go biniinaa ch'óhoniníłkaad, háálá nich'į' nidaalteeh. 
19:5:011:0	Nidi niniit'a dahinichéehii bíni'dii bił dahózhǫ́; bíni'dii t'áá áłahjį' bił dahózhǫ́ǫgo nich'į' dahataał, áádóó bich'ą́ą́h nahóle' doo; nízhi' ayóó'ádayó'níinii ałdó' bíni' t'áá íiyisí naa bił dahózhǫ́ǫ doo. 
19:5:012:0	Háálá, Bóhólníihii nílíinii, diné t'áá ákogi át'éii bik'ijiinídlí; naage'gi át'éego bee ach'oha'níinii honáhaazláago áhólééh.
