3:9:001:1	Éran éí náádahaniihii nááyiisnii'
3:9:001:0	Áádóó tseebíí yiską́ągo Mózes éí Éran áádóó biye'ké índa Ízrel dine'é yá aląąjį' naazíinii hágo yidííniid. 
3:9:002:0	Ákohgo Éran ííłní, Dóola yázhí éí ádił ni'iidzííhjí nááhániihii át'éego índa deenásts'aa' éí didlidgo nááhániihii át'éego t'áá áłah hadaałt'éii nídii'éeshgo Bóhólníihii binááł nááhidííłnih. 
3:9:003:0	Áádóó Ízrel dine'é ábidiní, Tł'ízíchǫǫh éí ádił ni'iidzííhjí nááhániihii át'éego áádóó dóola yázhí índa dibé yázhí éí t'áá áłah ła' binááhaí hadaałt'éii didlidgo nááhániihii át'éego nídadidooh'ish. 
3:9:004:0	Áádóó dóola yázhí índa deenásts'aa' éí hózhǫ́ǫ́jí nááhániihii át'éego Bóhólníihii binááł náádahidoołnih, áádóó ak'áán éí ak'ah bił ałtahgo nááhániihii náádahidoołnih; jó, díí jį́ Bóhólníihii nihich'į' yit'íní ídi'doolnííł. 
3:9:005:0	Áko Mózes hach'į' yee haadzí'ígíí bik'ehgo níbaal bii' dahozdísinii bich'éédą́ą'jį' nidajiizh'eezh áádóó Ízrel dine'é t'áá át'é áháníjį' niikaigo Bóhólníihii yinááł naazį́. 
3:9:006:0	Áádóó Mózes ání, Díí éí ádadoohníiłgo Bóhólníihii yee nihá haadzíí', áko Bóhólníihii bee bi'oh adidilyéehii nihich'į' ííshjání dooleeł. 
3:9:007:0	Ákohgo Mózes éí Éran ííłní, Nílááh, bikáá' náá'iiniihí bich'į' ninínááh, áádóó ádił oodzíí'jí nááhidííłnihígíí índa didlidgo nááhidííłnihígíí éí bee k'ééhodííłdǫǫłii ádá nááhidííłnih, áádóó Ízrel dine'é índa nááhidoonihii náádeidiyoołnihígíí éí bee k'ééhodíí łdǫǫłii bá nááhidííłnih; jó, Bóhólníihii ákót'éego yee haadzíí'.  
3:9:008:0	Áko Éran éí bikáá' náá'iiniihí bich'į' nizhníyáago dóola yázhí ádił ni'iidzííhjí nááhániihii t'áá hó ádá nááhizhdoołnihígíí jiisxį́. 
3:9:009:0	Áádóó haye'ké éí diłígíí haa deizką́, áko dił biishdoolnii'go éí dił ła' bikáá' náá'iiniihí bidee' dadeez'áhígíí bąąh ájiilaa, índa dił yidziihígíí éí bikáá' náá'iiniihí bitsį́įjį' yajiiziid. 
3:9:010:0	Nidi ak'ah áádóó atsą́ áshk'azhí índa azid bíighahgi ak'ahígíí éí ádił ni'iidzííhjí nááhániihii át'éego bikáá' náá'iiniihí bikáa'jį' jidííłid; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí bi'jiilaa. 
3:9:011:0	Áádóó atsį' índa akágí éí níbaal haal'á bits'áhwiiní'ą́ądi jidííłid. 
3:9:012:0	Áádóó didlidgo nááhidoonihígíí yiyiisxį́įgo éí bidiłígíí Éran haye'ké haa deizką́ągo bikáá' náá'iiniihí t'áá ałtsodę́ę́' bik'ídzístah. 
3:9:013:0	Áko didlidgo nááhániihii niheeshgizhígíí áádóó atsii'ígíí t'áá bił haa deiznilgo bikáá' náá'iiniihí bikáa'jį' jidííłid. 
3:9:014:0	Áádóó bitsą́ siláí índa ajáád éí táájízgiz áádóó bikáá' náá'iiniihí bikáa'jį' jidił idgo náájiisnii'. 
