3:10:001:1	Néídab áádóó Abáíhu ádił asiih
3:10:001:0	Áádóó Éran biye'ké Néídab áádóó Abáíhu éí tsin bijeeh dilidgo łikání halchinii bee naakáhí yee t'áá ał'ąą kǫ' néidiiką́ągo bikáa'gi tsin bijeeh dilidgo łikání halchinii niiníjaa', áádóó Bóhólníihii binááł kǫ' doo dílzinii nááyiisnii'; éí doo ádoolnííłgóó Bóhólníihii yee haadzíí' nít'éé'. 
3:10:002:0	Áko Bóhólníihii bits'ą́ą́dę́ę́' kǫ' hadadíínóodgo ahodííłk'ą́ą'go Bóhólníihii binááł jineezná. 
3:10:003:0	Ákohgo Mózes éí Éran ííłní, Bóhólníihii kóníigo díí yee haadzíí', Dinishyingo dashizdósingo shit'áahjį' nidajiikáah doo, áádóó diné t'áá ałtso binááł ayóó át'éego shaa ha'niihgo dashizdósin doo. Áko Éran t'óó déesyéél. 
3:10:004:0	Mózes éí Éran bidá'í Azáíyel biye'ké Mísheiyel áádóó Elzéífan hágo yidííniidgo ííłní, Kojį' ninoh'aashgo nihik'is yę́ę hodiyingo haz'ą́ą́dę́ę́' ch'ínóhjáahgo níbaal haal'á bits'áhwiiní'ą́ądi ninohjááh. 
3:10:002:1	Nááda'iiłniihii baa hidit'aahígíí áádóó bindaanishígíí
3:10:005:0	Ákohgo áyídíjį' bich'į' nizhní'áazhgo bi'éé' t'áá yii' shitéezhgo ch'ízhníjaa'go níbaal haal'á bits'áhwiiní'ą́ądi nizhníjaa'; Mózes áhodííniidígíí bi'jiilaa. 
3:10:006:0	Áádóó Mózes éí Éran índa biye'ké Eliyéízar áádóó Íthamar ííłní, Nihitsii' t'ááká bik'i da'doołtsóós lágo, danihi'éé' t'ááká ák'indaołdlaad lágo, áko doo dadínóohnéeł da índa diné t'áá ałtso doo atíbidi'doolníił da biniyé ákódadoohnííł. Nidi bíni'dii danihik'isóó Ízrel dine'é t'áá ałtso éí Bóhólníihii ahodííłk'ą́'ígíí yaa atínídadindleeh. 
3:10:007:0	Áko nihí éí níbaal bii' dahozdísinii bich'éédą́ą́'dóó doo ch'ídoohkah da; áko doo dínóohnéeł da; jó, Bóhólníihii bi'ak'ah ak'i yahiidzíidii bee danihi'doolzį́į́'. Áko Mózes bizaad k'ehgo ádadziidzaa. 
3:10:008:0	Áádóó Bóhólníihii éí Éran yich'į' haadzíi'go ííłní, 
3:10:009:0	Níbaal bii' dahozdísin góne' yah anáhkahgo ni áádóó niye'ké t'áá bił wáin, doodaii' tó tsi'na'iiłáii t'ááká daohdlą́ą́' lágo, áko doo dínóohnéeł da; díí bee nihoní'áanii ahóyéel'áágóó nihá át'éego náás da'ahíínółchíih doo. 
3:10:010:0	Áko dílzinii áádóó doo dílzinii índa badaa'ihii áádóó doo badaa'ihii ał'ąą át'éego baa ákodanohsin doo. 
3:10:011:0	Áádóó éí Ízrel dine'é nidanohtingo yee nihodiiz'áanii t'áá át'é Ízrel dine'é bich'į' Mózes binahjį' Bóhólníihii hahadziihígíí bee nidanohtin. 
3:10:012:0	Áko Mózes éí Éran áádóó biye'ké t'áá naa'aashígíí Eliyéízar áádóó Íthamar yich'į' haadzíi'go ííłní, Bóhólníihii bich'į' ak'áán nááhaaznii'ii bíí'ohígíí nídadoohkaahgo bikáá' náá'iiniihí bíighahgi díík'ǫsh t'áágééd bááh ályaii dadoohsį́į́ł, háálá ts'ídá aláahgo dílzin. 
3:10:013:0	Áko t'áá ákwii hodiyingo haz'ą́ągi dadoohsį́į́ł, háálá ni áádóó niye'ké bił nihaa hidit'aahígíí Bóhólníihii bich'į' didlidgo náádahaaznii'ii bits'ą́ą́dóó át'é; jó, shí ákót'éego shich'į' yee haadzíí'. 
3:10:014:0	Nidi ajéíts'iin náásee bił nídi'dilnihgo áádóó ajáád bił dah nídi'diilnihgo nááhaaznii'ígíí éí ni áádóó niye'ké índa nitsi'ké yá'áhoot'éehgi bił dadoohsį́į́ł; jó, ni áádóó niye'ké bił nihaa hidit'aahii éí Ízrel dine'é nááda'iiłniihgo hózhǫ́ǫ́jí náádayiiłniihígíí łahjį' danihíí'. 
3:10:015:0	Áko ajáád bił dah nídi'diilnihgo áádóó ajéíts'iin náásee bił nídi'dilnihgo nááhániihígíí éí ak'ah didoodliłgo nááhániihígíí yił nídeijihgo Bóhólníihii binááł náásee bił nídi'dilnihgo náádahołniih doo, áko éí ni áádóó niye'ké bił danihíí' doo; éí yee nihoní'ą́ągo ahóyéel'áa doo; jó, ákót'éego Bóhólníihii haadzíí'.  
3:10:016:0	Ákohgo Mózes éí ádił oodzíí'jí tł'ízí nááhaaznii'ii hazhó'ó házhdéé'į́į'go, jó, ałtso doodlid lá, áko Éran biye'ké t'áá naa'aashígíí Eliyéízar áádóó Íthamar bich'į' háhóóchįįdgo ábijiní, 
