3:6:001:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:6:002:0	Ła' ádił adzisiihgo áádóó doo ákǫ́ǫ́ ájíít'įįdígíí bee Bóhólníihii bik'ijį' dzizlį́į'go éí bił kééhojit'íinii bich'į' na'adlo' nijiiłdeełgo hąąh ni'ílyáhígíí, doodaii' ádee hazdoodzí'ígíí, doodaii' t'áá na'níle'dii bighá jídláhígíí, doodaii' t'áadoo le'é biniinaa bił kééhojit'íinii bąąh neijiiłhaał nít'é'ígíí béé'áhozhdilyáahgo, 
3:6:003:0	doodaii' yóó'eeldéelii nízhdiiláago biniinaa hayooch'íidgo t'áá ádzaagóó ádee hazdiidziihgo díí doo ákǫ́ǫ́ át'éii t'áá ałtso háiida áyoolíiłgo éí yee ádił ni'iilzíhígíigi át'éego ádił adzisiihgo 
3:6:004:0	kózhdoonííł; jó, ádił adzisiihgo bee ádihozhdiilt'i'go t'áá na'níle'dii agha'yídláhígíí, doodaii' ina'adlo' bee shójoost'e'ígíí, doodaii' hąąh ni'níláhígíí, doodaii' yóó'eeldéelii nízhdiiláhígíí béé'áhozhdilyáahgo éí ákódziidzaaígíí bąą ninázh'doodlééł. 
3:6:005:0	Doodaii' t'áá ha'át'íhída bąą t'áá ádzaagóó ádee hazdoodzí'ígíí éí doo t'óó bíighahígo ninázh'doodléeł da, nidi bą́ą́h ílínígíí ashdla'go aháádzooígíí t'ááłá'í bínéizdoozohgo ninázh'doodlééł, áko doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego nááhániih bijį́į́ góne' éí bíí' ílíinii baa nízh'doo'nił. 
3:6:006:0	Áko doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii Bóhólníihii bich'į' nááhizhdoołnihii jidoolóós; éí dibé bitahdę́ę́' deenásts'aa' hadaałt'éii doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego náá'iiłniihii baazdoolóós. 
3:6:001:1	Nááda'iiniihjí bee nahaz'áanii náádaała'ígíí
3:6:007:0	Áádóó náá'iiłniihii éí há bee k'ééhodoodǫǫłii Bóhólníihii binááł há néidiyoołnihgo t'áá ha'át'íhída baa nijiyáago bee doo ákǫ́ǫ́ ájíít'įįdígíí t'áá át'é há yóó'anídidoot'ááł.  
3:6:008:0	Áko Bóhólníihii éí Mózes ííłní, 
3:6:009:0	Éran áádóó biye'ké bi'níłníihgo ábidiní, Díí didlidgo nááhániihjí bee haz'áanii át'é: didlidgo nááhániihii wolyé, háálá tł'éé' bíighah bikáá' náá'iiniihí bikáa'gi dook'ą́ąłgo náhool'įįh doo; bikáá' náá'iiniihí bikáa'gi kǫ'ígíí éí t'áá diltłi'go óolzin doo. 
3:6:010:0	Áádóó náá'iiłniihii éé' agod ta'jį' nineel'ánígíí áádóó tł'aaji'éé' na'at'ą́hí łigaii dits'idgo bee ályaii yee háádiit'į́įhgo didlidgo nááhaaznii' yę́ę biłeeshch'iih hááyiikáahgo bikáá' náá'iiniihí bíighahgi ninéíkáah doo. 
3:6:011:0	Áko bi'éé' háiidiyii'níiłgo éé' náánáła' yiih náhádáahgo łeeshch'iih éí níbaal haal' á bits'áhwiiní'ą́ądi yá'áhoot'éehjį' yááyiikáah doo. 
3:6:012:0	Áádóó bikáá' náá'iiniihí bikáa'gi kǫ' t'áá diltłi'go óolzin doo; éí doo dínóoltsis da; náá'iiłniihii éí t'áá ákwíí jį́ abínígo bikáá' náá'iiniihí bikáa'gi chizh t'áá diltłi'go áyósin doo, áádóó bikáa'gi didlidgo nááhániihii ninéi'niłgo hasht'ééyiil'įįh doo, índa bikáa'jį' ak'ah hózhǫ́ǫ́jí nááhániihii át'éego néidiłi' doo. 
3:6:013:0	Bikáá' náá'iiniihí bikáa'gi kǫ' t'áá áłahjį' diltłi'go óolzin doo; ts'ídá doo dínóoltsis da. 
3:6:014:0	Díí ak'áán nááhániihjí bee haz'áanii át'é: Éran biye'ké éí Bóhólníihii binááł bikáá' náá'iiniihí bidááhdóó náádayiiłniih doo. 
3:6:015:0	Áko náá'iiłniihii éí ak'áán nááhániihii ak'áán áádóó ak'ah ła' índa tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii t'áá át'é bóóltą'go bílák'ee hadeezbingo hanéíjihgo bikáá' náá'iiniihí yikáa'jį' néidiłi'go łikání halchingo bee ééhániihii át'éego Bóhólníihii bich'į' nááyiiłniih doo. 
3:6:016:0	Éran áádóó biye'ké éí yidziihígíí díík'ǫsh t'áágééd bááh ályaii yił hodiyingo haz'ánígi nídeidį́įh doo; éí níbaal bii' dahozdísinii binaa haz'ánígi nídeidį́įh doo. 
3:6:017:0	Díík'ǫsh doo bił ál'į́į da doo. Éí didlidgo nááhániihii łahjį' baa diní'ánígíí át'é; ts'ídá aláahgo dílzinii éí ádił ni'iidzííhjí nááhániihii índa doo ákǫ́ǫ́ ájíít'įįdjí nááhániihiigi át'éii át'é. 
3:6:018:0	Éran bits'ą́ą́dóó náás ahoolchíiłii bitahdóó ashiikéhígíí t'áá ałtso éí nídeidį́įh dooleeł. Díí hool'áágóó yee nihoní'áanii bik'ehgo éí náás da'ahíínółchííhgóó Bóhólníihii bich'į' didlidgo náádahaniihii bits'ą́ą́dóóígíí nihá át'ée doo; t'áá háiida yihidilchídígíí éí diyin doo. 
3:6:019:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:6:020:0	Díí nááhániihii Éran áádóó biye'ké náás ahoolchíiłii éí Bóhólníihii yich'į' náádayiiłniihii át'éego aláahgo náá'iiłniihii dooleeł biniyé ak'ah bik'i yaadziidgo bi'dilzį́į́h bijį́į́ góne' náádeidiyoołnih: éí ómer bee í'neel'ąąhí bee t'ááłáhídi ak'áán dibahí haaką́ągo ak'áán nááhániihii át'éego t'áá áłahjį' ałníí'dóó abínígo náádayiiłniih doo índa łahjį' ałníí'dóóígíí éí e'e'áahgo náádayiiłniih doo. 
3:6:021:0	Éí ak'ah biłgo sit'éhígíí dííkááł; éí niheesti'go bááh nááhániihii át'éego Bóhólníihii bich'į' didlidgo łikání halchingo nááhíłniih doo. 
3:6:022:0	Áko náá'iiłniihii haye'ké ła' hatsásk'ehgi naal'a' doo biniyé ak'ah bik'i yaadziidgo bi'doolzį́'ígíí díí nááhániihii nááyiiłniih dooleeł; díí hool'áágóó yee nihoní'áanii át'éego Bóhólníihii bich'į' ałtso nídídli' doo. 
3:6:023:0	Ak'áán náádahaniihii t'áá ałtso éí náá'iiłniihii bá nááhániihgo ałtso néidiłi' doo; éí doo nídeidį́įh da doo. 
3:6:024:0	Áádóó Bóhólníihii éí Mózes ííłní, 
3:6:025:0	Éran áádóó biye'ké bich'į' handziihgo ábidiní, Díí ádił ni'iidzííhjí nááhániihii bee haz'áanii át'é; didlidgo nááhániihii nidaatseedígi t'áá ákwii ádił ni'iidzííhjí nááhániihii éí Bóhólníihii binááł nidaatseed doo; éí ts'ídá aláahgo dílzinii át'é. 
3:6:026:0	Náá'iiłniihii éí ádił ni'iidzííhjí nááyiisnii'ígíí néídį́įh doo; hodiyingo haz'ánígi éí níbaal bii' dahozdísinii binaa haz'ánígi néídį́įh doo. 
3:6:027:0	T'áá ha'át'íhída díí atsį' bíhidéé'ná'ígíí dílzin dooleeł, índa bidił ła' éí éé' bik'é náłdasgo éí bik'é náłdasígíí hodiyingo haz'ą́ągi tánínádaahgis doo. 
3:6:028:0	Nidi hashtł'ish łeets'aa' bee shíníłbéezhgo dííłts'ił; béésh łitsoii ásaa' bee shíníłbéezhgo yéego bąąh díích'ish índa bąąh nidííł'oł. 
3:6:029:0	Diné náá'iiłniihii danilínígíí t'áá ałtso éí atsį'ígíí nídeidį́įh doo; éí ts'ídá aláahgo dílzinii át'é. 
3:6:030:0	Áádóó ádił ni'iidzííhjí nááhániihii bidił éí níbaal bii' dahozdísinii biyi' hodiyingo haz'ání góne' bee k'ééhodoodǫǫł biniyé yah anákáahgo éí atsį'ígíí doo nídeidį́įh da doo; t'óó nídeidiłi' doo.
