3:25:001:1	Tsosts'id nínáhahgo dá'ák'eh hanínályįhígíí áádóó baa hózhǫ́ǫgo nínáhahígíí Júbilii wolyéii
3:25:001:0	Áko Dził Sáínaidi Bóhólníihii kóníigo Mózes yich'į' haadzíí', 
3:25:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní, Kéyah nihaa dinish'aahígíí biih woonáago índa Bóhólníihii bich'į'go dá'ák'eh hanínályįh doo. 
3:25:003:0	Hastą́ą́h nínáhahjį' k'ééda'dohdléeh doo, áádóó hastą́ą́h nínáhahjį' nihich'il na'atł'o'ii nídahohgish doo, índa nídant'į́įhii áłah áńdaał'įįh doo. 
3:25:004:0	Nidi tsosts'id náhááh góne' dá'ák'eh hanínályįh doo; éí Bóhólníihii bá háá'áyį́į́h át'é. T'ááká k'ida'doohłééł lágo, t'ááká nihich'il na'atł'o'ii bílátah dahoohgéésh lágo. 
3:25:005:0	Áádóó t'áá bíni'dii hadaneesánígíí éí doo dadoohish da; ch'il na'atł'o'ii doo bílátah heeshgizhii doo bąąh nída'íínóhbeeh da doo; jó, dá'ák'eh hanályį́įhgo náháhígíí át'é. 
3:25:006:0	Áko dá'ák'eh hanályį́įhgo yihahígíí biyi' ch'iyáán nihá hólǫ́ǫ doo; nihá nidaal'a'í bá, asdzání nidaal'a'í bá áádóó adeenáago nihá nidaal'a'í bá índa dé'éyóní nihitahgóó t'óó átsééd kéédahat'íinii bá ch'iyáán hólǫ́ǫ doo. 
3:25:007:0	Áádóó danihilį́į́' bá índa naaldlooshii nihikéyah bikáá'góó nidaakaígíí bá; éí nídaneest'ą́ągo bee ída'azįįdígíí dabich'iyą' doo. 
3:25:008:0	Áko tsosts'id náhááh góne' kéyah hanínályįhígíí éí t'áá ákót'éego tsosts'idi ákónádzaago dízdiindóó ba'aan náhást'éí nááhai doo. 
3:25:009:0	Ákohgo deenásts'aa' bidee' bee í'dílzoołí didoolts'į́įłgo baa hózhǫ́ǫgo yihah wolyéhígíí hahoolzhiizhgo tsosts'id nídízííd binih neeznáá jį́į́ góne' éí á k'ééhoodǫǫłgo náá'iiniih yoołkááł át'éego kéyah t'áá át'é bii'góó deenásts'aa' bidee' bee í'dílzoołí didoolts'į́į́ł. 
3:25:010:0	Áádóó ashdladiin náháhígíí dadíínóhsin, índa kéyahgóó kéédahat'íinii t'áá át'éé nít'éé' áhonídlee' bee bił dahołne'; díí danihich'į'go hózhǫ́ǫ́jí náhááh át'é, áko diné t'ááłá'í nítínígo bidáda'ak'eh yich'į' nihéédahidookah áádóó bik'éí yich'į' nihéédahidookah. 
3:25:011:0	Éí ashdladiin yihahígíí bii' nihił nidahoozhǫǫh doo; doo k'idadi'doohłéeł da áádóó doo da'doohish da; t'áá bíni'dii hadaneesánígíí doo dadoohish da índa nihich'il na'atł'o'ii doo bílátah da'iishgizhii doo bąąh da' íídóohbeeł da. 
3:25:012:0	Háálá baa hózhǫ́ǫgo yihah, áko éí nihá hodiyingo baa nitsídaahkees doo; dá'ák'ehdóó daneest'ánígíí daahsą́ą doo. 
3:25:013:0	Áko díí baa hózhǫ́ǫgo yihahígíí bii' diné łá'í nízínígo bidá'ák'eh yich'į' anáhidookah. 
3:25:014:0	Áádóó bił kééhót'íinii bich'į' kéyah nahíłniihgo, doodaii' baa nahíłniihgo t'áadoo ałch'į' ałde áhwíínóhsiní. 
3:25:015:0	Baa hózhǫ́ǫgo yihahígíí bíighah ná'ádleehdóó bik'ijį' nináháháhígíí bik'ehgo bił kééhót'íinii kéyah baa nahíłniih doo, índa nináháháhígíí bik'ehgo néidínóołt'į́łígíí nich'į' nayiiłniih doo. 
3:25:016:0	T'óó ahayóí nínáhahígíí bik'ehgo lą'í bą́ą́h aníłį́į doo áádóó a'ohgo nínáhahgo a'ohgo bą́ą́h aníłį́į doo, háálá nídadoohahígíí biyi' nídadínóot'į́łígíí bik'ehgo nich'į' nayiiłniih doo. 
3:25:017:0	T'áadoo ałch'į' ałde áhwíínóhsiní, nidi nihiDiyin God dadíínóhsin; jó, shí Bóhólníihii nihiDiyin God nishłį́. 
3:25:018:0	Éí bąą bee nihoyí'áanii bik'eh ádanoht'ée doo áádóó bee nihodiish'aahii bik'eh dahonoł'į́į doo, áko kéyah bikáá' hasihgo kéédahoht'į́į doo. 
3:25:019:0	Ákohgo kéyah bikáá' aneest'ą' hááhinoot'į́įł doo, áko hwiih danohłį́įgo hasihgo kéédahoht'į́į doo. 
3:25:020:0	Áádóó kódadidoohniiłgo, Tsosts'id náhááh góne' ha'át'íishą' deiidą́ą dooleeł? Jó, doo k'ééda'didiilyéeł da lá, doodaii' nídaneest'áanii doo dadiigish da lá. 
3:25:021:0	Ákohgo bee hahasdziihii shibee ak'ihojidlíii át'éego hastą́ą́h náhááh góne' nídadí'nóołt'į́įłgo táá' nááhai bíighahjį' nídaneest'áanii nihee hólǫ́ǫ doo. 
3:25:022:0	Tseebíí náhááh góne' k'idadi'doohłééł, nidi náhást'éí nááhaijį' éí nídanoołt'ánígíí t'ahdii daohsą́ą doo. 
3:25:023:0	Kéyah doo nahaniihgóó ahóyéel'áa doo; jó, kéyah éí shí; nihí éí dé'éyóní danohłį́įgo t'óó átsééd shił kéédahoht'į́. 
3:25:024:0	Áádóó kéyah nihíí' danilíinii t'áá át'é éí bik'é niná'iilyéego bee nahosooł'ą́ą doo. 
3:25:025:0	Nihik'is ła' bahojoobá'í silį́į'go bikéyah ła' baa nahaaznii'go bik'éí ła' éí kéyah t'ą́ą́' ninéidiyoołnih yiniyé níyáago éí hak'éí baa nahaaznii'ígíí t'ą́ą́' náhizhdoołnih. 
3:25:026:0	Nidi bik'éí ádingo t'áadoo bá kéyah ninéiyółniihígóó áádóó t'áá bí ninéidiyoołnihgo yíneel'ą́ą́ ládą́ą́' 
3:25:027:0	kéyah baa nahaaznii' yę́ędóó nináháhááh yidziihígíí wólta'go nínádant'į́įhii bą́ą́h ílíinii bik'ehgo éí baa na'iisnii'ígíí yich'į' ninéidoodlééł, ákohgo bikéyah bíí' nídoodleeł. 
3:25:028:0	Nidi yik'é niná'doodléełgi yi'oh neel'ą́ągo diné baa na'iisnii'ígíí t'áá yótą' doo, áko baa hózhǫ́ǫgo yihahígíí hahoolzhiizhgo bikéyah bíí' nídoodleełgo yich'į' nídoodááł. 
3:25:029:0	Diné ła'da kin haal'á biná'ástł'in góne' kin bii' dahooghanígíí ła' baa nahaaznii'go éí haa nahaaznii' yę́ędóó nááhaijį' t'ą́ą́' nááhizhdoołnihgo há haz'ą́; t'ááłá'í nááhaijį' bik'é ninázh'doodléełgo bee há haz'ą́. 
3:25:030:0	Nidi ts'ídá t'ááłá'í nááhaijį' t'áadoo bik'é niná'jídláágóogo éí kin haal'á binaa ahéé'ítł'in góne' diné bich'į' kin nidziis'nii'ígíí t'áá bí doo, áádóó ba'áłchíní náás ahoolchíiłii ałdó' hool'áágóó bíí' dooleeł, áko baa hózhǫ́ǫgo yihah wolyéhígíí baa halzhishgo doo aa náhidit'aah da doo. 
