19:96:001:0	Sing a new song to the Lord ! Let the whole earth sing to the Lord !
19:96:002:0	Sing to the Lord ; praise his name.Each day proclaim the good news that he saves .
19:96:003:0	Publish his glorious deeds among the nations.Tell everyone about the amazing things he does .
19:96:004:0	Great is the Lord ! He is most worthy of praise ! He is to be feared above all gods .
19:96:005:0	The gods of other nations are mere idols , but the Lord made the heavens !
19:96:006:0	Honor and majesty surround him ; strength and beauty fill his sanctuary .
19:96:007:0	O nations of the world , recognize the Lord ; recognize that the Lord is glorious and strong .
19:96:008:0	Give to the Lord the glory he deserves ! Bring your offering and come into his courts .
19:96:009:0	Worship the Lord in all his holy splendor.Let all the earth tremble before him .
19:96:010:0	Tell all the nations , “ The Lord reigns ! ” The world stands firm and can not be shaken.He will judge all peoples fairly .
19:96:011:0	Let the heavens be glad , and the earth rejoice ! Let the sea and everything in it shout his praise !
19:96:012:0	Let the fields and their crops burst out with joy ! Let the trees of the forest sing for joy
19:96:013:0	before the Lord , for he is coming ! He is coming to judge the earth.He will judge the world with justice , and the nations with his truth .
