19:65:001:0	What mighty praise , O God , belongs to you in Zion.We will fulfill our vows to you ,
19:65:002:0	for you answer our prayers.All of us must come to you .
19:65:003:0	Though we are overwhelmed by our sins , you forgive them all .
19:65:004:0	What joy for those you choose to bring near , those who live in your holy courts.What festivities await usinside your holy Temple .
19:65:005:0	You faithfully answer our prayers with awesome deeds , O God our savior.You are the hope of everyone on earth , even those who sail on distant seas .
19:65:006:0	You formed the mountains by your powerand armed yourself with mighty strength .
19:65:007:0	You quieted the raging oceanswith their pounding wavesand silenced the shouting of the nations .
19:65:008:0	Those who live at the ends of the earthstand in awe of your wonders.From where the sun rises to where it sets , you inspire shouts of joy .
19:65:009:0	You take care of the earth and water it , making it rich and fertile.The river of God has plenty of water ; it provides a bountiful harvest of grain , for you have ordered it so .
19:65:010:0	You drench the plowed ground with rain , melting the clods and leveling the ridges.You soften the earth with showersand bless its abundant crops .
19:65:011:0	You crown the year with a bountiful harvest ; even the hard pathways overflow with abundance .
19:65:012:0	The grasslands of the wilderness become a lush pasture , and the hillsides blossom with joy .
19:65:013:0	The meadows are clothed with flocks of sheep , and the valleys are carpeted with grain.They all shout and sing for joy !
