19:86:001:0	Bend down , O Lord , and hear my prayer ; answer me , for I need your help .
19:86:002:0	Protect me , for I am devoted to you.Save me , for I serve you and trust you.You are my God .
19:86:003:0	Be merciful to me , O Lord , for I am calling on you constantly .
19:86:004:0	Give me happiness , O Lord , for I give myself to you .
19:86:005:0	O Lord , you are so good , so ready to forgive , so full of unfailing love for all who ask for your help .
19:86:006:0	Listen closely to my prayer , O Lord ; hear my urgent cry .
19:86:007:0	I will call to you whenever I 'm in trouble , and you will answer me .
19:86:008:0	No pagan god is like you , O Lord.None can do what you do !
19:86:009:0	All the nations you madewill come and bow before you , Lord ; they will praise your holy name .
19:86:010:0	For you are great and perform wonderful deeds.You alone are God .
19:86:011:0	Teach me your ways , O Lord , that I may live according to your truth ! Grant me purity of heart , so that I may honor you .
19:86:012:0	With all my heart I will praise you , O Lord my God.I will give glory to your name forever ,
19:86:013:0	for your love for me is very great.You have rescued me from the depths of death .
19:86:014:0	O God , insolent people rise up against me ; a violent gang is trying to kill me.You mean nothing to them .
19:86:015:0	But you , O Lord , are a God of compassion and mercy , slow to get angryand filled with unfailing love and faithfulness .
19:86:016:0	Look down and have mercy on me.Give your strength to your servant ; save me , the son of your servant .
19:86:017:0	Send me a sign of your favor.Then those who hate me will be put to shame , for you , O Lord , help and comfort me .
