19:68:001:0	Rise up , O God , and scatter your enemies.Let those who hate God run for their lives .
19:68:002:0	Blow them away like smoke.Melt them like wax in a fire.Let the wicked perish in the presence of God .
19:68:003:0	But let the godly rejoice.Let them be glad in God 's presence.Let them be filled with joy .
19:68:004:0	Sing praises to God and to his name ! Sing loud praises to him who rides the clouds.His name is the Lord—rejoice in his presence !
19:68:005:0	Father to the fatherless , defender of widows—this is God , whose dwelling is holy .
19:68:006:0	God places the lonely in families ; he sets the prisoners free and gives them joy.But he makes the rebellious live in a sun-scorched land .
19:68:007:0	O God , when you led your people out from Egypt , when you marched through the dry wasteland , Interlude
19:68:008:0	the earth trembled , and the heavens poured down rainbefore you , the God of Sinai , before God , the God of Israel .
19:68:009:0	You sent abundant rain , O God , to refresh the weary land .
19:68:010:0	There your people finally settled , and with a bountiful harvest , O God , you provided for your needy people .
19:68:011:0	The Lord gives the word , and a great army brings the good news .
19:68:012:0	Enemy kings and their armies flee , while the women of Israel divide the plunder .
19:68:013:0	Even those who lived among the sheepfolds found treasures—doves with wings of silverand feathers of gold .
19:68:014:0	The Almighty scattered the enemy kingslike a blowing snowstorm on Mount Zalmon .
19:68:015:0	The mountains of Bashan are majestic , with many peaks stretching high into the sky .
19:68:016:0	Why do you look with envy , O rugged mountains , at Mount Zion , where God has chosen to live , where the Lord himself will live forever ?
19:68:017:0	Surrounded by unnumbered thousands of chariots , the Lord came from Mount Sinai into his sanctuary .
19:68:018:0	When you ascended to the heights , you led a crowd of captives.You received gifts from the people , even from those who rebelled against you.Now the Lord God will live among us there .
19:68:019:0	Praise the Lord ; praise God our savior ! For each day he carries us in his arms.Interlude
19:68:020:0	Our God is a God who saves ! The Sovereign Lord rescues us from death .
19:68:021:0	But God will smash the heads of his enemies , crushing the skulls of those who love their guilty ways .
19:68:022:0	The Lord says , “ I will bring my enemies down from Bashan ; I will bring them up from the depths of the sea .
19:68:023:0	You , my people , will wash your feet in their blood , and even your dogs will get their share ! ”
19:68:024:0	Your procession has come into view , O God—the procession of my God and King as he goes into the sanctuary .
19:68:025:0	Singers are in front , musicians behind ; between them are young women playing tambourines .
19:68:026:0	Praise God , all you people of Israel ; praise the Lord , the source of Israel 's life .
19:68:027:0	Look , the little tribe of Benjamin leads the way.Then comes a great throng of rulers from Judahand all the rulers of Zebulun and Naphtali .
19:68:028:0	Summon your might , O God.Display your power , O God , as you have in the past .
19:68:029:0	The kings of the earth are bringing tributeto your Temple in Jerusalem .
19:68:030:0	Rebuke these enemy nations—these wild animals lurking in the reeds , this herd of bulls among the weaker calves.Make them bring bars of silver in humble tribute.Scatter the nations that delight in war .
19:68:031:0	Let Egypt come with gifts of precious metals ; let Ethiopia bring tribute to God .
19:68:032:0	Sing to God , you kingdoms of the earth.Sing praises to the Lord.Interlude
19:68:033:0	Sing to the one who rides across the ancient heavens , his mighty voice thundering from the sky .
19:68:034:0	Tell everyone about God 's power.His majesty shines down on Israel ; his strength is mighty in the heavens .
19:68:035:0	God is awesome in his sanctuary.The God of Israel gives power and strength to his people.Praise be to God !
