19:84:001:0	How lovely is your dwelling place , O Lord of Heaven 's Armies .
19:84:002:0	I long , yes , I faint with longingto enter the courts of the Lord.With my whole being , body and soul , I will shout joyfully to the living God .
19:84:003:0	Even the sparrow finds a home , and the swallow builds her nest and raises her youngat a place near your altar , O Lord of Heaven 's Armies , my King and my God !
19:84:004:0	What joy for those who can live in your house , always singing your praises.Interlude
19:84:005:0	What joy for those whose strength comes from the Lord , who have set their minds on a pilgrimage to Jerusalem .
19:84:006:0	When they walk through the Valley of Weeping , it will become a place of refreshing springs.The autumn rains will clothe it with blessings .
19:84:007:0	They will continue to grow stronger , and each of them will appear before God in Jerusalem .
19:84:008:0	O Lord God of Heaven 's Armies , hear my prayer.Listen , O God of Jacob.Interlude
19:84:009:0	O God , look with favor upon the king , our shield ! Show favor to the one you have anointed .
19:84:010:0	A single day in your courtsis better than a thousand anywhere else ! I would rather be a gatekeeper in the house of my Godthan live the good life in the homes of the wicked .
19:84:011:0	For the Lord God is our sun and our shield.He gives us grace and glory.The Lord will withhold no good thingfrom those who do what is right .
19:84:012:0	O Lord of Heaven 's Armies , what joy for those who trust in you .
