19:41:001:0	Oh , the joys of those who are kind to the poor ! The Lord rescues them when they are in trouble .
19:41:002:0	The Lord protects themand keeps them alive.He gives them prosperity in the landand rescues them from their enemies .
19:41:003:0	The Lord nurses them when they are sickand restores them to health .
19:41:004:0	“ O Lord , ” I prayed , “ have mercy on me.Heal me , for I have sinned against you . ”
19:41:005:0	But my enemies say nothing but evil about me. “ How soon will he die and be forgotten ? ” they ask .
19:41:006:0	They visit me as if they were my friends , but all the while they gather gossip , and when they leave , they spread it everywhere .
19:41:007:0	All who hate me whisper about me , imagining the worst .
19:41:008:0	“ He has some fatal disease , ” they say. “ He will never get out of that bed ! ”
19:41:009:0	Even my best friend , the one I trusted completely , the one who shared my food , has turned against me .
19:41:010:0	Lord , have mercy on me.Make me well again , so I can pay them back !
19:41:011:0	I know you are pleased with me , for you have not let my enemies triumph over me .
19:41:012:0	You have preserved my life because I am innocent ; you have brought me into your presence forever .
19:41:013:0	Praise the Lord , the God of Israel , who lives from everlasting to everlasting.Amen and amen !
