19:76:001:0	God is honored in Judah ; his name is great in Israel .
19:76:002:0	Jerusalem is where he lives ; Mount Zion is his home .
19:76:003:0	There he has broken the fiery arrows of the enemy , the shields and swords and weapons of war.Interlude
19:76:004:0	You are glorious and more majesticthan the everlasting mountains .
19:76:005:0	Our boldest enemies have been plundered.They lie before us in the sleep of death.No warrior could lift a hand against us .
19:76:006:0	At the blast of your breath , O God of Jacob , their horses and chariots lay still .
19:76:007:0	No wonder you are greatly feared ! Who can stand before you when your anger explodes ?
19:76:008:0	From heaven you sentenced your enemies ; the earth trembled and stood silent before you .
19:76:009:0	You stand up to judge those who do evil , O God , and to rescue the oppressed of the earth.Interlude
19:76:010:0	Human defiance only enhances your glory , for you use it as a weapon .
19:76:011:0	Make vows to the Lord your God , and keep them.Let everyone bring tribute to the Awesome One .
19:76:012:0	For he breaks the pride of princes , and the kings of the earth fear him .
