19:66:001:0	Shout joyful praises to God , all the earth !
19:66:002:0	Sing about the glory of his name ! Tell the world how glorious he is .
19:66:003:0	Say to God , “ How awesome are your deeds ! Your enemies cringe before your mighty power .
19:66:004:0	Everything on earth will worship you ; they will sing your praises , shouting your name in glorious songs. ” Interlude
19:66:005:0	Come and see what our God has done , what awesome miracles he performs for people !
19:66:006:0	He made a dry path through the Red Sea , and his people went across on foot.There we rejoiced in him .
19:66:007:0	For by his great power he rules forever.He watches every movement of the nations ; let no rebel rise in defiance.Interlude
19:66:008:0	Let the whole world bless our Godand loudly sing his praises .
19:66:009:0	Our lives are in his hands , and he keeps our feet from stumbling .
19:66:010:0	You have tested us , O God ; you have purified us like silver .
19:66:011:0	You captured us in your netand laid the burden of slavery on our backs .
19:66:012:0	Then you put a leader over us.We went through fire and flood , but you brought us to a place of great abundance .
19:66:013:0	Now I come to your Temple with burnt offeringsto fulfill the vows I made to you—
19:66:014:0	yes , the sacred vows that I madewhen I was in deep trouble .
19:66:015:0	That is why I am sacrificing burnt offerings to you—the best of my rams as a pleasing aroma , and a sacrifice of bulls and male goats.Interlude
19:66:016:0	Come and listen , all you who fear God , and I will tell you what he did for me .
19:66:017:0	For I cried out to him for help , praising him as I spoke .
19:66:018:0	If I had not confessed the sin in my heart , the Lord would not have listened .
19:66:019:0	But God did listen ! He paid attention to my prayer .
19:66:020:0	Praise God , who did not ignore my prayeror withdraw his unfailing love from me .
