42:9:001:1	Jesus, Vitsyaa Nąįį Googwitr'it
42:9:001:0	Jesus ditsyaa ch'ihłoaatin ts'ą' neekwaii nąįį khaihłan nilii ts'ą' t'aih goots'an iltsąįį. Juu ch'anky'aa iizųų vizhit ts'ą' iłts'ik nąįį ts'ą' tr'igiheendal geenjit. 
42:9:002:0	Ąįįtł'ęę K'eegwaadhat Veegwinii'ee geegoogwahahchyaa ts'ą' iłts'ik nąįį shrineegiheelyaa eenjit nihky'aa goovihił'e'. 
42:9:003:0	Ąįįts'ą' t'agoovahnyąą “K'eiich'ii ch'ihłak gaa neehoh'at shrǫ', t'oh, ohtsii zhit shih, laraa ąįįts'ą' gwach'aa ch'ihłak gaa kwaa.” 
42:9:004:0	Nijin zheh gwinch'įį, izhit gwizhit, dahthee gihłeehiindyaa gwats'ą' gwiinch'įį. 
42:9:005:0	Nijin dinjii nihdeenąąhchįį kwaa ji', izhit kwaiik'it gihłeehiindii, nakwai' kat łųh ninghat ts'ą', jyąhts'ą' gwik'iighai' zhit dinjii nąįį gwiizųų t'igiizhit łee gaageheendaii eenjit. 
42:9:006:0	Jesus vitsyaa nąįį gahaajil ts'ą' kwaiik'it gwit'eh datthak neegihiidal ts'ą' nijuk datthak Gwandak Nizįį geegǫąąhtan, ts'ą' iłts'ik nąįį shrineegilii. 
42:9:007:0	Nijin Herod, Galilee gwanahkat gwats'ą' k'eegwaadhat. Jii deegwii'in datthak gwiitth'ak dąį' deegwii'in t'igwinyąą gaandaii kwaa. Dinjii lat nąįį “John chųų gwats'an ąhtsii niindhat gwats'an khakee'ąįį. 
42:9:008:0	Niighit dąį' gwanaa gwats'an Elijah, Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį niindhat gwats'an khakee'ąįį,” gaa ginyąą. 
42:9:002:1	Jesus 5000 Nąįį Ach'ah'al
42:9:009:0	Herod t'inyąą, “John vikiitth'an k'eech'iikil, akǫǫ jii dinjii ąįį juu t'agahnyąą?” Ąįįts'ą' Jesus hah'yaa gwik'eegwandaii. 
42:9:010:0	Tr'ihił'e' nąįį oo'ee neegiijil ts'ą' deegiizhik datthak Jesus haa gwagwaandak. Ąįįtł'ęę Bethsaida kwaiik'it gwats'ą' goovaahaadlii. 
42:9:011:0	Nijin juu nąįį datthak giiyeegwiitth'ak dąį' giitąįį haajil. Goovąąh'in geenjit shoo nilii, ts'ą' Vit'eegwijyąhchy'aa vanahkat eegoovaagwaandak ts'ą' chan gootee juu iłts'ik nąįį chan shrineiilik. 
42:9:012:0	Drintł'an gwandaa Tr'ihił'e' nąįį giits'ą' haajil ts'ą' t'igiiyahnyąą. “Dzaa łyaa tthan goo'aii, ts'ą' jii dinjii nąįį kwaiik'it akwat gwanzhįh nahshii gwa'an shih gooheendal ts'ą' nijin gahahchųų eenjit gwats'ą' goovah'ee.” 
42:9:013:0	Gaa Jesus t'agoovahnyąą “Nakhwan ąįį giihee'aa goovantł'ohtsit.”Akhai' jyaa ginyąą “Łųhchy'aa ch'ihłoanli' ts'ą' łuk neekwaii zhrįh tr'ii'įį. Juu nąįį datthak eenjit shih tr'oankwat ji' gwizhrįh.” 
42:9:014:0	(Zhat dąį' dinjii 5000 aanchy'aa zhat dilk'ii.) Jesus t'agoovahnyąą, “Dinjii 50 aanchy'aa ts'ą' nihłeh'an dook'įį goovohnyąą.” 
42:9:015-016:0	Vitsyaa nąįį jyaa deegiizhik ts'ą' juu nąįį datthak zhak giilk'ii ąįįtł'ęę Jesus ąįį łųhchy'aa ch'ihłoanli' ts'ą' łuk neekwaii teegwįłjik ts'ą' zheekat k'iidak gwąąh'in ts'ą' Vit'eegwijyąhchy'aa mahsį' ahnyąą tł'ęę ditsyaa nąįį datthak iteeyiłtsik, dinjii ąįį datthak iteegiihahchaa eenjit. 
42:9:003:1	Peter ąįį Jesus Vit'eegwijyąhchy'aa Yihił'e' Nyąą.
42:9:017:0	Juu nąįį datthak ch'anahoo'al gaa nihk'it tyah ch'ihłoaatin ants'ą' neekwaii aanchy'aa łąą tr'ooniindhat. 
42:9:018:0	Ch'ihłan Jesus tthan gwa'an adąhzhrįh khadigiinjii gwiizhit vitsyaa nąįį yeenineejil, ts'ą' t'agoovahnyąą, “Dinjii nąįį juu ihłii shagahnyąą?” 
42:9:019:0	“Goolat nąįį John chųų gwats'an ąhtsii t'inchy'aa nagahnyąą, ginyąą ch'izhii nąįį chan Elijah nagahnyąą, goolat nąįį chan yeenaa dąį' gwats'an Vit'eegwijyąhchy'aa Eenjit Ginkhii ąįį neegwiindaii t'ii'in nagahnyąą.” 
42:9:020:0	“Nakhwan ąįį yu', juu t'ihchy'aa shohnyąą?” goovahnyąą.Peter jyaa yahnyąą, “Dinjii neehahshii eenjit Vit'eegwijyąhchy'aa nihił'e' inlii!” 
42:9:021:0	“Vit'eegwijyąhchy'aa shihił'e' ihłii łyaa dinjii ch'ihłak gaa haagoondak shrǫ',” Jesus goovahnyąą. 
42:9:022:0	Ąįįts'ą' chan jyaa nyąą, “Gwidinji' ihłii ts'ą' gwilęįį khaiinjich'ashahadhat sheenjit goo'aii ąįįts'ą' Israel kįh dilk'ii nąįį, giinkhih kįh dilk'ii nąįį, ts'ą' Law eech'ǫąąhtan nąįį shitr'igihee'ee. Shęhdaa tr'igwigwehee'aa ąįįtł'ęę drin tik gweheedhaa ts'ą' neegwihįhdaii.” 
42:9:023:0	Ąįįts'ą' datthak jyaa goovahnyąą, “Juu shatąįį hoozhi' niindhan ji', adanaandee, ts'ą' drin gwiteegogwąąnchy'aa na-cross inchyaa, ts'ą' shatąįį hinkhaii. 
42:9:024:0	Juu dagwandaii, diyinji' haa intsai' ji' t'ee yaa shrihteegwehee'aa. Gaa juu shęh'an niindhat ąįįt'ee dagwandaii, diyinji' haa neehahshii. 
42:9:025:0	Dinjii nankat datthak ideenjit goonjik gaa viyinji' an dhidlit ji' ąįį dinjii nihk'it gwats'an gaayiigwahaahtsyaa shrǫǫ? Łyaa duuyeh! 
42:9:026:0	Dinjii sha'oozhii ahłįį, ts'ą' geech'ǫąąłtan eenjit sha'oozhii ahłįį t'ee shįį Gwidinji' ihłii ts'ą' va'oozhii hahłyaa nijin shach'agwąhdrii akwat Shiti' vich'eegwahdrii akwat zheekat Gwich'in Shroodiinyąą nąįį vich'eegwahdrii zhit oo'ee neeshizhii ji'. 
42:9:004:1	Peter, John chan ts'ą' James Nąįį haa Jesus Vich'eegwahdrii Googwahąąh'yaa Eenjit Goots'an Goodlit
42:9:027:0	Łi'haa juk nakhwatee nakhwalat nąįį niheedhaa gwats'ą' K'eegwaadhat Veegwinii'ee gwahąąh'yaa t'oonchy'aa.” 
42:9:028:0	Jii kwaii geenjit jyaa diinyą' gwats'an drin nihk'iidǫǫ gwahaadhat gwiizhit Jesus ąįį Peter, John haa taih kat khadigigeheejyaa eenjit gwats'ą' gahaajil. 
42:9:029:0	Khagidiinjii gwiizhit vinin ch'ijuk vigweech'in naanaii ts'ą' vagwach'aa chan daagąįį haa vakat adrii haadhak. 
42:9:030:0	Khan hee dinjii neekwaii nąįį yaa ginkhii. Moses chan ts'ą' Elijah haa. 
42:9:031:0	Vit'eegwijyąhchy'aa vich'eegwahdrii gwizhit k'ii'ee googweelkįį ts'ą' Jesus haa giginkhii, Vit'eegwijyąhchy'aa jaghaii geenjit t'iiyahah'yaa eenjit Jerusalem gwizhit vidrin gweheelyaa geegiiyaagwaandak. 
42:9:032:0	Peter chan ts'ą' juu yaa dilk'ii nąįį haa giłchųų gaa khakigilzhii ts'ą' Jesus vich'eegwahdrii chan ts'ą' ąįį dinjii neekwaii giiyaanadhat nigiił'in. 
42:9:033:0	Moses, Elijah haa Jesus iłeegihii'oo gwiizhit Peter Jesus jyaa dahnyąą, “Shigeech'ǫąąhtan, dzaa tr'iilk'įį łyaa gwinzii t'igwinchy'aa łee. Trał haa zheh tik gwarahahtsyaa ch'ihłak ąįį neenjit, ch'ihłak chan Moses ąįįts'ą' ch'ihłak chan Elijah.” 
42:9:034:0	Tth'aii ginkhii gwiizhit zheek'ǫh goodlit ąįį gwank'oo t'eh giilk'ii ąįįts'ą' łyaa gąąnjat nijin zheek'ǫh gookat t'iizhik dąį'. 
42:9:035:0	Zheek'ǫh zhit gwats'an goots'ą' khagiriinkhee “Jii t'ee Shidinji' t'inchy'aa, gwitee tr'ałchįį t'inchy'aa, oodǫǫhk'įį!” 
42:9:005:1	Chyaatsal Vizhit Ch'anky'aa Iizųų Diindhat Jesus Yats'ą' Tr'iinjik.
42:9:036:0	Nijin ginkhii k'ideegwaanaii dąį', Jesus zhrįh zhat nadhat. Vitsyaa nąįį geegiginkhii kwaa ts'ą' izhit dąį' jidii googwąąh'ya' eenjit ch'ihłak gaa haa gwaandak kwaa. 
42:9:037:0	Gęhdaa drin Jesus ditsyaa tik nąįį haa taih kat k'iizhak gahaajil, izhit dinjii lęįį nąįį yats'ą' tr'iinjil. 
42:9:038:0	Dinjii tee gwa'an gwats'an dinjii ch'ihłak yineeshraadiitrak, “Geech'ǫąąhtan! Jii it'ee zhrįh shidinji' nah'in! Neeshraahchy'aa shǫįįnyąą ts'ą' veenjit shits'iinyąą. 
42:9:039:0	Ch'anky'aa iizųų yizhit diindhat ts'ą' ąįį ts'an azhral ts'ą' zhit gwa'an datthak neehiitaa ts'ą' vigwiinjii ąįį ts'an chan vighit gaa goghoh. Nijin neechiindee dąį' gwizhrįh yats'an tr'ineediidhak. 
42:9:040:0	Nitsyaa nąįį giizhit gihłeegiihahchyaa eenjit jyaa goovaihnyąą gaa khyų' t'igiiyah'in.” 
42:9:041:0	Jesus ditsyaa nąįį jyaa dahnyąą, “Łyaa gwik'iinjuhkhit kwaa ts'ą' gwiizųų t'oonchy'aa łee it'ee nakhwaashandaii goodlit! Deegwąhkhyuk zhyaa nakhwaa t'ihihchy'aa shoohnyąą?” Ąįįtł'ęę ąįį dinjii jyaa ahnyąą, “Nidinji' dzaa gwats'ą' hahchįį.” 
42:9:042:0	Ąįį chyaatsal yits'ą' ahaa gwiizhit ąįį vizhit ch'anky'aa iizųų ts'an oo'an neet'eehaadhak ts'ą' zhit gwa'an datthak neehiitaa. Ąįįts'ą' Jesus ąįį ch'anky'aa iizųų ineegiinkhee ts'ą' ąįį chyaatsal ts'ą' tr'iinjik ąįįtł'ęę yiti' intł'ineeyahchįį. 
42:9:043:0	Zhat dinjii gwanlii nąįį datthak łyaa geegagoolii kwaa t'igwiizhik ts'ą' Vit'eegwijyąhchy'aa vat'aih nitsii łee gwik'igaanjik.Juu nąįį datthak Jesus goovandah deezhik googwąąh'ya' eenjit łyaa gininjich'agahthat ts'ą' dee'in t'ii'in giiyaandaii kwaa gwiizhit ditsyaa nąįį jyaa ahnyąą, 
42:9:044:0	“Juk deenakhwahaihjyaa eenjit gwinzii ch'oodǫǫhk'įį! Gwidinji' tr'ahaahkhwaa eenjit dinjii nąįį antł'eeyahahchyaa.” 
42:9:006:1	Juu Gwitee Ch'andaa Hil'ee
42:9:045:0	Gaa deenyąą t'inyąą giiyaandaii kwaa. Deegwinyąą t'igwinyąą gaageheendaii kwaa eenjit goots'ą' gwit'eh goo'aii, ąįįts'ą' giiyuuhaahkat eenjit gatr'agogwaanyąą. 
42:9:046:0	Juu gwitee ch'andaa hil'ee eenjit vitsyaa nąįį nihzheedagąąn'ee. 
42:9:047:0	Jesus nats'ąą niinjich'agadhat goovandaii ts'ą' tr'iinin ideeghaih naachįį 
