42:8:001:1	Tr'injaa Lat Nąįį Jesus ts'ą' Vitsyaa ts'ą' haa Ts'igiinyą'.
42:8:001:0	Ąįįtł'ęę gehjuu gwanaa Jesus kwaiik'it gwinlęįį gwitee neehidik ts'ą' Vit'eegwijyąhchy'aa Veegwinii'ee eenjit Gwandak Nizįį eegoovaagwaandak. Vitsyaa 12 nąįį chan giiyaahaajil, 
42:8:002:0	ąįįts'ą' chan zhit juu tr'injaa shranaazhik ts'ą' zhit juu ch'anky'aa iizųų goots'an tr'idiindhat nąįį chan Jesus haa gahaajil: Mary Magdalene (gwehkįį dąį' Jesus ch'anky'aa iizųų 7 yats'an tr'iinlii) 
42:8:002:1	Jii Jesus Vagwandak T'ee Dinjii Gwahąąhshįį Eenjit Gwanzhįh Gwit'ilii.
42:8:003:0	Joanna (Chuza va'at juu Herod vizheh gook'ąąhtii) Susanna, chan ts'ą' tr'injaa lęįį nąįį dagalaraa haa, jidii datthak eenjit Jesus chan ts'ą' Vitsyaa nąįį haa ts'igiinyą' nąįį chan goovaa gahaajil. 
42:8:004:0	Dinjii lęįį nąįį nihky'aa kwaiik'it gwinlęįį gwats'an Jesus eenineegiidal ąįįts'ą' nijin lęįį nąįį khaihłan niinjil dąį' Jesus gwandak ąhtsii zhit geegoovąąhtan. 
42:8:005:0	“Ch'ihłan dinjii gwa'an cheiinzhii ts'ą' gwihiiłshii. Ąįįts'ą' gwanzhįh gwit'ilii gwiizhit valat kwaii an-nihłik nan kat tąįį nijyaa, ąįį kwaii kat neegihiidal ts'ą' chan chiitsal nąįį giiyiin'al. 
42:8:006:0	Valat kwaii chan łųh vitee kii gwanlii teiinjil ts'ą' nijin khan naahshii dąį' chųų kwaa geh'an agąįį. 
42:8:007:0	Valat kwaii chan khoh teiinjil ts'ą' gwitee niłshįį gaa khoh ąįį yiiłkhwąįį. 
42:8:003:1	Jaghaii Jesus Gwandak Ąhtsii Zhit Geech'ǫąąhtan.
42:8:008:0	Valat chan nan nizįį kat niinjil ts'ą' gwinzii vakat gwiiłshįį, ch'ihłak gaa vakat gwanzhįh 100 vakat niłshįį.”Jesus t'agoovahnyąą, “Jii deihnyąą gwinzii ch'oodǫǫhk'įį!” 
42:8:009:0	Vitsyaa nąįį jii gwandak iłtsąįį zhit geech'ǫąąhtan ąįį deegwinyąą t'igwinyąą gaagoondaii giindhan. 
42:8:004:1	Dinjii Gwihiiłshii Eenjit Gwanzhįh Gwit'ilii ąįį Deegwinyąą T'igwinyąą Eenjit Jesus Geeginkhii.
42:8:010:0	Ąįįts'ą' Jesus jyaa goovahnyąą, “Gwik'irahaandal eenjit gogwantrii gaa nihk'it K'eegwaadhat Veegwinii'ee eenjit gaagweheendaii nakhwiłtsąįį gaa ch'izhii nąįį gwandak zhit gwizhrįh gwats'an gogogwahaa'ee. Gwinzii googwąąh'in ji' gaa gwinzii goovaa gweheechy'aa kwaa eenjit ąįįts'ą' chan gwinzii ch'agoołk'įį ji' gaa deegwinyąą t'igwinyąą gaageheendaii kwaa eenjit.” 
42:8:011:0	Jii gwandak t'ee jyaanyąą t'inyąą, “Ąįį gwanzhįh tsal gwit'ilii kwaii t'ee Vit'eegwijyąhchy'aa viginjik t'inchy'aa. 
