42:21:001:1	Tr'injaa Jidii Di'įį Datthak K'eegwaadhat Antł'inlii.
42:21:001:0	Jesus Kharigidiinjii Zhee Gwachoo gwizhit dhidii gwiizhit dinjii gwintsii veegoodlii nąįį dagalaraa k'ik zhit gilii gwah'in.  
42:21:002:0	Ąįįts'ą' chan tr'injaa neeshraahchy'aa vakai' niindhat dalaraa tsal datthak gwizhilii chan nah'in. 
42:21:003:0	Ąįįts'ą' jyaanyąą, “Jii tr'injaa neeshraahchy'aa vakai' kwaa ch'andaa gwizhinlii. 
42:21:002:1	Kharigidiinjii Zhee Gwachoo An Gweheelyaa Geeginkhii
42:21:004:0	Gaa ch'izhii nąįį dagalaraa lat zhrįh gwizhit ginlii. Jii tr'injaa neeshraahchy'aa ąįį jidii yaadagwahaandaii goo'aii datthak gwizhinlii.” 
42:21:005:0	Vitsyaa lat nąįį Kharigidiinjii Zhee Gwachoo geegiginkhii. Łyaa gwinzii giiyiichy'a'. Kii daatł'oo nizįį chan ts'ą' k'aiich'ii nizįį kwaii Vit'eegwijyąhchy'aa eenjit gwizhit gwanlii ginyąą. Jesus jyaa goovahnyąą, 
42:21:003:1	Khaiinkǫǫ Drinzhit Ji' Diits'ą' Deegwehee'yaa
42:21:006:0	“Jii kwaii juk nǫh'in. Yeendaa ji' kii tsal ch'ihłak gaa gwideek'it hee'aa kwaa. Datthak an heelyaa.” 
42:21:007:0	“Geech'ǫąąhtan,” ginyąą, “Ąįį nijin ji'? Nijin jyaa deegweheenjyaa ji', nats'ąą googwahaakyaa?” 
42:21:008:0	Jesus jyaa nyąą, “Gwak'ǫǫhtii! Neenakhwaroon'ee shrǫ'! Jyąhts'ą' t'ee lęįį nąįį shoozhri' t'eehaahchy'aa ts'ą' nakhwats'ą' niheehaa ts'ą' jyaa giheenjyaa, ‘Shįį t'ee, eedan t'ihchy'aa!’ ts'ą', ‘It'ee zhat nigwiindhat!’ Gaa gootąįį hohjyaa shrǫ'! 
42:21:009:0	Nihłiriighan chan ts'ą' gogwantrii kwaii haa gwanlii gwinyąą dąį', noojat shrǫ'! Ąįį kwaii t'ee tr'ookit jyaa deegwehee'yaa, gaa nan ndaanąą'ąį' eenjit t'igwii'in kwaa.” 
42:21:010:0	Ąįįts'ą' chan jyaa nyąą, “Nahkat datthak chan nihłigiheeghaa, 
42:21:011:0	Nan chan gwint'aii haatrat. Dinjii chan ihdeeheengaii. Nijuk datthak chan ts'ik iizųų gweheelyaa. Gwiizųų datthak teegweheedhat ts'ą' zheetii gwa'an chan gwilii t'igwehee'yaa. 
42:21:012:0	Jii kwaii datthak t'igweheenjyaa gwats'ą' chan nakhwagooheendal ts'ą' Israel nąįį tr'igiinkhii zheh nihdeenakhwarahahchyaa. Ch'aroahkat zheh gwizhit nakhwaroohaahkat eenjit gwintł'ee narahahchyaa. Ąįįtł'ęę zhee gwaazhrąįį chan nihdeenakhwarahahchyaa. Shęh'an nahkat gwats'ą' k'eedeegwaadhat choh (King) nąįį ts'ą' nakhwarahahchyaa. 
42:21:013:0	Zhat ji', t'ee Dęhtły'aa Choh kat Gwandak Nizįį eegahohkhyaa nakhweenjit gwinzii nagwahaadhal. 
42:21:014:0	Nakhwaroohaahkat gwats'ą', nats'ąą deehohjyaa geenjit tr'agohdii shrǫ', 
42:21:015:0	Nats'ąą deehǫǫhjyaa ts'ą' nakhwagwizhi' t'eehoohchy'aa datthak nakhwaa hihłyaa, jyąhts'ą' t'ee juu nakhwatr'ii'ee nąįį goodhaii nideegoohoohthal. 
42:21:016:0	Nakhwayehghan, nakhwachaa, nakhwalak, nakhwajyaa nąįį haa gwintł'ee nakhwahahchyaa. Nakhwalat nąįį gaa tr'iheeghaa. 
42:21:017:0	Lęįį nąįį shęh'an nakhwatr'ihee'ee. 
42:21:018:0	Nakhwakiighai' ch'ihłak gaa duuyeh haa tr'igwiinjii. 
42:21:004:1	Jerusalem An Gweheelyaa Jesus Geeginkhii.
