42:20:001:1	Jesus, T'aih Di'įį ąįį Ach'agoahkat.
42:20:001:0	Ch'ihłok drin Jesus Kharigidiinjii Zhee Gwachoo gwizhit dinjii nąįį ts'ą' Gwandak Nizįį eegoovaahtan, gwiizhit giinkhih k'įh dilk'ii nąįį, Law eech'ǫąąhtan nąįį chan ts'ą' Israel k'įh dilk'ii nąįį haa giits'ą' haajil ts'ą' 
42:20:002:0	jyaa giiyahnyąą, “Jidii t'aih ni'įį t'ini'in? Juu jyaa deeni'in nahnyąą, diinaa gwandak lee?” 
42:20:003-004:0	Jesus jyaa goovahnyąą, “Shįį ąįį nakhoohałkat, John chųų gwats'an ąhtsii dąį', juu vat'aii haa t'ii'in? Vit'eegwijyąhchy'aa akwat dinjii nąįį ts'an? Izhit shaagoondak lee?”
42:20:005:0	Izhit geenjit nihłitee ts'ą' nihzheedagąąn'ee ts'ą' jyaa ginyąą, “Deegweheenjyaa? Vit'eegwijyąhchy'aa vats'an gwinyąą ji', jyaa diinahąąnjyaa, jaghaii John vik'injuhkhit kwaa gǫ'? 
42:20:006:0	‘Dinjii ts'an’ gwinyąą ji' chan dzaa juu dilk'ii nąįį datthak kii haa diiheeghaa. John Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ąįį łyaa gaagiindaii geh'an.” 
42:20:007:0	Ąįįts'ą' jyaa giiyahnyąą, “Dee', łyaa nijuk gwats'an t'ii'in vaagwiindaii kwaa.” 
42:20:002:1	Jesus K'eegwiichy'aa Gach'ąh'įį Zhit Dinjii ts'ą' Ginkhii
42:20:008:0	Ąįįts'ą' Jesus jyaa goovahnyąą, “Jidii t'aih haa t'ishi'in izhit duuyeh geenakhwaagwaldak t'oonchy'aa.”  
42:20:009:0	Ąįįtł'ęę Jesus dinjii nąįį gwandak eegoovaagwaandak, “Dinjii danan kat jak choh hiiłshii gaa ch'adanh nahkat gwats'ą' hoihshi' yiindhan, ch'ihłee, ‘Sheenjit vak'ǫǫhtii,’ gwanzhįh k'ąąhtii nąįį ahnyąą, ‘Ąįįtł'ęę valat nakhwats'an hałtsyaa,’ goovahnyąą. Niighyuk hiljii ts'ą', 
42:20:010:0	Nijin jak choh gahąąhtsyaa nigwiindhat dąį', ąįį dinjii ditsyaa ch'ihłak oo'an gwanzhįh k'ąąhtii nąįį ts'ą' yihił'e' ts'ą' jyaa diinyąą yahnyąą, ‘Ąįį jak choh valak hoihdal eenjit t'ishi'in.’ Gaa ąįį gwanzhįh k'ąąhtii nąįį giiyąąhkhwąį' ts'ą' giiyintł'eech'ahtsit kwaa ts'ą' oo'an neegiihił'e'. 
42:20:011:0	Ts'ą' chan hee ditsyaa ch'izhii chan oo'an neehił'e', gaa ąįį gwanzhįh k'ąąhtii nąįį tr'ookit dinjii oo'ee noozhii, ąįį k'it giiyąąhkhwąį'. Giiyeedlaa ts'ą' chan giiyintł'ineech'ahtsit kwaa ts'ą' chan oo'ee neegiihił'e'. 
42:20:012:0	Ąįįtł'ęę chan hee ditsyaa ch'ihłak oo'an neehił'e', gaa gwanzhįh k'ąąhtii nąįį giiyiinjik, ąįį juu k'iidąą hił'e' nąįį andaa ts'ą' gwanzhįh deek'it gihłeet'ee giihiłnaii. 
42:20:013:0	“Ąįįtł'ęę ąįį dinjii gwanzhįh ts'ą' k'eegwaadhat adats'ą' niinjich'adhat, ‘Deeshi'yaa? Shidinji' gęhdaa kwaa veet'iihthan, ąįį oo'an nahał'aa. Giiyeenjit hił'e' ji', łyaa gweheezyaa.’ 
42:20:014:0	“Nijin gwanzhįh k'ąąhtii nąįį giiyąąh'ya' dąį', t'iginyąą. ‘Jii dinjii t'ee jii nan ts'ą' k'eegwaadhat vidinji' t'inchy'aa. Tr'ookhwaa. Ąįįtł'ęę jii gwanzhįh dehk'it diits'an gweheelyaa!’” 
42:20:015:0	Ts'ą' t'ee gwanzhįh dehk'it gihłeegiihaaluu. Ąįįtł'ęę giiyiiłkhwąįį. Ąįįts'ą' Jesus dinjii nąįį t'ahnyąą. “Jii dinjii gwanzhįh ts'ą' k'eegwaadhat deehee'yaa li'? 
42:20:016:0	Goots'ą' heekhaa ts'ą' goovęhdaa tr'igwihee'aa, tł'ęę ch'izhii nąįį intł'eegwehee'aa.”Dinjii nąįį jii gwigwiitth'ak dąį', jyaa diginyąą, “Akwaa!” 
42:20:017:0	Jesus goovąąh'in ts'ą' gavoahkat, “Akwaa ji', jii Dęhtły'aa Choh zhit deegwinyąą t'igwinyąą shrǫǫ yuuhthan,‘Kii vaa zheh ndak gwehee'aa,ąįį kii nizįį nilii kwaa k'it t'inchy'aa.Gaa ndaagwąą'ąį' dąį', kii hil'ee dhidlit.’ 
42:20:003:1	Tax Tr'ookwat ąįį Aach'agwaahkat
42:20:018:0	Ąįį juu ąįį kii kat nat'aanąįį t'ee yakat khadigweheent'ii. Ąįįts'ą' kii vakat naanaii ji', chan łųh nahaadhal.” 
42:20:019:0	Izhit zhat Law eech'ǫąąhtan nąįį, chan ts'ą' giinkhih kįh dilk'ii nąįį haa zhazhat Jesus tr'oonjii giindhan, geedan gwandak zhit gooveeginkhii t'inyąą ts'ą' gaagiindaii, gaa zhat juu dilk'ii nąįį agąąnjat geh'an. 
