42:13:001:1	Nakhwatr'agwaanduu Akhagoonyąą Akwaa Ji', Nahohthaa
42:13:001:0	Izhit zhat dąį' dinjii lat nąįį Jesus Galilee gwich'in nąįį eegiiyaagwaandak, ąįįt'ee zhit juu gootee Vit'eegwijyąhchy'aa ts'ą' gwintł'eegąhjii gwiizhit Pilate gooviinghan nąįį reh. 
42:13:002:0	Jesus jyaa goovahnyąą, “Ąįį juu gooriinghan nąįį ch'izhii Galilee gwich'in nąįį andaa ts'ą' gootr'agwaanduu gwanlii geh'an t'agooriinlik shrǫǫ goovohnyąą? 
42:13:003:0	Nakwaa! Nakhwaagwahaldak, nakhwatr'agwaanduu akhagohnyąą kwaa ji', nakhwan t'ee gook'it nahohthaa t'oonchy'aa. 
42:13:004:0	Zhit Siloam gwich'in 18 juu zhit zheh gwachoo gook'aa neegwadąąnąįį ts'ą' giłchįį nąįį yu'? Ch'izhii Jerusalem gwich'in nąįį andaa datthak ts'ą' gootr'agwaanduu gwanlii geh'an lee t'igiizhik? 
42:13:002:1	Fig Dachan Iizųų Gwandak
42:13:005:0	Nakwaa! Nakhwaagwahaldak, nakhwatr'agwaanduu akhagohnyąą kwaa ji', nakhwan t'ee gook'it nahohthaa t'oonchy'aa.” 
42:13:006:0	Ąįįtł'ęę Jesus gwandak eegoovaagwaandak, “Dinjii dagwanzhih tee Fig dachan nahshii. Ąįį dinjii zhit Figs dachan kat gwąąh'in, akhai' yakat Figs agwąh'ąįį kwaa. 
42:13:007:0	Ąįįts'ą' gwanzhįh k'ąąhtii ąįį t'ahnyąą, ‘Gwąąh'in, neegwadadhat tik gwahaadhat tthak dzaa nineihdik ts'ą' jii Fig dachan kat Figs keegwaał'in gaa Figs agwał'ąįį kwaa. Gihłeekhwanchyaa jaghaii? Jaghaii zhyaa gwanzhįh dehk'it gwinii'ee?’ 
42:13:008:0	Gwanzhįh k'ąąhtii t'iiyahnyąą, ‘Jii neegwadadhat ch'ihłak zhit jyaa dąhthan, ąįįts'ą' veelin khaneegwihihthaa ts'ą' shrineehihłyaa. 
42:13:003:1	Neegwaazhii Drin gwiizhit Jesus ąįį Tr'injaa Vanan Iizųų Shrininlik.
42:13:009:0	Ąįįtł'ęę Figs vakat neełshįį ji', gweheezyaa, ąįį akwaa ji' gihłeereheechyaa.’” 
42:13:010:0	Ch'ihłan Neegwaazhii Drin gwiizhit Jesus ąįį Israel nąįį tr'igiinkhii zheh gwizhit geech'ǫąąhtan. 
42:13:011:0	Izhit gwizhit tr'injaa dhidii ąįį 18 years łąą vizhit ch'anky'aa iizųų dhidii, ąįį ts'an gwintł'oo iłts'ik, vanan ch'iłtsąįį ts'ą' khyų' k'igwąą'ee nadhat. 
42:13:012:0	Nijin Jesus niyiił'in dąį' aanaii yahnyąą ts'ą' t'iiyahnyąą, “Tr'injaa, juk gwats'an t'ee ch'anky'aa iizųų ts'an neehants'ik kwaa!” 
42:13:013:0	Yakat naanjik ts'ą' zhat łyaa k'igwąą'ee nadhat naanaii ts'ą' izhit zhat Vit'eegwijyąhchy'aa geenjit deehiił'ee. 
42:13:014:0	Israel nąįį tr'igiinkhii zheh gwizhit gwats'ą' k'eegwaadhat nilii łyaa Neegwaazhii Drin dinjii shrininlik eenjit vik'įį gwanlii, ąįįts'ą' dinjii nąįį ts'ą' khaginkhee. “Nihk'iitik drin gwizhrįh tr'agwarahah'yaa geenjit goo'aii, izhit drin gwizhrįh nakhwats'ą' tr'ireheendal eenjit oo'ee neekhwadal. Neegwaazhii Drin t'agwaihnyąą kwaa!” 
42:13:015:0	Diik'eegwaadhat t'iiyahnyąą, “Gwik'iinjiighit adaa'įį ǫhłįį! Neegwaazhii Drin nakhwąnin kwaii dineegoovahoh'at ts'ą' chųų goovahohjyaa goo'aii. 
42:13:016:0	Gwiizhit jii tr'injaa yeenii Abraham ts'an deedhaa 18 years łyaa Ch'anky'aa Tr'aanduu (Satan) yits'ą' k'eegwildhat, ąįį lee Neegwaazhii Drin Ch'anky'aa Tr'aanduu ts'an gadarahahchyaa kwaa goo'aii?” 
42:13:004:1	K'eegwaadhat Veegwinii'ee Eenjit Vagwandak Neekwaii
42:13:017:0	Jii deenyąą eenjit zhit juu yitr'ii'ee nąįį ideenjit oozhii gaadlit, gwiizhit ch'izhii dinjii nąįį andah geegaroolii kwaa t'iizhik datthak geenjit łyaa shoo ginlii. 
42:13:018:0	Jesus ch'oahkat, “K'eegwaadhat Veegwinii'ee doonchy'aa t'agwarahnyąą? Jidii geeghaih gwik'it t'oonchy'aa haa nihłaa geegihihkhyaa? 
42:13:019:0	Jii k'it t'oonchy'aa, dinjii ąįį mustard seed tsal oonjik ts'ą' gwanzhįh dehk'it gwit'eiin'ąįį ąįį niłshįį ts'ą' ts'iivii nitsii dhidlit, ąįįts'ą' chiitsal kwaii yakat t'oh ąhtsii.” 
42:13:020:0	Chan hee Jesus ch'oahkat, “K'eegwaadhat Veegwinii'ee jidii geeghaih gwik'it t'oonchy'aa haa nihłaa geegihihkhyaa? 
42:13:005:1	Gindeiinvyaa K'it Gwints'ik
42:13:021:0	Jii k'it t'oonchy'aa, tr'injaa tyah choh zhit łųh deedąą'ąį' tee łųh vaanahshii gwiteiinjaa, ąįį łųh datthak vaa hąąhshii gwats'ą' datthak.” 
42:13:022:0	Jesus ąįį Jerusalem gwats'ą' ahaa gwiizhit zhit gwa'an kwaiik'it gwatsal, kwaiik'it gwachoo gwitee ahaa ts'ą' geech'ǫąąhtan. 
