42:6:001:1	Jesus Vitsyaa Nąįį Neegwaazhii Drin gwizhit Tr'agogwah'in.
42:6:001:0	Ch'ihłan Neegwaazhii Drin Jesus, vitsyaa nąįį haa gwanzhįh tł'oo li' nahshii gwa'an geedaa. Gwiizhit vitsyaa nąįį dagantł'ee tł'oo li' nahshii tee giitee gihłeegwigwihilii ąįįtł'ęę giiyaajyaa.  
42:6:002:0	Jesus vitsyaa nąįį gwanzhįh tł'oo li' gaajyaa. Pharisee nąįį googwąąh'in ts'ą' t'agoogahnyąą, “Jaghaii juk drin tr'agoh'in? Jyąhts'ą' gwik'injiriighit kwaa t'oonchy'aa.” 
42:6:003:0	Jesus t'agoovahnyąą, “Yeenii David chan ts'ą' juu yaa nilii nąįį haa goozhit gwiłts'ik dąį' deegiizhik ąįį Dęhtły'aa Choh zhit geenjit deegwinyąą ganoondaii? 
42:6:004:0	David ąįį zheh gwadhah vizhit kharigidiinjii dehk'it goo'aii izhit nihdeiinzhii ts'ą' łųhchy'aa Shroodiinyąą iin'al ąįįtł'ęę yalat chan yaa nilii nąįį goovantł'ahtsit. Jyaa digwehee'yaa kwaa goo'aii ts'ą' giinkhih nąįį zhrįh ya'aa gaandaii googaa gwik'it t'iizhik.” 
42:6:002:1	Jesus, Dinjii Vanli' Iłchįį Dhidlit ts'ą' Tr'iinjik.
42:6:005:0	“Shįį Gwidinji' t'ihchy'aa ąįį geh'an dinjii nąįį Neegwaazhii Drin deegoo'ya' goovoihnyąą gwik'it t'igihee'yaa goo'aii.” 
42:6:006:0	Ch'adanh Neegwaazhii Drin gwiizhit Jesus Israel nąįį tr'igiinkhii zheh nihdineezhii, ts'ą' geech'ǫąąhtan akhai' izhit gwizhit dinjii shriits'ąįį vanli' iłchįį dhidii. 
42:6:007:0	Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį (Scribes) haa chan zhat giilk'ii ts'ą' giik'aahtii, Neegwaazhii Drin zhit dinjii vanli' shrineeheelyaa ji' geenjit, jyaa diizhik ji' gwiizųų t'ii'in giihaanjyaa geenjit. 
42:6:008:0	Gaa ąįį Jesus deegiindhan goovandaii ts'ą' ąįį dinjii vanli' iłchįį dhidlit t'ahnyąą “Aanaii dzaa gwatł'an shats'ą' hinkhaii.” Ąįį dinjii yeeghaii niinzhii tł'ęę dinjii nąįį oahkat, 
42:6:009:0	“Dęhtły'aa Choh zhit gwa'an nik'ee Neegwaazhii Drin gwizhit gwits'eediireen'yaa nik'ee geenjit gwadanakhwatł'oo? Jidii shrit t'igwehee'yaa, dinjii ts'ireheenjyaa akwat ts'arahaatthaa? Dinjii viheekwaa gwits'į' gadarahahchyaa akwat dinjii ęhdaa tr'igwirehee'aa?” 
