42:23:001:1	Jesus, Pilate ts'ą' Nigiiyąąhchįį
42:23:001:0	Izhit Israel gwakhaihkwaii nąįį datthak ndak nigiinjil ts'ą' Pilate ts'ą' Jesus nagąąhchįį. 
42:23:002:0	Izhit t'ee jyąhts'ą' giiyeeginkhii, “Jii dinjii t'ee dinjii nąįį teehilii, ‘Caesar ts'ą' tax ohkwat shrǫ',’ goovahnyąą ts'ą' chan King akwat Christ chan adaanyąą.” 
42:23:003:0	Pilate yuahkat, “Nan lee Jews nąįį goo-King inlii?”Jesus jyaa diyahnyąą, “Nan reh jyaa diinyąą t'oonchy'aa reh.” 
42:23:004:0	Ąįįtł'ęę Pilate ąįį giinkhih kįh dilk'ii nąįį chan ts'ą' zhat dinjii dilk'ii nąįį jyaa ahnyąą, “Jii dinjii jaghaii tr'ahaahkhwaa veegwaał'in kwaa.” 
42:23:002:1	Jesus, Herod ts'ą' Nigiiyąąhchįį
42:23:005:0	Gaa łyaa gwint'aii giginkhii ts'ą' jyaa ginyąą, “Judea nahkat gwizhit geech'ǫąąhtan ts'ą' veh'an dinjii nąįį nihłiighan. Galilee hee hiłjik ts'ą' juk chan dzaa k'idik.” 
42:23:006:0	Nijin Pilate jii gwiitth'ak dąį', jyaa goovahnyąą, “Jii dinjii Galilee gwats'an ahaa?” 
42:23:007:0	Nijin nahkat Herod gwats'ą' k'eegwaadhat gwats'an Jesus ahaa gwiky'aanjik dąį'. (Izhit dąį' Herod Jerusalem dhidii.) Izhit gwats'ą' Jesus yats'ą' nąąhchįį. 
42:23:008:0	Herod, Jesus niił'in dąį', łyaa shoo nilii. Dee'in yeegwiitth'ak ts'ą' khit nooł'ya' yuunyąą. Jesus shandah nagohts'į' niindhan. 
42:23:009:0	Herod, Jesus gwintł'oo oahkat, gaa yidii ginkhii kwaa. 
42:23:010:0	Giinkhih kįh dilk'ii nąįį Law eech'ǫąąhtan nąįį haa k'iindaa nigiinjil ts'ą' gwiizųų datthak Jesus eegiginkhii. 
42:23:011:0	Herod viniveet'ah'in nąįį haa giiyeedlaa ts'ą' giiyuuzhri' iizųų ąhtsii. Ik łyaa nizįį Jesus anagąhtsuu. Ąįįtł'ęę Pilate ts'ą' nineegiiyąąhchįį. 
42:23:003:1	Jesus Tr'ahaahkhwaa
42:23:012:0	Izhit drin gwats'an t'ee Herod chan ts'ą' Pilate haa nihjyaa gaadlit. Gwehkįį dąį' nihłitr'igii'ee. 
