42:15:001:1	Dinjii Vaa Tr'igweendaii
42:15:001:0	Ch'ihłan drin zhit gwa'an tax eenjit laraa oonjii nąįį, dinjii vatr'agwaanduu nąįį haa Jesus goohaahky'aa eenjit ts'ą' gahaajil. 
42:15:002:0	Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį haa łyaa gitr'igii'ee ts'ą' jyaa ginyąą, “Jii dinjii vatr'agwaanduu gwanlii nąįį hił'ee ts'ą' goovaa gaa ch'a'aa!” 
42:15:003:0	Ąįį eenjit jii gwandak kwaii gwizhit geegavoąąhtan, 
42:15:004:0	“Nakhwatee ch'ihłak divii 100 di'įį, akhai' ch'ihłak haa tr'igweendaii ji', deehee'yaa t'inchy'aa? Divii 99 kwaii tthan gwa'an akhooheenjyaa ts'ą' divii ch'ihłak ineegwahah'aa gwats'ą' datthak niheentyaa. 
42:15:005:0	Nijin yineegwąh'ąįį dąį', it'ee łi' shoo nilii ts'ąįį daghwahk'at diyahahdyaa, 
42:15:006:0	ts'ą' dizheh gwits'eeyeheeghwaa. Ąįįtł'ęę yeeghaii gwich'įį nąįį khaihłan niheelyaa ts'ą' vijyaa nąįį jyaa goohaanjyaa, ‘Divii vaa tr'igweendaii ineegwał'ąįį łyaa shoo ihłii. Shroonchy'aa gwarohtsyaa!’ 
42:15:002:1	Laraa Ghoo Tsal Ch'ihłak haa Tr'igweendaii Googwandak
42:15:007:0	Izhit gwik'it, naagwaldak, dinjii vatr'agwaanduu gwanlii, ąįį datr'agwaanduu akhagoonyąą eenjit zheekat veetsee'in tr'iheelyaa, ch'izhii dinjii nizįį 99 nąįį andaa ts'ą'.” Jesus nyąą. 
42:15:008:0	“Tr'injaa ąįį laraa ghoo tsal ch'ihłoaatin ts'an ch'ihłak haa tr'agwąhdaii ji', deehee'yaa t'inchy'aa? Adrii neehaahky'aa ts'ą' gihłeech'iheelii ts'ą' nijuk datthak yinkeegwahąąh'yaa yineegwahah'aa gwats'ą'. 
42:15:009:0	Nijin yineegwąh'ąįį ji', dijyaa chan ts'ą' yeeghaii gwich'įį nąįį khaihłan niheelyaa ts'ą' jyaa goohaanjyaa, ‘Shalaraa haa tr'agwąłdaii ineegwał'ąįį łyaa shoo ihłii. Shroonchy'aa gwarohtsyaa!’ 
42:15:003:1	Dinjii Vigii Oo'ee Neezhįį
42:15:010:0	Izhit gwik'it, naagwaldak, Vit'eegwijyąhchy'aa vats'an zheekat gwich'in nąįį dinjii ch'ihłak datr'agwaanduu akhagoonyąą eenjit shoo ginlii.” 
42:15:011:0	Jii t'ee Jesus chan hee gwandak ch'ihłak eeginkhii, “Ch'ihłan reh dinjii ch'ihłee vigii neekwaii gwanlii. 
42:15:012:0	Vigii khaii ts'ą' ąįį yits'ą' haazhii. ‘Shiti', jii nan ni'įį ąįį nih'an teetł'an diits'an ąhtsii’. Ts'ą' t'ee ąįį dinjii digii tsyaa neekwaii nąįį ts'ą' danan nih'an intł'eiin'ąįį. 
42:15:013:0	Ąįįtł'ęę niighyuk gwahaadhat kwaa ts'ą' tsyaa khaii ts'ą' ąįį jidii di'įį kwaii haa ch'adanh nahkat gwats'ą' haazhii. Dalaraa zhyaa an iłtsąįį. 
42:15:014:0	Gwiizhit ąįį ch'adanh nahkat shih kwaa nagwaanąįį ts'ą' adan t'ee vaach'akwaa. 
42:15:015:0	Izhit gwats'an dinjii danan ts'eeyihiłchįį ts'ą' pig yeenjit k'ąąhtii. 
42:15:016:0	Ch'ihłee gaa yintł'eech'ahtsit kwaa, ts'ą' pig shįį gaa oih'aa yiindhan.  
42:15:017:0	“Nijin vaaneegwaakįį k'it t'iizhik dąį', idizhit niinjich'adhat, ‘Shiti' vitsyaa nąįį datthak juk shandaa gwinzii ch'aga'aa, gwizhit shihdeehaagaii! 
42:15:018-019:0	Oo'an neehihdyaa ts'ą', “Shiti', K'eegwaadhat nan haa nakhwats'ą' gwiizųų tr'agwał'ya'. Shiti', neenjit tr'agwał'ya' nihthan vaahaihjyaa. Nigii ąįį hihłyaa kwaa, gaa neenjit gwitr'it t'agwahał'yaa.” 
42:15:020:0	Ts'ą' t'ee diti' ts'eehoozhii. Tth'aii hee dizheh gwats'ą' niighit needyaa gwizhit viti' niyiił'in ts'ą' neeshraahchy'aa yuunyąą ts'ą' yits'ą' hilgit ts'ą' yąhtsit ts'ą' yik'ohkhinil'ąįį ts'ą' yiilts'ų'. 
42:15:021:0	‘Shiti', K'eegwaadhat nan haa nakhwats'ą' gwiizųų tr'agwał'ya'. Nigii ihłii geenjit giihthan kwaa,’ yahnyąą. 
42:15:022:0	Ch'iti' ditsyaa nąįį t'ahnyąą, ‘Khan t'akhwa'in ts'ą', shizheh gwats'an gwach'aa nizįį, kwaiitryah ts'ą' nileetth'ak haa, shigii veenjit ǫhjii. 
42:15:023:0	Ąįįtł'ęę aak'ii zhuu ch'ihłak dohkhwąįį. Ąįįtł'ęę gwintł'oo ch'arehee'aa gohtsii. 
42:15:024:0	Shigii teehaazhii ts'ą' juk sheek'inidik. Shigii niindhat ts'ą' neegwiindaii k'it shaa t'oonchy'aa.’ 
42:15:025:0	“Jyaa digwii'in gwiizhit ch'oondee ąįį oo'at gwanzhįh deek'it tr'agwah'in. Drin gwigwitr'it haa ndaanaahjik, dizheh gwats'ą' niighit kwaa needyaa akhai' ch'ilik ąįįts'ą' ch'araadzaa gwiitth'ak. 
42:15:026:0	‘Deegwii'in?’ nyąą ditsyaa oahkat. 
42:15:027:0	‘Nachaa veenjit gwinzii ts'ą' k'inidik, geh'an niti' aak'ii zhuu ak'ii diłkhwąįį,’ vitsyaa yahnyąą. 
42:15:028:0	Akhai' voondee vik'įį gwihiilnaii ts'ą' dizheh nihdinidii gitr'ii'ee. Izhit geh'an, viti' yits'ą' cheiinzhii, ts'ą' t'iiyahnyąą, ‘Oozhee ch'ara'aa, nihdeiinkhaii.’ 
42:15:029-030:0	Diti' ąįį t'ahnyąą, ‘Nitsyaa chan ihłii ts'ą' deeshaiinyąą tthak chan nik'eegwałthat, gwiizhit duuyeh gaa divii tsal shijyaa nąįį haa vaa ch'ara'aa hałtsyaa eenjit shantł'ahchįį, gwizhit jaghaii nigii ąįį nalaraa ąįį yit'ii tr'injaa haa dhichįį gwiizhit veenjit ch'ara'aa gwąhtsii?’ 
42:15:031:0	“‘Shidinji', khit shaa t'inchy'aa. Jidii shi'įį datthak nats'an nilii. 
42:15:032:0	Gaa gwintł'oo ch'aroo'aa ts'ą' shoo tr'oolį', nachaa niindhat ts'ą' neegwiindaii k'it t'oonchy'aa geh'an. Vaatr'igweendaii gaa vineegwarah'ąįį,’ viti' yahnyąą.”
