42:14:001:1	Jesus Dinjii Iłts'ik Shrinilik.
42:14:001:0	Ch'ihłan Neegwaazhii Drin gwiizhit Jesus ąįį Pharisee kheihkwaii nąįį ch'ihłak zheh yaaneech'ahaa'al. Zhat dinjii nąįį łyaa Jesus deehee'yaa ji' eenjit gwinzii k'eek'aahtii. 
42:14:002:0	Zhat vęhdaa łąą dinjii vatth'an, vigin haa ilzhal dhidii. 
42:14:003:0	Ąįįts'ą' Jesus, Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį ts'ą' khaginkhee ts'ą' goovahkat, “Dii-Law zhit gwa'an nik'ee Neegwaazhii Drin gwizhit dinjii shrineereheelyaa akwat nakwaa haa ch'ihłak nik'ee gwinyąą?” 
42:14:004:0	Gaa reh giidii ginkhe' kwaa. Ąįįts'ą' Jesus ąįį dinjii oonjik ts'ą' yats'ą' tr'iinjik ąįįtł'ęę t'oołii neeyihił'e'. 
42:14:005:0	Ąįįtł'ęę t'agoovahnyąą “Nakhwagii akwat nakhwa-Ox ąįį Neegwaazhii Drin gwizhit chųųk'it gwizhit t'aanaii ji', Neegwaazhii Drin gwizhit geh'an khaneehohchyaa kwaa?” 
42:14:002:1	Juu Gwintsii Veegoo'aii Adoodiinyąą Kwaa Izhit Gwizhit Geech'arǫąąhtan
42:14:006:0	Gaa deegiihaanjyaa gaagiindaii kwaa. 
42:14:007:0	Nijin ąįį juu ch'igihee'aa eenjit zhat dilk'ii nąįį gwinzii gahaaky'aa gwideek'it gwankagantii Jesus gooky'anjik dąį', jii gwandak zhit geegavoąąhtan. 
42:14:008:0	“Nijin nihłeegwarahchįį ch'ara'aa gwarahtsii eenjit aanaii nakhwarahnyąą dąį', gwinzii hooky'aa gwinkeehoh'ik kwaa. Duulee nakhwandaa t'agwahtsii veegoo'aii chan zhat aanaii varahnyąą ji', gaanandaii kwaa t'oonchy'aa. 
42:14:009:0	Ąįį juu nihłaa aanaii nakhwahnyąą ąįį nakhwats'ą' niheehaa ts'ą' jyaa nahaanjyaa, ‘Dzaa heedyaa eenjit vintł'eegwiin'ąįį!’ Ąįįts'ą' gwintł'oo geegoo'aii kwaa. Ąįį hindyaa ts'ą' ada'oozhii hahłyaa. 
42:14:010:0	Izhit gwits'į' aanaii narahnyąą dąį', gwintł'oo geegoo'aii kwaa gwideek'it ts'ąįį dhindii. Ąįį ji', ąįį juu aanaii nahnyąą nats'ą' heekhaa ts'ą' jyaa nahaanjyaa, ‘Aanaii shijyaa, dzaa gehdee gwinzii hee dhindii.’ Jyaa naraiinyą' ji', t'ee zhat dilk'ii nąįį tthak łyaa hoon'ee łee googwahąąh'yaa. 
42:14:011:0	Juu gwintsii veegoo'aii adoonyąą, t'ee zhak gineerahahchyaa. Gaa juu gwintsii veegoo'aii kwaa adoonyąą, ąįįt'ee łyaa gwintsii veegoo'aii.” 
42:14:012:0	Ąįįtł'ęę Jesus ąįį juu haa neech'ahaa'al jyaa ahnyąą, “Zhit gwa'an nijyaa, nachaa, nalak akwat valaraa gwanlii neh'at gwich'įį nąįį gooch'ahah'aa aanaii goovoiinyą' shrǫ' jyaa nizhik ji', geedan chan ch'ihin'aa eenjit aanaii nagahaanjyaa, ts'ą' deeni'ya' eenjit nineegwarookwat k'it nihk'it t'igwiichy'aa. 
42:14:013:0	Gach'ahąh'aa ji', juu neeshraahchy'aa, veegogwantrii, neehidik kwaa ts'ą' vandee kwaa nąįį, ach'ąh'aa. 
42:14:003:1	Ch'arehee'aa Gwintsii Goodlit Googwandak Gwizhit Geech'ǫąąhtan
42:14:014:0	Nineegogooheekwat gagadhan kwaa gaa Vit'eegwijyąhchy'aa nashoohahłyaa ts'ą' nineegwahahtsyaa, nijin drin dinjii łi'didlii nąįį neegwiindaii ji'.” 
42:14:015:0	Nijin ąįį dinjii ch'ihłak vakaa'aa ts'ą' dhidii gwaak'įį dąį' Jesus jyaa dahnyąą, “Juu K'eegwaadhat Veegwinii'ee gwizhit k'iindaa vakaa'aa ts'ą' giilk'ii shoo giheelyaa.” 
42:14:016:0	Jesus t'iiyahnyąą, “Dinjii ch'ihłak gwintł'oo vikeech'iłchy'aa ts'ą' lęįį nąįį ch'ihee'aa eenjit aanaii ahnyąą. 
42:14:017:0	Nijin it'ee datthak shrigwiinlik dąį' ditsyaa ąįį juu ineech'ehił'al nąįį jyaa varoonyą' nyąą, ‘Aanaii, nanakhwadhal'in!’ 
