42:3:001:1	John Chųų Gwats'an Ąhtsii Nilii Gwaandak
42:3:001:0	Tiberias Caesar, Roman gwakhaihkwaii choh, ąįį izhit zhat gwa'an nihky'aa nankat gwintsii goodlii datthak łąą 15 years gwizhit k'eegwaadhat nilii. Pontius Pilate chan izhit dąį' Judea nahkat gwats'ą' k'eedeegwaadhat. Herod Antipas chan izhit dąį' Galilee nahkat gwats'ą' k'eegwaadhat. Ąįį vachaa Philip chan Iturea nahkat, Trachonitus nahkat haa geenjit k'eegwaadhat nilii. Lysanias chan Abilene nahkat gwats'ą' k'eegwaadhat. 
42:3:002:0	Dinjii Annas chan ts'ą' Caiaphas haa chan ndak khii giinkhih choh ginlii. Zechariah vigii John zhat dąį' Vit'eegwijyąhchy'aa viginjik haa yits'ą' nideech'iin'ąįį, oo'ok nangwinjir gwa'an hee. 
42:3:003:0	Ąįįts'ą' t'ee John zhit Jordan han gwinjik geeghaih gwa'an nahkat datthak łąą k'eekhwazhii. “Nakhwatr'agwaanduu gwats'an łihts'eedǫǫ'ee ts'ą' geenjit nakhwats'an chųų ilii, ąįįtł'ęę t'ee Vit'eegwijyąhchy'aa nakhwatr'agwaanduu nakhweenjit oo'an gweheelyaa,” jyaa nyąą ts'ą' geech'ǫąąhtan.  
42:3:004:0	Ąįįt'ee Isaiah Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii jii kwaii dęhtły'aa zhit geenjit gwadanakhwatł'oo,“Nangwinjir gwa'an tr'azhral gwigwiitth'ak ts'ą' jyaa digwinyąą;‘K'eegwaadhat vits'ii tąįį gwinjik shrigwinlii ts'ą' k'iindaa tąįį k'igwąą'ee heekhaa veenjit nagwiintthaii!Nangwinjir gwa'an shraa haa tr'azhral goohtth'ak:K'eegwaadhat vidivee tąįį eenjit shragohłii!Geh'ok chan kwaa ts'ą' k'iindaa k'igwąą'ee veenjit nagoh'ąįį. 
42:3:005:0	Nakhwadeekwaii zhak neegohdii gwachoh goo'aii ji' k'igwąą'ee neegohtsii!Taih akwat ddhah choh kwaii datthak k'igwąą'ee nohtsii!Tąįį k'igwąą'ee gwanlii kwaa kwaii k'igwąą'ee neegohtsii!Nideekwaii gwiizųų kwaii gwinzii neegohtsii! 
42:3:006:0	Jii nankat gwidinjii datthak K'eegwaadhat vineegweezhii gwahąąh'yaa.’” 
42:3:007:0	Lęįį nąįį chųų goots'an gweheelyaa eenjit John ts'ą' gahaajil jyaa goovahnyąą, “Gyųų choh ts'an deedhaa nąįį! It'ee niighit kwaa Vit'eegwijyąhchy'aa vats'an khaiinjich'akhwaghit gwideetaa hohdaa nohthan? 
42:3:008:0	Nats'ąą nakhwatr'agwaanduu ts'an łihts'eedǫǫ'ee geenjit gogoohch'in! ‘Yeenii diilak Abraham ts'an deedhaa,’ jyaa nihłohnyą' shrǫ'! Nakhwaagwahaldak! K'eegwaadhat jii kii kwaii ji' gaa Abraham ts'an deedhaa hahtsyaa t'oonchy'aa gaakhwandaii. 
42:3:009:0	Jidii ts'iivii vakat jak gwinzii nahshii kwaa ąįį vadachan daa'aii haa tr'iheekyaa goo'aii ts'ą' heek'an.” 
42:3:010:0	Dinjii nąįį giiyųąhkat, “Akwaa ji', deegwehee'yaa?” 
42:3:011:0	“Juu ik neekwaii di'įį, ąįį di'ik ch'ihłak zhit dinjii ch'ihłee vi'ik kwaa ąįį antł'eeyahahchal, ąįįts'ą' juu vishii gwanlii chan oo'ok gwantł'eeyahahchaa,” goovahnyąą. 
42:3:012:0	Tax eenjit laraa oonjii nąįį chan chųų goots'an heelyaa eenjit giits'ą' haajil, ts'ą' giiyųąhkat, “Geech'ǫąąhtan, deegwehee'yaa?” giiyahnyąą. 
42:3:013:0	“Laraa daanchy'aa hohtsyaa goo'aii gwandaa t'ąąnchy'aa ǫhjii shrǫ',” goovahnyąą. 
