42:7:001:1	Jesus, Roman Niveet'ah'in Kheihkwaii Vitsyaa Ineegwahdaii
42:7:001:0	Nijin Jesus deeheenjyaa goo'aii datthak gwik'it t'iinyą' ąįįtł'ęę kwaiik'it Capernaum kwaiik'it gwats'ą' haazhii. 
42:7:002-003:0	Izhit kwaiik'it gwizhit Roman niveet'ah'in kheihkwaii, nijin Jesus eegwiitth'ak dąį', Israel kįh dilk'ii nąįį yits'ą' hił'e', ts'ą' Roman niveet'ah'in kheihkwaii vitsyaa łyaa gwint'aii iłts'ik ts'ą' vats'ą' hinkhaii ts'ą' veenjit gwinzii neegwąhtsii giihaanjyaa eenjit. 
42:7:004-005:0	Jesus ts'ą' gahaajil ts'ą' giits'ą' tr'igwidii haa giiyųąhkat, “Ąįį łyaa Israel Gwich'in nąįį datthak eet'iindhan ts'ą' tr'igiinkhii zheh gaa diineenjit gwiłtsąįį t'iinchy'aa. Izhit kwaii geh'an vats'ą' tr'ihiindal geenjit nat'aahchy'aa t'iinchy'aa.” 
42:7:006:0	Ąįįts'ą' Jesus goovaahaazhii. Roman niveet'ah'in vizheh gwats'ą' nahgwan geedaa gwizhik Roman niveet'ah'in vijyaa nąįį yits'ą' chiinjil ts'ą' t'iiyahnyąą. “Shalak, gwahkwaa zhyaa nihdeiinkhaii. 
42:7:007-008:0	Tr'ihkhit nahoł'ee ts'ąįį shizheh nihdeehinhaa gaa gitr'ih'ee ąįįts'ą' shįį chan nats'ą' hihshyaa eenjit dinjii nizįį ihłii kwaa. Dinjii shats'ą' k'eegwaadhat gwanlii ts'ą' shįį chan dinjii vats'ą' k'eegwaldhat nąįį gwanlii t'oonchy'aa. Jii niveet'ah'in dinjii ch'ihłak jyaa vakhaihjyaa, ‘T'ohłii neehindii!’ ts'ą' t'ohłii neeheedyaa. Ch'izhii niveet'ah'in dinjii chan jyaa vakhaihjyaa, ‘Aanaii!’, ąįįts'ą' shats'ą' heekhaa. Zhit juu khit shitsyaa sheetr'agwąh'in chan jyaa vakhaihjyaa, jyaa deeni'in ąįįts'ą' jyaa deeni'in vaihnyąą gwik'it t'ihee'yaa.’” 
42:7:009:0	Jesus łyaa geegoolii kwaa nijin gwiitth'ak dąį'. Juu vatąįį adaa nąįį ts'ą' neediil'ee ts'ą' t'agoovahnyąą, “Łi' haa ch'ihłok gaa jyaa deegwahtł'oo shik'injiriighit gaashandaii kwaa, Israel gwich'in nąįį gaa reh.” 
42:7:002:1	Jesus, Tr'injaa Vigii Tsyaa Ineegwahdaii
42:7:010:0	Roman niveet'ah'in vijyaa nąįį oo'an neegahoojil dąį' ąįį Roman niveet'ah'in vitsyaa veenjit gwinzii neegahoodlit. 
42:7:011:0	Ąįįtł'ęę niighit kwaa Jesus oodak kwaiik'it Nain gwats'ą' haazhii, dinjii lęįį nąįį chan ts'ą' Vitsyaa nąįį haa chan giiyaahaajil. 
42:7:012:0	It'ee łąą kwaiik'it nihdeegihijyaa gwiizhit tsyaa niindhat ąįį giheetsii eenjit chagahahchįį. Ąįį tr'injaa vakai' chan gwehkįį niindhat ts'ą' chan jii tsyaa niindhat chan it'ee zhrįh vigii nilii. 
