42:22:001:1	Jesus Tr'ahaahkhwaa Giiyeenjit Gwiłtsąįį.
42:22:001:0	Drin gwiteegogwąąnchy'aa łųhchy'aa vitee łųh vaaniituu kwaa tr'ihee'aa khaiinjii nigwiindhat, ąįįt'ee Passover gagahnyąą. 
42:22:002:1	Judas ąįį Jesus Gwintł'eehahchyaa Eenjit Veenjit Gwinzii.
42:22:002:0	Giinkhih kįh dilk'ii nąįį chan ts'ą' Law eech'ǫąąhtan nąįį haa dinjii nąįį agąąnjat ts'ą', nats'ahts'ą' gwik'iighai' Jesus gahaahkhwaa gwankagantii geetr'agogwah'in. 
42:22:003:0	Jesus vitsyaa 12 nąįį ch'ihłak Judas Iscariot oaazhii ąįį Ch'anky'aa Tr'aanduu yizhit diindhat. 
42:22:004:0	Ąįįts'ą' t'ee Judas ąįį giinkhih kįh dilk'ii nąįį chan ts'ą' Kharigidiinjii Zhee Gwachoo gwats'ą' k'eegwaadhat nąįį haa ginkhii, nats'ahts'ą' Jesus goontł'eehahchyaa geegiginkhe'. 
42:22:005:0	Deegiinyą' ąįį geenjit shoo ginlii ts'ą' laraa haa giigoinkwat. 
42:22:003:1	Jesus Passover Eenjit Neech'ihee'aa Eenjit Shrigwilii Drin.
42:22:006:0	Judas aahą' nyąą ts'ą' t'ee dinjii nąįį gwiky'aahaandal kwaa eenjit nats'ahts'ą' gwintł'eeyahahchyaa gwankantii. 
42:22:007:0	It'ee Passover nigwiindhat ts'ą' łųhchy'aa vitee łųh vaaniituu kwaa tr'ihee'aa nigwiindhat ts'ą' divii tsal kwaii ąįį geenjit gahaahkhwaa goo'aii. 
42:22:008:0	Jesus ąįį Peter chan ts'ą' James haa jyaa ahnyąą, “It'ee hoh'oo ts'ą' Passover geenjit ch'arehee'aa diineenjit gohtsii.” 
42:22:009:0	“Ąįį nijin ch'arehee'aa gwarohtsyaa diinoiinyaa?” giiyahnyąą. 
42:22:010:0	Jyaa goovahnyąą, “Ch'oodǫǫhk'įį! Nijin kwaiik'it gwachoo nihdǫǫ'oo gwiizhit dinjii chųų tyah zhit chųų haa nakhwats'ą' tr'iheehaa t'oonchy'aa. Nijin zheh nihdeiinzhii ąįį vaa nihdǫh'oo, 
42:22:011:0	ts'ą' ąįį juu zhat zheh gwats'ą' k'eegwaadhat jyaa vohnyąą: ‘Geech'ǫąąhtan jyaa nahnyąą, nizheh gwizhit nijin shitsyaa nąįį haa Passover drin neech'irehee'aa?’ 
42:22:012:0	Zheh gwił'ąįį gwakat chan zheh dagoo'aii nats'ą' googwahaahchy'aa, izhit gwizhit datthak shragahohłyaa.” 
42:22:004:1	Jesus Tr'ookit Ninjigwadhat Iłtsąįį
