41:14:001:1	Jesus diyoolyéełgo binahast'ą́
41:14:001:0	Áko atis'adeesdzá bee bééhániihii áádóó díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh éí naaki jį́ hadziih. Áko aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii éí Jesus t'áá nahont'inee deidoołtsoł áádóó deidiyoołhéłígíí yíkadadilts'i', 
41:14:002:1	Jesus éí Béthaniigi ak'ah bee ats'ábi'deeltį́
41:14:002:0	nidi ádadííniid, Hodílzingo áłah ná'ádleeh góne' éí dooda, háálá ákódeiidzaago diné hadahodínóołchał. 
41:14:003:0	Áko Béthaniigi Sáíman éí łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ą́ nít'é'ígíí bighan góne' ajiyą́ągo dzizdá, nít'éé' asdzání léi' ch'il nard wolyéii bik'ah t'áá bízhání t'áá íiyisí ílíinii éí tózis tsé alabáster wolyéhígíí bee ályaago yee yah ayíí'ą́, áádóó tózis bidáa'gi yists'ilgo hatsii'káa'jį' ak'ahígíí hatsii' yik'i yayiiziid. 
41:14:004:0	Nidi ła', Ha'át'íishą' biniyé díí ak'ah kót'éego t'óó bee na'as'ne', da'ahidi'níigo yik'ee doo bił dahóózhǫǫd da. 
41:14:005:0	Háálá díí ak'ahígíí táadi neeznádiin denériyas t'ah biláhígo bą́ą́h ílį́įgo nahidoonih nít'éé', áko éí béesoígíí diné badahojoobá'íígíí bitaas'nii' doo nít'éé', daaníigo yee haa nídaat'į́. 
41:14:006:0	Nidi Jesus áhodííniid, T'áadoo baa nídaaht'íní; ha'át'íísh biniyé baa nídaaht'į́? Háálá yá'át'éhígi shá ádzaa. 
41:14:007:0	Háálá badahojoobá'íígíí t'áá áłahjį' nihitaadaakai, áko t'áá ooleełgi ándeinohdzįįhgo yá'át'éehii bá baa ninádaahkah, nidi shí t'éiyá doo áłahjį' nihitaasháa da. 
41:14:008:0	T'áá bízhneel'ánígi ádziidzaa; shits'íís yóó'ádoolníłígíí t'áá bítséedi shidzistłah. 
41:14:003:1	Júdas éí Jesus ninéididoo'áałgi yee lą́ asłį́į́'
41:14:009:0	Áko t'áá aaníígóó ánihidishní, Nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó hane' yá'át'éehii baa dahane'góó, díí asdzání ádzaaígíí bee bééhániih biniyé ałdó' baa hane' dooleeł. 
41:14:010:0	Ákohgo Júdas Iskáriyat, éí naakits'áadahígíí ła' nilį́įgo, aláahgo nááda'iiłniihii yaa hodidoo'ááł yiniyé yaa níyá. 
41:14:004:1	Atis'adeesdzá bee bééhániihii hódahooł'aahii bił dazhdooyį́į́ł
41:14:011:0	Áko éí deidiizts'ą́ą'go bił dahóózhǫǫdgo, Béeso naa dadii'nił, dahodííniid. Áádóó ha'át'éegoda ashja'iilaago nináhozhdidoo'áałgi baa nitsídzíkeesgo hodideeshzhiizh. 
41:14:012:0	Nít'éé' díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh ła'a jį́ aleeh góne' atis'adeesdzá bee bééhániih dooleełgo dibé yázhí náádajiiłniih baa hoolzhiizhgo hódahooł'aahii ádahodííniid, Atis'adeesdzá bee bééhániihgo yidánígíí dííyį́į́ł biniyé háadishą' ná hasht'ediilnííł? 
41:14:013:0	Áko nít'éé' hódahooł'aahii naakigo dashdiił'a'go ábizhdííniid, Kin haal'áhígóó doh'aash, áadi diné ła' bidaa'í yee tó yoo'áałgo nihidááh doogááł, éí t'áá bikéé' woh'ash doo, 
41:14:014:0	áko éí t'áá yah ííyáhí góne' kin bee bóhólníihii ábididoohniił, Na'nitiní nilíinii, Diné nidahakáahgo bá nahaz'ánígíí daats'í łahgo t'áá shá haz'ą́? Ákwe'é shí áádóó shídahooł'aahii atis'adeesdzá bee bééhániihgo yidánígíí bił dadeeshį́į́ł, niłní. 
41:14:015:0	Áko kin ná'ádeídi hótsaago t'áá áłdįįd hasht'ehoolyaago nihich'į' íidoolííł. Ákóne'é nihiba' hasht'edidooh'nííł. 
41:14:016:0	Áko íhooł'aahii dashdii'áazhgo kin haal'áhígóó jiní'áázh, nít'éé' t'áá aaníí t'áá áhodííniidígi át'éego bik'ízhní'áázh; ákwe'é atis'adeesdzá bee bééhániihgo dadoodį́łígíí t'áá áłdįįłt'éego ájiilaa. 
41:14:017:0	I'íí'ą́ągo hódahooł'aahii naakits'áadahígíí ákwii bił jíkai. 
41:14:018:0	Áko da'jiyą́ągo nidzíiztą́, nít'éé' Jesus ání, T'áá aaníí ánihidishní, Nihí nihił da'ashánígíí ła' nináshididooh'ááł. 
41:14:019:0	Áádóó t'ááłá'í jinítínígo bąąh daháni'go t'áá ałkéé', Da' shíísh? dajiníigo baa nízhdiikai. 
41:14:020:0	Áko ánááhodoo'niid, Jó, naakits'áadahígíí ła', t'áá shił éé'é'áhígíí éí áhodishní. 
41:14:005:1	Bóhólníihii Bidiyingo Adą́ áyiilaa
