41:16:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
41:16:001:0	Áko háá'áyį́į́h jį́ azlį́į́'dóó bik'ijį', Mary Mágdaliin áádóó Mary, James bimá, índa Salómii éí łikání halchinii spáis wolyéii ła' nidadziisnii', haazhdookahgo bee dahozhdoołtłah biniyé. 
41:16:002:0	Áko Damį́įgo t'óó ha'íí'ánígo tséní'ootséélgóó jookahgo, 
41:16:003:0	Háí lá tséní'ootséelgi tsé dáádeelmázígíí nahgóó nihá iidoołmas lá? da'ahizhdi'ní. 
41:16:004:0	Nít'éé' hadadzizghalgo éí tsé nahjį' eelmááz lágo dajiiłtsą́; jó, éí t'áá íiyisí nitsaa. 
41:16:005:0	Áko tséní'ootséél góne' yah ajookai, nít'éé' dinééh léi' algaigo hadít'éego nish'náájígo sidáago dajiiłtsą́, áko t'óó bik'ee tsídazdeesyiz. 
41:16:006:0	Nít'éé' áhodííniid, T'áadoo t'óó nihił adahayóí; jó, Názarethdóó Jesus, tsin ałnáoszid bikáa'jį' bił o'oolkaalígíí hadanohtá. Éí daaztsą́ą́dę́ę́' náádiidzá, áko doo kwe'é da, jó'akon, sitį́į́ nít'éé' yę́ęjį' dadóh'į́į́'. 
41:16:007:0	Nidi nihílááh, nihiba' Gáliliigóó jideeyáhígíí éí Jesus yídahooł'aahii índa Peter ałdó' bił dahołne'; t'áá yee nihił hoolne' yę́ęgi át'éego áadi dahwiidoołtsééł. 
41:16:002:1	Jesus éí Mary Mágdaliin yich'į' yit'íní í'diilyaa
41:16:008:0	Áko tséní'ootsééldóó ch'ééjíkaigo dashdiijéé', háálá bik'ee t'óó hoł adahayóigo hatah dahoditłid, áko nídadzildzidgo biniinaa diné ła' t'áadoo bee bił dahojoolne' da. 
41:16:009:0	[Áko Damíigo aleeh góne' dadziztsą́ą́dę́ę́' náázdiidzáádóó bik'ijį' t'áá íiyisí t'ah abínígo Mary Mágdaliin, éí asdzání biyi'dę́ę́' níłch'i bi'iiníziinii tsosts'id hazhnííłkaadígíí, éí ts'ídá áłtsé bich'į' yit'íní ízh'diilyaa. 
41:16:010:0	Ákohgo yił naakai yę́ę atínídadindleeh áádóó daacha lágo baazhníyáago bił hojoolne'. 
41:16:003:1	Jesus éí bídahooł'aahii nidilt'éego yich'į' yit'íní í'diilyaa
41:16:011:0	Azhą́ éí jiináago dayíínii' nidi, áádóó asdzání hoołtsánígíí bił béédahoozin nidi doo dayoosdląąd da. 
41:16:012:0	Ákódzaadóó bik'ijį' łahgo át'éego diné nidilt'é atiingóó yi'ashgo, bich'į' yit'íní ánáázh'diilyaa. 
41:16:004:1	Jesus éí bídahooł'aahii ła'ts'áadahígíí naanish yeidiyiiz'ą́
41:16:013:0	Áko t'ą́ą́' níjít'áazhgo ła' ídahooł'aahii bee bił dahojoolne', nidi doo dahoosdląąd da. 
41:16:014:0	Áádóó náábík'ijį' ła'ts'áadahígíí da'ayą́ągo bich'į' yit'íní ánáázh'diilyaa, áko dadziztsą́ą́dę́ę́' náázdiidzáádóó dahoołtsánígíí doo dayoodlą́ą́góó áádóó bijéí doo binídahaz'áhígíí biniinaa dzideezteh. 
41:16:015:0	Áko ábizhdííniid, Nihílááh, nahasdzáán nidanees'ą́ąjį' diné t'áá át'é hane' yá'át'éehii bee bił dahołne'. 
41:16:016:0	T'áá háiida oosdląąd áádóó tó bee bi'doolzį́į'go éí yisdádooltééł, nidi t'áá háiida doo oodlánígíí éí ti'hoo'nííhgóó bá nihodoot'ááł. 
41:16:017:0	Áko da'oodlánígíí éí bee ééhózinii kódaat'éhígíí ádayoolíiłgo yídaneel'ą́ą doo: éí shízhi' bee níłch'i bi'iiníziinii ayi'dę́ę́' hadeiniiłkaad doo, áádóó saad ał'ąą ádaat'éii yee yádaałti' doo, 
41:16:005:1	Jesus yá'ąąshgóó dah nídiidzá
41:16:018:0	índa tł'iish nídayiiláah doo, áádóó ha'át'íhígíida da'agháanii deidlą́ą nidi doo atídabile' da doo, índa bąąh dah nidahaz'ánígíí yik'i dah dahidilníihgo hadaałt'é ninádahadleeh dooleeł. 
41:16:019:0	Áko Bóhólníihii Jesus hach'į' haadzíí'dóó bik'ijį' yá'ąąsh góde anáhóóle'go Diyin God binish'náájí dah neezdá. 
41:16:020:0	Áádóó da'níłts'ą́ą́'góó adadziiskaigo hane' yá'át'éehii baa dahojoolne', Bóhólníihii hoł hólǫ́ǫgo nidajilnish, áko bee éédahózinii bee ádajooníłígíí bee hazaad bidziilgo ádeile'. T'áá ákót'ée doo.] 
