45:8:001:1	Ch'anky'aa Shroodiinyąą Deediinahnyąą Zhit Gwarandaii
45:8:001:0	Izhit geh'an juk nakhwan juu Jesus Christ haa khaihłak nilii, ts'ą' ch'ihłee gaa diigwitr'it iizųų diinahąąnjyaa, ts'ą' diigwąąhshii kwaa gwik'it gwarandaii. 
45:8:002:0	Christ Jesus vaa khaihłak tr'iinlii t'ee Ch'anky'aa Shroodiinyąą nats'ąą gwireheendaii diinahnyąą gwik'it gwarandaii haa tr'aanduu va-law ts'ą' ch'ichį' ndaanąą'ąį' kwaa ts'an tr'idiinąhchįį t'oonchy'aa. 
45:8:003:0	Diikhwan dzaa nankat gwidinjii tr'iinlii, diit'aii kwaa haa khyų' Vit'eegwijyąhchy'aa va-law k'eegwarahthat gwik'eegwarandaii, ts'ą' Vit'eegwijyąhchy'aa diineenjit t'iizhik. Didinji' dzaa nankat gwats'ą' nąhchįį dzaa dinjii nąįį k'it vatr'agwaanduu gweheelyaa ts'ą' diitr'agwaanduu geenjit gwantł'eerahahchyaa diitr'agwaanduu an gwahahtsyaa geenjit, Vit'eegwijyąhchy'aa dzaa nankat gwidinjii t'aahchy'aa. 
45:8:004:0	Vit'eegwijyąhchy'aa jyaa diizhit Law zhit łi'deegwidlii haa nats'ąą gwaroondaii diinoonyąą gwik'it gwireheendaii geenjit dzaa nankat gwidinjii nąįį k'it nakwaa gaa Ch'anky'aa Shroodiinyąą nats'ąą gwaroondaii diinoonyąą gwik'it. 
45:8:005:0	Zhit juu tr'agwaanduu zhrįh t'asho'ya' nindhan nąįį ąįį tr'agwaanduu t'igii'in goots'ą' k'eedeegwaadhat k'it t'oonchy'aa ąįį nąįį t'ee khit tr'agwaanduu ninjich'agadhat. Zhit juu Ch'anky'aa Shroodiinyąą goots'ą' k'eedeegwaadhat nąįį t'ee Ch'anky'aa Shroodiinyąą deeyiindhan gwizhrįh gininjich'agahthat. 
45:8:006:0	Nijin dzaa nankat gwidinjii k'it gwarandaii dąį' ch'ichį' ndaanąą'ąį' kwaa gwats'ą' tr'eedaa t'igwii'in. Nijin Ch'anky'aa Shroodiinyąą diits'ą' k'eedeegwaadhat dąį' gwandaii ndaanąą'ąį' kwaa ts'ą' tsinehdan haa tr'ii'įį. 
45:8:007:0	Nijin dinjii vatthąį' doo'ya' yuunyąą gwik'it t'ii'in dąį' Vit'eegwijyąhchy'aa nehts'į' t'inchy'aa ts'ą' Vit'eegwijyąhchy'aa va-law k'it dinjii ginlii kwaa ts'ą' łyaa duuyeh gwik'eegwahthat. 
45:8:008:0	Juu datthąį' doo'ya' nindhan gwik'it t'ii'in duuyeh Vit'eegwijyąhchy'aa shoo ąhtsii t'oonchy'aa. 
45:8:009:0	Vit'eegwijyąhchy'aa Vanky'aa Shroodiinyąą nakhwazhit t'inchy'aa geh'an nakhwatthąį' doo'ya' nakhoonyaa gwik'it gǫhdaii kwaa, gaa Ch'anky'aa Shroodiinyąą deenahkhoonyaa gwik'it ąįį gǫhdaii. Juu Christ vanky'aa shroodiinyąą zhit gwandaii t'ee Christ ts'an nilii t'oonchy'aa. 
45:8:010:0	Gaa Christ nakhwazhit gwandaii ji' t'ee nakhwanky'aa gweheendaii t'oonchy'aa, Vit'eegwijyąhchy'aa vaa gwinzii ohdaa geh'an, nakhwatthąį' gwitr'it iizųų t'akhwa'ya' geh'an hahchyaa. 
