45:12:001:1	Nats'ąą Vit'eegwijyąhchy'aa Vitsyaa Tr'iinlii.
45:12:001:0	Ąįįts'ą' t'ee shijyaa nąįį, Vit'eegwijyąhchy'aa neeshraahchy'aa diinoonyąą jiintsii k'iighai' jyaa nakhwaihnyąą: Vit'eegwijyąhchy'aa vantł'ee'adoochįį, ts'ą' khit veenjit gwitr'it t'agoh'in gwizhit shoo ohtsii. Jii t'ee nakhwadrii, nakhwagwandaii viyinji' łi'deegwidlii haa khadhoo'ee t'oonchy'aa. 
45:12:002:0	Dzaa nankat nats'ąą tr'agwaanduu googwitr'it gwanlii gwik'it t'ohchy'a' shrǫ', gaa Vit'eegwijyąhchy'aa ąįį nakhwadrii ts'ą' nakhwagwandaii haa gweheezyaa geenjit ch'ijuk t'inilii. Ąįį ji' t'ee Vit'eegwijyąhchy'aa deeyiindhan gaahahkhwandaii, shoo hohtsyaa ts'ą' gweheezyaa geenjit łyaa gwinzii veenjit t'akhwa'yaa. 
45:12:003:0	Vit'eegwijyąhchy'aa ch'eegoonzhrįį k'iighai' jii t'aih shantł'eegwiin'ąįį geh'an nakhwateegwagwaanchy'aa ts'ą' jyaa danakhwahaihnyąą. Dinjii andaa ihsįį nǫh'ya' shrǫ'. Gaa nats'ąą Vit'eegwijyąhchy'aa gwik'injigwiighit nakhwantł'eegwin'ąįį k'iighai' jidii deekhwa'in ąįį gwinzii akwat gwiizųų ji' gininjich'ohthat. 
45:12:004:0	Diitthąį' t'ee nihłehjuk t'iichy'aa ts'ą' datthak nihłehjuk tr'agwah'in. 
45:12:005:0	Ąįį gwik'it, gwik'injiriighit ts'ą' diitee lęįį gaa Christ vaa diitthąį' zhit ch'ihłak tr'iinlii ąįį tr'igiinkhii zheh k'it t'oonchy'aa, ts'ą' datthak ch'ijuk t'igwinchy'aa gaa ch'ihłak tr'iinlii ts'ą' nihts'an tr'iinlii t'oonchy'aa. 
45:12:006:0	Ąįįts'ą' jii jidii Vit'eegwijyąhchy'aa nihłehjuk t'igwii'in diinantł'eegwiin'ąįį ąįį vich'eegoonzhrii k'iighai' vit'eegwahahchy'aa geenjit t'iizhik. Jii Vit'eegwijyąhchy'aa vagwandak eegwarahaandak geenjit diinantł'eeyin'ąįį ji', diigwik'injigwiighit datthak k'iighai' vit'eegohchy'aa. 
45:12:007:0	Vit'eegwijyąhchy'aa, gwik'injiighit nąįį ts'ireheenjyaa diits'an gwiłtsąįį ji', goots'aroonyą', geech'oorahahchyaa chan diits'an gwiłtsąįį ji', geech'ooroohchya' jaghaii. 
45:12:008:0	Juu, dinjii gwats'ą' hah'ee geenjit gaandaii ji' dinjii gwats'ą' ah'ee. Juu gwantł'aandak geenjit veegoo'aii ji', zhyaa gwantł'aandak. Juu khaihkwaii heelyaa geenjit veegoo'aii ji' gwintł'oo gwitr'it t'agwah'in haa khaihkwaii nilii. Juu neeshraahchy'aa niindhan ji' shoo nilii haa t'ii'in. 
45:12:009:0	Nich'eet'igwiniindhan łyaa łi'didlii heelyaa gwizhrįh. Jidii tr'agwaanduu chan itr'iin'ee gwizhrįh gaa nidrii zhit jidii nizįį ąįį oodaanahtą'. 
45:12:010:0	Nakhwalak eet'ohthan gwik'it gwik'injiighit nąįį eenjit ch'eet'igwiniindhan akhwa'įį, ts'ą' shoo ǫhłįį haa nihłeenjihoh'ee. 
