45:6:001:1	Christ Vaa Khaihłak Tr'inlii Zhit Gwarandaii
45:6:001:0	Akwat deegweheenjyaa? Vit'eegwijyąhchy'aa vich'eegoonzhrii gwandaa nitsii heelyaa geenjit nihk'it diitr'agwaanduu gweheelyaa? 
45:6:002:0	Łyaa zhyaa nakwaa! Diitr'agwaanduu zhit niriindhat k'it t'igwiizhik, gwiizhit jaghaii tth'aii hee vizhit gwireheendaii? 
45:6:003:0	Nijin Christ Jesus vaa kheihłak tr'iheelyaa geenjit chųų diits'an tr'iłtsąįį dąį' vaa kheihłak tr'iheelyaa geenjit nats'ąą niindhat gwik'it diikhwan t'ee nariindhat k'it t'igwiizhik. 
45:6:004:0	Niriindhat ts'ą' nan zhit diiraatsii k'it t'oonchy'aa, nijin chųų diits'an tr'iłtsąįį k'iighai' Christ niindhat gwik'it ts'ą' Gwiti' vat'aii ch'eegwąhndit jiintsii k'iighai' niindhat gwats'an yineegwiłdaii ąįįt'ee needarahaan'ee ts'ą' ch'ijuk dinjii tr'iheelyaa geenjit. 
45:6:005:0	Vaa ch'ihłak tr'iinlii geh'an vaa niriindhat k'it t'oonchy'aa, ts'ą' ąįį gwik'it vaa nireheekhin k'iighai' vaa ch'ihłak tr'iinlii. 
45:6:006:0	Christ, nihk'ataa'ee (cross) kat niindhat geh'an ch'ijuk dinjii tr'iinlii gaagwiindaii, zhit tr'agwaanduu t'igwii'in gwat'aii an gweheelyaa geenjit, ąįįts'ą' tr'aanduu gwi-slave tr'iheelyaa kwaa. 
45:6:007:0	Nijin niriindhat dąį', tr'agwaanduu t'igwii'in gwats'an tr'idiiniinlii. 
45:6:008:0	Christ vaa niriindhat k'it vaa t'igwiizhik geh'an vaa tth'aii gwireheendaii gaagwiindaii. 
45:6:009:0	Christ diineenjit niindhat ts'ą' neegwiindaii ts'ą' khit gwandaii heelyaa ts'ą' duuyeh chan ch'ichį' neelii vaagwiindaii. 
45:6:010:0	Ąįįts'ą' niindhat geh'an tr'aanduu gwigwitr'it yats'ą' k'eedeegwaadhat kwaa, ts'ą' juk Vit'eegwijyąhchy'aa Gwiti' deehił'ee haa gwandaii. 
45:6:011:0	Ąįį gwik'it nakhwan t'ee nakhwatr'agwaanduu ts'ą' noodhat k'it idininjich'ahohthat, ąįįts'ą' Christ Jesus k'iighai' Vit'eegwijyąhchy'aa deehoh'ee haa gǫhdaii. 
45:6:012:0	Tr'aanduu gwigwitr'it gwats'ą' nakhwatthąį' dinjiighit gwik'it t'akhwa'ya' shrǫ', nakhwatthąį' jidii tr'agwaanduu t'oo'ya' niindhan ąįį gwik'it t'akhwa'yaa shrǫ'. 
45:6:013:0	Nakhwatthąį' tr'agwaanduu gwigwitr'it gwatsal t'ihee'yaa geenjit gwats'ą' t'ohkhya' shrǫ'! Gaa datthak ts'ą' gwandaii k'eejit nakhwantł'eerin'ąįį geh'an, Vit'eegwijyąhchy'aa dandee ts'ą' gwiinzii yit'eehaahchy'aa geenjit Vit'eegwijyąhchy'aa vats'a' gwantł'eedoochįį. 
45:6:002:1	Gwinzii T'igwehee'yaa Geenjit Slaves Tr'inlii T'oonchy'aa
45:6:014:0	Tr'aanduu vigwitr'it nakhwats'ą' k'eedeegoodhat shrǫ', Moses va-law k'it gǫhdaii ąįį neenakhwahahshii kwaa t'oonchy'aa, gaa Vit'eegwijyąhchy'aa vich'eegoonzhrii k'iighai' neehohshii t'oonchy'aa. 
45:6:015:0	Ąįįtł'ęę yu'? Moses va-law deediinoonyąą gwik'it gwarandaii kwaa ji', tr'aanduu diigwitr'it gwanlii gwiizhit Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit gwireheendaii? Łyaa zhyaa nakwaa! 
45:6:016:0	Datthak ts'ą' jii łyaa gaagwiindaii gwizhrįh juu nakhwats'ą' k'eedeegwaadhat jyaa dakhwa'in nakhwahnyąą, ąįį vik'it t'akhwa'in ąįįt'ee łyaa vi-slave ǫhłįį t'ohchy'aa. Tr'aanduu vigwitr'it t'ee ch'ichį' t'inchy'aa akwat Vit'eegwijyąhchy'aa vik'eegwarahthat t'ee Vit'eegwijyąhchy'aa vaa gwinzii tr'eedaa. Jidii shrit t'akhwa'yaa? 
45:6:017:0	Vit'eegwijyąhchy'aa vats'a' datthak mahsį' vaihnyąą! Gwehkįį dąį' tr'aanduu nakhwats'ą' k'eedeegwaadhat k'it t'oonchy'aa gaa juk nakhwadrii datthak haa Vit'eegwijyąhchy'aa łi'didlii geenakhwahoołtin gwik'eegǫhthat. 
45:6:018:0	Ąįį nakhwatr'agwaanduu gwats'an tr'ineekhwarinlii k'it t'oonchy'aa ts'ą' Vit'eegwijyąhchy'aa vigwitr'it gwinzii t'agoh'in haa vi-slave ǫhłįį k'it t'ohchy'aa. 
45:6:019:0	(Datthak ts'ą' gwinzii shohtth'ak kwaa geh'an jii ginjik vagwantrii kwaa t'aałchy'aa t'ishi'in.) Gwehkįį dąį' tr'aanduu gwigwitr'it ts'ą' nakhwatthąį' haa tr'agwaanduu tr'agoh'in nakhwats'ą' k'eedeegwaadhat k'it t'oonchy'aa. Ąįį gwik'it Vit'eegwijyąhchy'aa vi-slave ǫhłįį k'it t'ahohchy'aa ts'ą' Vit'eegwijyąhchy'aa vigii shroodiinyąą hohłyaa. 
45:6:020:0	Gwehkįį dąį' nijin tr'agwaanduu gwitr'it nakhwats'ą' k'eedeegwaadhat k'it t'oonchy'aa dąį', Vit'eegwijyąhchy'aa vik'eegohthat gwat'oohchy'aa kwaa. 
45:6:021:0	Datthak ts'ą' ąįį tr'agwaanduu gwigwitr'it t'akhwa'ya' vaa gaiiyiigwadhohtsąįį kwaa, ts'ą' jii t'ee gwa'oozhii ǫhłįį. Ąįį kwaii t'ee dinjii nąįį giiyaa ch'ichį' ndaagwąą'ąį' di'įį t'oonchy'aa. 
45:6:022:0	Gaa juk t'ee tr'aanduu vigwitr'it gwats'an Vit'eegwijyąhchy'aa neenakhoonjik ts'ą' Vit'eegwijyąhchy'aa eenjit gwitr'it t'agahoh'yaa. Vit'eegwijyąhchy'aa veenjit gwizhrįh gwiindaii ąįįt'ee gwandaii ndaanąą'ąį' kwaa gaiiyiigahohtsyaa t'oonchy'aa. 
45:6:023:0	Tr'agwaanduu gwigwitr'it t'ee ch'ichį' ndaanąą'ąį' t'inchy'aa. Gaa K'eegwaadhat Jesus Christ vaa khaihłak tr'iinlii k'iighai' Vit'eegwijyąhchy'aa zhyaa gwandaii ndaanąą'ąį' kwaa diinantł'eiin'ąįį t'inchy'aa.
