45:15:001:1	Ninee'ok Dinjii Nąįį Shoo Hahtsyaa Gwik'eegwiindaii, Nan Zhrįh Nakwaa.
45:15:001:0	Diikhwan diigwik'injigwiighit niint'aii nąįį zhit juu googwik'injigwiighit goot'aii kwaa nąįį haa gwiizųų dąį' goots'igweheenjyaa gwizhrįh. Diikhwan deegwiindhan ąįį zhrįh gwik'it t'igwehee'yaa kwaa. 
45:15:002:0	Gaa zhit juu gwik'injiighit nąįį googwik'injigwiighit gwandaa nint'aii heelyaa geenjit, goozhit shoo tr'oh'ai'. 
45:15:003:0	Dęhtły'aa Choh zhit jyaa digwinyąą, “Nakhwats'ą' gwiizųų giginkhii t'ee shįį shats'ą' gwiizųų giginkhii t'igii'in.” ąįį geh'an, Christ shoo adahaatsyaa geenjit doo'ya' niindhan gwizhrįh gwik'it t'ee'ya' kwaa. 
45:15:004:0	Dęhtły'aa Choh zhit jidii datthak gwadanakhwatł'oo t'ee vik'iighai' gwagwarahaa'ee geenjit danakhwatł'oo t'inchy'aa, yeendaa ji' vit'injiraahchy'aa gwiizhit gwik'iighai' khai'gwidlii gwireheendaii ts'ą' diit'aii gweheelyaa geenjit. 
45:15:005:0	Ąįįts'ą' Vit'eegwijyąhchy'aa vik'iighai' khai'gwidlii gwarandaii ts'ą' diit'aii gwanlii, haa Christ Jesus dzaa nankat dhidii gwiizhit deezhik gwik'it datthak ts'ą' nihts'ą' gwinzii dinjii khohłyaa geenjit nakhwats'iinyą' 
45:15:002:1	Gwandak Nizįį, Jews Nilii Kwaa Nąįį Ts'ą' Geegirinkhii Ąįį Geegireheehkhyaa
45:15:006:0	Ąįįts'ą' kheihłak ǫhłįį haa Diik'eegwaadhat Jesus Christ Viti' Vit'eegwijyąhchy'aa vats'a' deerahoh'ee. 
45:15:007:0	Ts'ą' ąįį gwik'it Christ shoo nilii haa vigii hohłyaa geenjit gwit'eetr'anakhweiinlii, datthak ts'ą' shoo ǫhłįį haa nihts'ą' ohtsii, jyąhts'ą' Vit'eegwijyąhchy'aa deerahąąh'aa geenjit. 
45:15:008:0	Jii nakhwaagwahaldak, Christ, Jews nąįį ts'iheenjyaa geenjit dzaa gwats'ą' haazhii, yeenii gootsii nąįį eenjit Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį łi'didlii gweheelyaa ts'ą' Vit'eegwijyąhchy'aa deehee'yaa nyąą ąįį khit gwik'it t'ii'in gwigweheechy'aa geenjit. 
45:15:009:0	Ąįįts'ą' Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa neeshraahchy'aa goovoonyąą geenjit giits'ą' deegahah'aa. Dęhtły'aa Choh zhit jyaa digwinyąą,“Jews nilii kwaa nąįį tee gwats'ąnh deenookhwahał'aa,gwiizhit ch'ilik haa chan deenookhwahał'aa.” 
45:15:010:0	Chan hee Dęhtły'aa Choh zhit jyaa digwinyąą,“Jews nilii kwaa nąįį, Vit'eegwijyąhchy'aa vigii Jews nąįį haa shoo ǫhłįį!” 
45:15:011:0	Ąįįts'ą' chan hee vakat jyaa digwinyąą,“Jews nilii kwaa nąįį datthak, K'eegwaadhat deehoh'ee;dinjii nąįį datthak chan K'eegwaadhat deehoh'ee!” 
45:15:012:0	Chan hee Dęhtły'aa Choh zhit Isaiah jyaa nyąą,“Jesse ts'an deedhaa nąįį eeneegwahaakyaa,Jews nilii kwaa nąįį ts'ą' k'eedeegwaadhat geenjit,ts'ą' yeendaa ji' geenjit giit'injyahahchy'aa.” 
45:15:003:1	Paul Jaghaii Ginjik Niint'aii Haa Ch'adantł'oo.
45:15:013:0	Nakhwagwik'injigwiighit k'iighai' Vit'eegwijyąhchy'aa, tsinehdan ts'ą' shoo gwanlii haa nakhwats'an ohtsyaa. Adan t'ee yeendaa ji' geenjit vit'injiraahchy'aa geh'an. Ąįįts'ą' yeendaa ji' nakhwadivee deegweheechy'aa geenjit vit'injuhchy'aa ąįį Ch'anky'aa Shroodiinyąą gwat'aii k'iighai' nitsii heelyaa geenjit. 
45:15:014:0	Shijyaa nąįį, datthak ts'ą' łyaa ohsįį ts'ą' deekhwa'yaa datthak gaakhwandaii ts'ą' khan geeneełeedootan nakhwaashandaii. 
45:15:015:0	Gaa jii dęhtły'aa nakhwats'ą' dįhtł'oo zhit gwinlęįį gineenakhwahałdaii geh'an naljat kwaa haa gineenakhwahałdaii geenjit gwiinzii nakhwaagwaldak. Vit'eegwijyąhchy'aa jyaa dishi'in geenjit shantł'eegwiin'ąįį łyaa shoo ihłii. 
45:15:016:0	Christ Jesus veenjit gwitr'it t'agwał'in. Giinkhih k'it t'ishi'in, ts'ą' Vit'eegwijyąhchy'aa Vagwandak Nizįį, Jews nilii kwaa nąįį haa gwaałtan, ąįį gwik'iighai' Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa ts'ą' ataiinjii gooriłtsąįį k'it t'iginchy'aa geenjit shoo heelyaa, Ch'anky'aa Shroodiinyąą k'iighai' khit Vit'eegwijyąhchy'aa eenjit gwitr'it t'agwagwah'in. 
45:15:017:0	Ąįįts'ą' Christ Jesus deegwahtł'oo Vit'eegwijyąhchy'aa veenjit shik'iighai' gwitr'it t'agwah'ya' geenjit shoo ihłii. 
45:15:018:0	Nats'ąą Christ Jesus shik'iighai' Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa k'injigiighit gavooltsąįį naljat kwaa haa gwinzii geegihihkhyaa. Shiginjik ts'ą' shigwitr'it haa k'iighai' t'iizhik. 
45:15:019:0	Geegwaroolii kwaa ts'ą' gwigwee'in ts'ą' Ch'anky'aa Shroodiinyąą vat'aii haa Jerusalem gwats'an Illyricum gwats'ą' hoiizhii, izhit Christ Vagwandak Nizįį datthak eech'oaałchya'. 
45:15:020:0	Nijin Christ Vagwandak Nizįį tr'iitth'ak kwaa gwa'an khit ts'ą' geech'oolchya' nihthan, ąįį dinjii ndak gwiłtsąįį ąįį gwandaa ndak neegwahałtsyaa nihthan t'ihnyąą kwaa. 
45:15:004:1	Paul, Rome Kwaiik'it Gwachoo Gooł'ya' Niindhan
45:15:021:0	Dęhtły'aa Choh zhit jyaa digwinyąą,“Zhit juu yaandaii kwaa nąįį gwagwahah'yaa,ts'ą' juu gwigwiitth'ak kwaa nąįį gaageheendaii.” 
45:15:022:0	Ąįį geh'an gwinlęįį nakhwats'ą' hoihshi' nihthan gaa gwik'it gwilii kwaa. 
45:15:023:0	Gaa juk it'ee dzaa nankat gwa'an shigwitr'it ęhdaa tr'iijik ts'ą' gwinlęįį nakhwooł'ya' nihthan. 
45:15:024:0	Juk gwik'it t'ishi'yaa nihthan. Spain nahkat gwats'ą' ihshyaa ji' nakhwahał'yaa, shoo haa nakhwaa iidi' ąįįtł'ęę shats'ahohjyaa haa Spain nahkat nihihshyaa. 
45:15:025:0	Juk zhat ąįį Vit'eegwijyąhchy'aa k'injiighit nąįį laraa goots'ą' hihłyaa geenjit Jerusalem gwats'ą' hihshyaa. 
45:15:026:0	Macedonia ts'ą' Achaia (Greece) nahkat kwaii gootr'igiinkhii zheh nąįį Jerusalem gwizhit Vit'eegwijyąhchy'aa k'injiighit neeshraahchy'aa nąįį shoo haa ts'igiheenjyaa geenjit gwantł'eegaanjik. 
45:15:027:0	Goots'igeheenjyaa ąįį dagakhai' gwits'iginyaa t'igii'in. Jews gwik'injiighit nąįį geedan t'ee Jews nilii kwaa nąįį Gwandak Nizįį goovaagwigwildak geh'an Jews nąįį antł'eeroonjii giindhan. 
45:15:028:0	Nijin jii gwitr'it gęhdaa tr'iijik ji' jii laraa gooveenjit khaihłan niriinlii datthak gavantł'eehihlyaa ąįįtł'ęę Spain nahkat gwats'ą' ihshyaa ji' nakhwaahał'yaa. 
45:15:029:0	Nijin nakhweenihshee ji' Christ vat'aii k'iighai' nakhwats'ą' gwinzii t'ishi'yaa gaashandaii. 
45:15:030:0	Shijyaa nąįį, K'eegwaadhat Jesus Christ zhit diigwik'injigwiighit ts'ą' Ch'anky'aa Shroodiinyąą ch'eet'igwiniindhan diinantł'eiin'ąįį geh'an Vit'eegwijyąhchy'aa vats'a' sheenjit gwint'aii shaa khagadǫhjii. 
45:15:031:0	Judea gwizhit gwik'injiighit kwaa nąįį shigiheendal kwaa ts'ą' Jerusalem gwizhit Vit'eegwijyąhchy'aa vigii nąįį goots'iheenjyaa geenjit shoo giheelyaa geenjit khagadǫhjii. 
45:15:032:0	Ąįįts'ą' Vit'eegwijyąhchy'aa gwik'it t'iindhan ji', shoo haa nakhweenihihshyaa, ts'ą' shoo haa nakhwaahihdyaa ts'ą' neehalzhii. 
45:15:033:0	Vit'eegwijyąhchy'aa vats'an tsinehdan tr'ii'įį ąįį nakhwaa oolį'! Amen!
