53:3:001:1	Thessalonica Kwaiik'it Gwik'injiighit Nąįį Diineenjit Khagadǫhjii
53:3:001:0	Diijyaa nąįį , diineenjit khagadǫhjii , K'eegwaadhat Vagwaandak Nizįį nijuk datthak khan gwigweheetth'ak eenjit ąįįts'ą' gwihił'ee haa nakhwan jyaa dakhwazhit gwik'it geedan chan nakhwak'it gwagwahoondal geenjit .
53:3:002:0	Dinjii tr'aanduu ts'ą' dinjii iizųų nąįį , Vit'eegwijyąhchy'aa gwats'an tr'ineeheelyaa geenjit chan khagadǫhjii , juu nąįį datthak Gwandak Nizįį giitth'ak gaa gwik'injigiighit kwaa geh'an .
53:3:003:0	Gaa K'eegwaadhat khit deehee'yaa nyąą gwik'it t'ii'in , łi'didlii nilii ts'ą' Ch'anky'aa Tr'aanduu tr'agwaanduu t'akhwa'in nakhwahahtsyaa gwits'į' nakhwak'eehaahtyaa ts'ą' t'aih chan nakhwats'an hahtsyaa , t'inchy'aa .
53:3:004:0	K'eegwaadhat , deekhwa'in nakhwarahnyąą geenjit nakhwats'inyąą ąįį tth'aii tseenjyaa gwik'it t'akhwa'yaa geenjit t'aih nakhwats'an ąhtsii gaagwiindaii .
53:3:002:1	Thessalonian Gwik'injiighit Nąįį T'ee Goolat Tr'agoodiinjik Nąįį Tr'agwahoh'yaa Gwizhrįh Goo'aii
53:3:005:0	K'eegwaadhat ąįį deegwahtł'oo Vit'eegwijyąhchy'aa nakhweenjit ch'eet'igwiniindhan di'įį nakhwats'ą' gwahahkyaa ts'ą' nijin nakhwaa gogwantrii dąį' duuyeh zhyaa akhagohnyąą , Christ zhyaa akhagoonyąą kwaa gwik'it .
53:3:006:0	Diijyaa nąįį , K'eegwaadhat Jesus Christ voozhri' zhit juu nakhwatee gwik'injiighit ts'ą' tr'agoodiinjik ts'ą' jidii geegooroałtin ąįį gwik'it gwagwandaii kwaa nąįį ts'į' adak'ǫǫntii nakhwarahnyąą t'igwinyąą .
53:3:007:0	Zhat nakhwaa tr'iiłk'įį dąį' , tr'agoodiriinjik kwaa gaakhwandaii ąįį gwik'it t'akhwa'in ,
53:3:008:0	ts'ą' shih tr'a'aa chan eenjit gwarookwat . Tǫǫ , ts'ą' drin haa gwint'aii gwitr'it t'agwarah'in , shih tr'a'aa eenjit gwarooheekwat geenjit , jyąhts'ą' gwik'iighai' nakhwat'eegwahahchy'aa kwaa geenjit .
53:3:009:0	Nakhwatee gwitr'it t'agwarah'in geh'an khan ji' gaa diich'oh'aa nakhwarahaanjyaa gaa gwintł'oo gwitr'it t'agwarah'ya' ąįį diits'ą' hohjyaa geenjit t'igwii'in kwaa gaa diik'it dinjii khohłyaa geenjit t'igwii'in .
53:3:010:0	Ąįįts'ą' nijin nakhwaa tr'iiłk'įį dąį' , jyaa nakhwarahnyąą , “ Juu tr'agwah'in gitr'ii'ee ji' , shih hee'aa vantł'ohtsit shrǫ' . ”
53:3:011:0	Nakhwatee gwa'an dinįį lat nąįį tr'agoodiinjik gwinyąą gwiriitth'ak ąįį geh'an jyaa digwinyąą t'igwinyąą . Tr'agwagwah'in kwaa gwiizhit ch'izhii dinjii nąįį tee gaanigwigwii'aii .
53:3:012:0	K'eegwaadhat Jesus Christ vat'aii k'iighai' dinjii jyaa dii'in nąįį jyaa dakhwa'in kwaa goorahnyąą gaa khai'gwidlii haa shih gihee'aa eenjit gwitr'it t'agoh'in goorahnyąą .
53:3:013:0	Gaa shachaa nąįį , nakhwan gwinzii t'akhwa'in ąįį geecheekhwaandak ts'ą' akhagohnyą' shrǫ' .
53:3:014:0	Nakhwatee gwa'an dinjii lat nąįį jii dęhtły'aa nakhwats'ą' dįhtł'oo K'eegwaadhat kwaa ji' juu nąįį t'iginchy'aa goonoondaii ts'ą' goovaa ǫhłį' shrǫ' , ąįį ji' oozhii giheelyaa t'iginchy'aa
53:3:003:1	Thessalonian Gwich'in Nąįį Eenjit Khagidiinjii ts'ą' Nakhwadiveegoozų'
53:3:015:0	Gaa dinjii itr'igwii'ee k'it goots'ą' dinjii ǫhłį' shrǫ' gaa diichaa ts'ą' girinkhii k'it goots'ą' gohkhii ts'ą' jyaa dakhwa'in kwaa goovohnyąą .
53:3:016:0	It'ee K'eegwaadhat , adan tsinehdan nilii ąįį vats'an tsinehdan gwanlii , gweedhaa datthak tsinehdan nakhwantł'oolyaa ts'ą' nijuk datthak geenjit nakhwantł'eegoolyaa . Ąįįts'ą' K'eegwaadhat datthak nakhwaa oolį' !
53:3:017:0	Jii dęhtły'aa t'ee shįį Paul ihłii shanli' haa danoiitł'oo t'inchy'aa . Juu nąįį datthak jii dęhtły'aa t'ee shįį danoihtł'oo giiyaaheendaii geenjit , jyąhts'ą' dęhtły'aa kwaii dįhtł'oo t'oonchy'aa .
53:3:018:0	Datthak ts'ą' K'eegwaadhat , Jesus Christ vich'eegoonzhrii nakhwaa oolį' !
