61:3:001:1	Pen iij .
61:3:002:1	3 Dangos y mae ef scelerder yr ei a watworant addeweidion Dew . 7 Ym‐pa sut vodd y bydd dywedd y byt . 8 Ar vot yddynt ymbaratei i hynny . 16 Pwy yw’r ei a gamarverant hyn a scrivenesei S . Paul , a’r Scrythurae eraill hefyt , 18 Gan ðybennu a diolcheu tragyvythawl i Christ Iesu .
61:3:001:0	YR ail epistol hon y ddwyf yn awr yn y escrivennu attoch , fyn grredigion , yn yr honn y ðwy yn dadebru trwy atcoffedigaeth ych meddwl puraidd ,
61:3:002:0	Mal y bo cofus cenych y geiriau , a racddoydasont y prophwydi santaidd , an gorchymyn ninau rrain ydym abostolion yr Arglwydd an Achubwr .
61:3:003:0	Yn gynta dyellwch hyn , i deuant yn y dyddiau diwaytha , watwotwyr , yr ei a rodiant ar ol y trachwantay y hunain ,
61:3:004:0	Ac a ddoydant , Ple may addewid y ddefodiad ef ? canys ir pen fu farw y taday , pob peth sy yn perhau yr vn ffunyt o ddechreuad y creaduriaeth .
61:3:005:0	Canys hyn o waithyoddef nis gwyddant , fod y nefoedd ir ystalm byd trwy air Dyw , ar ddayar hefyd sy or dwr , ac yn y dwr .
61:3:006:0	Achos pam y byd rhwn ydoeð hynny o amser , a gyfyrgollwyd , trwy ddwfyr diliw .
61:3:007:0	Eithr y nefoedd ar ddayar , y sydd yr awr honn , trwyr vn gair y maynt wedi y rroi y gadw , i daan erbyn dydd y farn , a’ difa yr enwir ddynion .
61:3:008:0	Yr vn peth hynn , fyngrredigion , na fid diarwybod ywch , vod vn dydd gidar Arglwydd , megis mil o flenyddoedd , a’ mil o flynyðoeð mal vn dyð .
61:3:009:0	Nid ydiw yr Arglwydd yn ehwyrhau , am eu addewid , ( megis y tybia rrai ehwyrdra ) eithr ymyneddus yw tu ac attom ni , ac nis mynay neb fod yn golledic , namyn dyvot o bawb i edifeirwch .
61:3:010:0	Eithyr dydd yr Arglwydd , megis lleidyr y nos y daw , yn yr hwn y ra heibio y nefoedd mewn trwst , a’r defnyddiau yn wir o wres a ddoddant , ar ddayar ac a fo ynthi o waithie , a loscir .
61:3:011:0	A chan vot yn rraid y hynn y gyd ymellwng , pa ryw fath ddynion y deleychi fod mewn santaið ymwreddiad a dywoliaeth ,
61:3:012:0	Yn discwyl , ac yn brysio at ðefodiad dyð Dyw , yn yr hwn i llysc y nefoedd , ac ir ymollwng , ar defnyddiay can wres a doddant ?
61:3:013:0	Eithr y ddym ni yn discwyl am nefoedd newyðion , a’ dayar newydd , ar ol i eddewid ef , yn yr hun y cyfanhedda cyfiownder .
61:3:014:0	Am hynny , fyngrredigion , can ych bod yn gwiliad am gyfryw bethay , rrowch ych bryd ar allu o hono ef ych cael yn ddifrycheulyd ac yn ðilwgyr mewn tengnhevedd .
61:3:015:0	Ac am hir ymynedd eyn hArglwydd rrac cymerwch may iechid yw , megis yr yscryfennodd eyn caredic frawd Paul attochvvi herwydd y doythineb a rodded iddo ,
61:3:016:0	Megis y neb sy yn son ym hob epistol am y cyfryw hynn : y mysc y rrain may rryw bethay anhawdd y dyall , rrain a wyrant y rrai sy anyscedic ac anwadal , mal yr yscythyray eraill , ir distriw yddynt y hunain .
61:3:017:0	Chwichwi am hynny vyngrredigion , can ych bod yn gwybod y pethay hynn ymlaen llaw , gochelwch , rrac ych tynnu chwithay hefyd ar grwydyr yr enwiriaid , a chwympo o ddiwrth ych sicrwydd ych hunain .
61:3:018:0	Eithr cynyddwch mewn gras , ac ednabyddieth eyn Arglwyð ni an ceidwad Iesu Christ : ir hwn y bo gogoniant yr awr honn , ac yn dragwyddol byth . Amen .
