61:2:001:1	Pen . ij .
61:2:002:1	Prohwyto y may ef o ddysciawdwyr gauoc , ac yn dangos y y poenedigeth hwy .
61:2:001:0	EIthr neur fuont gau bropwydi ym plith y bobl , mal y bydd , yn ych plith chwithay athrawon ffeilsion , rrain yn ddirgel a ddygant y mewn etholffyrdd enbydus , ie yn gwadu yr Arglwyð rwn y prynnoð hwynt , ac yn tynnu arnynt i hunain ddihenydd buan .
61:2:002:0	A’ llawer a canlynant y ffyrdd‐enaidfaddau] hwynt , trwyr rrain yr horitr ffordd y gwirioneð .
61:2:003:0	A’ thrwy cybyddtra ac wrth airieu gwneuthyr y marsiandiant am danoch , barnedigaeth yr hain ir ystalm ni hwyrhaa , ay colledigaeth hwynt ni chwsc .
61:2:004:0	Can ys onid arbedodd Dyw yr angylion , abechasent , eithr y taflu i wared i vffern ay dodi mewn cadwynay towyllwc , yw cadw i cyfyrgolledigaeth :
61:2:005:0	Ac nid arbedodd yr hen fyd , eithr Noe yr wythfed dyn pregethwr y cyfiownder , a waredodd ef , ac a dduc y diliw ar fyd yr enwiriaid ,
61:2:006:0	Ac a droes dinasodd Sodoma a Gomorrha yn llydw , ay dymchwelawdd ac ay cyfyrgolles hwynt , ac ay gwnaeth hwynt yn siampl ir rrai rrac llaw a vucheddynt yn anywiol ,
61:2:007:0	Ac a achubodd Loth gyfion rrwn oedd mewn gofid trwy aniwair ymwreddiad yr enwiriaid .
61:2:008:0	( Can ys ac efe yn gyfion , ac yn trigo yn y mysc hwynt , yn gweled , ac yn clywed , ydoedd yn poyni eu enaid cyfion o ddydd y ddyð trwy eu anghyfreithlon weithredoedd hwynt . )
61:2:009:0	Yr Arglwydd a wyr achub y gwirioniaid o iwrth profedigaeth , a’ chadw yr ei anghyfiown i ddydd y farn yw poeni :
61:2:010:0	Ac yn bēnaf y rrai sy yn rrodio ar ol y cnawd , mewn trachwant anlendid , ac yn distyru audurdod ac wynt yn rryvygus , ac yn rrac ymgymryd , ac ny rusiant dirmugu y rrai sy mewn goruchel anrrydedd .
61:2:011:0	Kyd byddynt yr angylion sy fwy mewn cadernid a’ gallu , heb ddodi dirmygys farn yn y herbyn hwynt gar bron yr Arglwydd .
61:2:012:0	Eithyr y rrain megis enifeiliaid anrrysymol , rrain a ymborthir hwynt drwy anianol ymgyrch a wnaythbwyd yw dala , ac yw difa , a ’oganant y pethau ni wyddont o iwrthynt , ac yw dihenydd y deuant trwy y llygredigaeth y hunain .
61:2:013:0	Rrain a dderbyniant gvflog anghyfiownder , mal y rrai sy yn cyfri yn lle eiddunet byw mewn gwnfyd tros amser . Brychay yntynt , a thrisclynay , yn ymddigrifo yn eu twylliaday , pan font yn cydwleddu gida chwi ,
61:2:014:0	A llygaid canthynt yn llawn godineb , nis gallont chwaith beidiaw a phechod , yn abwydaw eneidiau anwadal : a chenthynt galon gwedi ymgenefino a chybyddtra , plant yscymyn ,
61:2:015:0	Rrain wedi ymadael ar ffordd iawn , aythont ar grwydyr , yn canlyn ffordd Balaam , map Bosor , rrwn a garawdd gobyr anghyfiownder :
61:2:016:0	Eithr ef a geryddwyd am y gamwedd , can ys yr assen daniauawl fud yn doyded a llef ddynol , a waharddodd enfydrwydd y proffwyd .
61:2:017:0	Yr hain ffynnonnay ydynt heb ddyfr , a’ niwlenne a ymchwa lar tymestyl , ir hain y may duedd tywollwgynghadw yn dragowydd .
61:2:018:0	Cans o ddoydet chwyddedic eiriau gorwageð , trwy trachwātay , a thrythyllwch y cnawd , abwydo , a wnant yr rai a ddianghesay yn ’lan oðiwrth y rrai a ymdroysynt mewn crwydr ,
61:2:019:0	Gan addaw yddynt rrydit , ac wynt y hunain yn wasanaethwyr llwgredigrvvydd : can ys can bwy bynac i gorchfycer neb , ef aeth yn wr caeth i hwnw .
61:2:020:0	O blegit os wedi eu diainc o iwrth hal ogredigrwyð y byd , trwy ednabyðiaeth ein hArglwydd an achubwr Iesu Christ , y ceffer hwynt eilwaith wedi ymrwystro ar vn pethau , a chwedi y gorchfygu , y diwedd ir rreini aeth yn waeth nor dechreu .
61:2:021:0	Can ys gwell fiase vddynt , na wybesynt fforð y cyfiownder , na chwedi y gwybod , cilio o iwrth y gorchymyn santeidd a rodded vddynt .
61:2:022:0	Eithr vddyntwy y digwyddodd , a ddowaid y wir ddihareb , Y ci a ymchwelodd at y chwdiad eu hun : a’r , Hwch wedi y golchi yw ymdroyad yn y dom .
