61:1:001:1	Pen . j .
61:1:002:1	4 Yn gymmeint a darvot y veddiant Dew roði yddynt bop peth yn perthyn i vuchedd , y mae ef yn eu hanoc y enciliaw rrac llygredigeth chwantau bydawl . 10 Diogely ei galwedlgeth
61:1:003:1	*
61:1:004:1	trwy , can
61:1:005:1	a gweithredoedd da , a ffrwytheu ffydd . 14 Y mae ef yn coffau am y varwoleth y hun , 17 Can ddeclaro bot yr Arglwydd Iesu yn wir Vap Dew , megis ac y gwelsei ef y hun ar y mynydd .
61:1:001:0	SYmeon Peter , gwasnaythwr , ac abostol Iesu Christ , ir rrai a freiniason ffyð gyffelip anrrydedd a ninay , trwy gyfiownder eyn Dyw an achubwr Iesu christ :
61:1:002:0	Gras ywch , a’ thengnheveð a amylhaer , trwy ednabyddiaeth Dyw ac Iesu eyn arglwydd ,
61:1:003:0	Megis y rroddes y ddywiol allu ef i ni bob peth am a berthynant ir bowyd a’ gwaredd , trwy y ednabyddieth ef rrwn an galwodd ni y ogoniant a rrinwedd .
61:1:004:0	Gan hyn , ys ef roddi yni addaweidion rragorfawr gorchestol , val y gellech trwy rreini fod yn gyfrannoc o ddywiol anian , wedi diainc or llwgwr , sy yn y byd trwy trachwant .
61:1:005:0	Ac ar hyn dodwch gwbl och diwydrwydd : cysylltwch gidach ffydd rinwedd : a’ chida rrinwedd , gwybodaeth :
61:1:006:0	A chida gwybodaeth , cymhedrolder : a chyda chymhedrolder , ymynedd : a chidac ymynedd gwaredd :
61:1:007:0	A chida gwaredd , credigrwydd broduraidd : a chyda chredigrwydd broduraidd , cariad .
61:1:008:0	Can ys os byddwchwi ar pethau hyn cennwch , ac yn amyl hwynt , peri a wnant na boch na segur na diffrwyth yngwybodaeth eyn Arglwydd Iesu Christ .
61:1:009:0	O blegid neb ni bo rrain cantho , dall ydiw ac ni wyl ddim o bell , yn gollwng tros go eu lanhau oy hen bechoday .
61:1:010:0	Or achos hwn , fymrodyr , byddwch yn vwy diwid y wneuthyr ych galwedigaeth ach ethelodigaeth yn sicir : can ys o gwnewchi hyn , ni lithrwchi byth .
61:1:011:0	Can ys yn y modd hwn digonawl yð ymgleðir chwi , o fforddiat i dragwyddol teyrnas eyn Arglwydd an Achubwr Iesu Christ .
61:1:012:0	Or achos hwn , nid esceuleusaf i ych coffhau chwi fyth am y pethau hyn , cyd bochi cyfarwydd , a’ siccir yn y cyndrychol wirionedd .
61:1:013:0	Can ys tybiaid y rwy fod yn iawn i mi , tra fwy yn y tabernacl hwn , ych cyffroi trwy ddwyn ar gof ywch .
61:1:014:0	Can y mod i yn gwybod fod yn gyfagos yr amser y dodaf heibio y tabernacl hwn , megis ac y dangoses eyn hArglwydd Iesu Christ i mi .
61:1:015:0	Diwid fydda hevyd ar vod ywch allu gwneuthr coffa am y pethau hyn , gwedi vy ymadawiad i
61:1:016:0	Can ys nid chwedlay dichellus a ganlynhasom ni pan oeddem yn manegi ywch rinwedd , a devodiad ein hArglwydd Iesu Christ , eythr an llygaid y gwelsom eu fowredd ef :
61:1:017:0	Can ys ef a dderbyniasai can Ddyw tad anrrydedd a gogoniant , pan ðeuawdd cyfryw lef atto ef o ddiwrth y dirfawr ’ogoniant , Hwn yw’r mab credigol mau fi , yn yr hwn im boddlonir .
61:1:018:0	A’r llef hon a glowsom ni pan ddoeth or nef , a ni gidac ef yn y mynydd santaidd .
61:1:019:0	Y ddym ni hefyd a gair cadarnaf yproffwydi cenym , yr hwn da i gweithiwch o ddarbod am dano , megis am oleuni yn llewrchy mewn lle towyll , hyd oni wowrio’r dydd , ac yni chotto seren ddydd yn ych calonay .
61:1:020:0	Os bydd i chwi ar wybod hyn yn gynta , na does vn proffedoliaeth yn yr scrythyr ac iddi ladmeriaeth neilltuol .
61:1:021:0	Can ys nid trwy wollys dyn y doeth gynt proffedoliaeth : eithr dynion santaidd Dyw a ddoydasont megis y cynhyrchwyd hwynt can yr ysbryd glan .
