42:4:001:1	Ch'anky'aa Tr'aanduu , Jesus K'eegwandaii
42:4:001:0	Jesus Ch'anky'aa Shroodiinyąą vizhit deedąą'ąį' ts'ą' Jordan gwats'an k'inidik ts'ą' Ch'anky'aa k'iighai' nangwinjir gwa'an gwats'ą' haazhii .
42:4:002:0	Izhit zhat Ch'anky'aa Tr'aanduu drin 40 gwizhit datthak yik'eegwandaii . Gaakhyuk datthak ch'in'al kwaa ts'ą' ndaagwąą'ąį' dąį' vizhit gwiłts'ik .
42:4:003:0	Ch'anky'aa Tr'aanduu t'iiyahnyąą , “ Vit'eegwijyąhchy'aa Vidinji' inlii ji' , jii kii , łųhchy'aa ąhtsii . ”
42:4:004:0	“ Dęhtły'aa Choh kat gwadanakhwatł'oo , ‘Duuyeh dinjii łųhchy'aa k'iighai' gwizhrįh gwandaii gwinyąą t'oonchy'aa , ’ ” Jesus yahnyąą .
42:4:005:0	Ąįįtł'ęę Ch'anky'aa Tr'aanduu ddhah kiit'ik niiyąąhchįį ts'ą' nahkat datthak yits'ą' gwizhrįh nigwiinlii .
42:4:006:0	“ Jii nahkat datthak gwats'ą' k'eegwahandhat ts'ą' gwintsii nigwihin'aa . Jii datthak shantł'eegwiriin'ąįį ts'ą' juu nihthan antł'eegwihih'aa ji' gaa t'oonchy'aa .
42:4:007:0	Shats'ą' khagidiinjii ji' , jii datthak ts'an gwahan'yaa , ” Ch'anky'aa Tr'aanduu yahnyąą .
42:4:008:0	Jesus t'iiyahnyąą , “ Dęhtły'aa Choh kat gwadanakhwatł'oo , ‘Vit'eegwijyąhchy'aa Nik'eegwaadhat ąįį zhrįh veenjit gwitr'it tr'agwah'in ts'ą' vats'ą' khadigiinjii ! ’ ”
42:4:009:0	Ąįįtł'ęę Ch'anky'aa Tr'aanduu , Jerusalem gwizhit Kharigidiinjii Zhee Gwachoo gwikiit'ik Jesus nąąhchįį ts'ą' t'iiyahnyąą . “ Vit'eegwijyąhchy'aa Vidinji' inlii ji' dzaa k'iizhak neehantłit . ”
42:4:010:0	“ Dęhtły'aa Choh kat gwadanakhwatł'oo , ‘Vit'eegwijyąhchy'aa ąįį vats'an zheekat gwich'in nąįį nats'ą' hah'aa ts'ą' nik'eegahąąhtyaa .
