42:5:001:1	Dinjii Dǫǫ Nąįį Jesus Tąįį Gahaajil
42:5:001-002:0	
42:5:001-002:0	Ch'ihłan Jesus Gennesaret Van khyųų nadhat ts'ą' dinjii lęįį nąįį Vit'eegwijyąhchy'aa viginjik eegoovaagwaandak , gaa łyaa vaa gwiłtł'at gwiizhit tr'ihchoo neekwaii teedhidlit . Łuk kee'in nąįį teegaajil ts'ą' digichihvyaa k'eech'agahtryaa .
42:5:003:0	Izhit gwiizhit Jesus , Simon haa vitr'ihchoo eeniinzhii ts'ą' Jesus t'iiyahnyąą , “ Nitr'ihchoo gwiintsal ndaavąąhtrit . “ Ts'ą' tr'ihchoo zhiinzhii ts'ą' geedan Simon vijyaa chan giihaa gwizhiinjil ts'ą' ndaagiich'iinthaii . Oondaa shrii t'agwahthee tr'ihchoo nagaahłit , gwats'an ąįį dinjii nąįį ts'ą' ginkhii . It'ee iltł'at kwaa ts'ą' ginkhii . ”
42:5:004:0	Giinkhe' ąįįtł'ęę Simon ts'ą' , nil'ee ts'ą' , t'iiyahnyąą “ Chan oondaa hohkwaii ts'ą' chihvyaa chuhłii . ”
42:5:005:0	Akhai' Simon t'iiyahnyąą , “ Shigeech'ǫąąhtan , tǫǫ datthak gwiintł'oo łuk keeree'ya' googaa łuk tr'oonjik kwaa . Jyaa diinyąą geh'an , chan chihvyaa chineereheelyaa . ”
42:5:006:0	Oondaa chan tr'ihchoo neegehiłit digichihvyaa chineegiinlįį . Niighyuk gwahaadhat kwaa ts'ą' , ch'ihłak zhit łuk goodlit , ts'ą' chihvyaa khaiinjii łahchy'aa .
42:5:007:0	Ąįįts'ą' gee'at digitsyaa nąįį aanaii agahnyąą ts'ą' tr'ihchoo neekwaii zhit łuk deedigiinlii . Tr'ihchoo nihłaa ts'ą' it'ee shri' nidii ts'ą' khaiinjii gaa chiinlit .
42:5:008-010:0	Simon deegwii'in t'igwii'in gwiky'aanjik dąį' Jesus ts'ą' nikiigwiintthaii t'ee t'iiyahnyąą , “ Łyaa K'eegwaadhat inlii , dinjii nizįį ihłii kwaa gwiizhit jaghaii naa hihłyaa t'iinyąą gaashandaii kwaa ! “ Łuk lęįį goonjik geenjit James , John , gooti' Zebedee chan ts'ą' digijyaa nąįį haa łyaa geegagoolii kwaa giveenjit t'igwiizhik . ” Akhai' Jesus , Simon Peter t'ahnyąą , “ Nanjat kwaa , juk gwats'an dinjii nąįį teegwahąhdal t'oonchy'aa , łuk teegǫhjii gwik'it . ”
42:5:002:1	Jesus Dinjii Iłts'ik Shrininlik
42:5:011:0	Teegaajil dąį' jidii datthak akhagoonyąą ts'ą' Jesus tąįį gahaajil .
42:5:012:0	Ch'ihłok Jesus ąįį kwaiik'it dhidii izhit dinjii ch'ihłak ąįį vatthąį' ahjat ( leprosy ) haa iłts'ik . Nijin Jesus niił'in dąį' , dinin haa yats'ą' nikiigwiintthaii ts'ą' jyaa diyahnyąą . “ Shik'eegwaadhat , geet'iindhan ji' shats'ą' tr'iinjii ! ”
42:5:013:0	Jesus yakak naanjik ts'ą' t'inyąą . “ Jyaa dihthan t'oonchy'aa ąįįts'ą' juk it'ee nakat gweheezyaa ! “ Zhat łąą vakat gwinzii neegahoodlit . ”
42:5:014:0	Jesus jyaa diyahnyąą , “ Ch'ihłak gaa haagwandak shrǫ' gaa giinkhih ts'ą' hinkhaii ts'ą' nakat gwinzii neegahoodlit vats'ą' googwąąhch'in . Ąįįts'ą' Dęhtły'aa Choh zhit Moses deegweheenjyaa goo'aii nyąą gwik'it t'ini'in . ”
42:5:015:0	Gaa Jesus deezhik vagwandak goodlit ts'ą' dinjii lęįį giiyuuhaaky'aa ts'ą' goots'ą' tr'iheendal eenjit giits'ą' hijyaa .
42:5:003:1	Jesus Dinjii K'ęhdik Dhidlit Shrininlik .
42:5:016:0	Gaa adan ąįį t'oohłii dinjii kwaa gwa'an gwits'eehidik ts'ą' khagidiinjii .
42:5:017:0	Ch'ihłan drin Jesus geech'ǫąąhtan gwiizhit , Galilee chan ts'ą' Judea nahkat chan ts'ą' Jerusalem gwats'an kwaiik'it gwatsal datthak gwats'an Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį datthak zhat giilk'ii . Jesus ąįį Vit'eegwijyąhchy'aa vat'aii vaa-nilii , iłts'ik nąįį yaa shrineeheelyaa eenjit .
42:5:018-019:0	Izhit gwiizhit dinjii lat nąįį dinjii ch'ihłak k'ęhdik dhidlit ąįį dehk'it doodii gwiizhit neegahahchik , ąįįts'ą' Jesus eeghaii nigiihiłchįį gaa tr'ihkhit zheh gwizhit dinjii gwanlii ts'ą' khyų' gindeiinvyaa k'it k'ii'an nihdeegiiyąąhchįį . Ąįįts'ą' zheh gwakat deegiiyiłchįį gwats'an k'iidąą geeyeechy'a' k'iizhak dinjii tee Jesus eeghaii neegiiyąhchįį .
42:5:020:0	Nijin Jesus deegwahtł'oo giik'injiighit gwiky'aanjik dąį' ąįį dinjii jyaa ahnyąą , “ Shijyaa , natr'agwaanduu oo'an gwahaadlii . ”
42:5:021:0	Jii kwaii datthak geh'an ąįį Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį haa jyaa dinihłagaanyąą , “ Jii juu dinjii nilii Vit'eegwijyąhchy'aa jyąhts'ą' hił'ee kwaa t'inyąą ? Dinjii ch'ihłak gaa duuyeh gwik'it t'ii'in gaa Vit'eegwijyąhchy'aa ji' gwizhrįh diitr'agwaanduu diineenjit oo'an gweheelyaa ! ”
42:5:022:0	Jesus jyaa deegiindhan goovandaii ts'ą' jyaa goovahnyąą , “ Jaghaii jyąhts'ą' geenjit ninjich'ǫhthat ?
42:5:023:0	Jidii shrit t'igwehee'yaa ąįį gogwantrii kwaa ? Dinjii atr'agwaanduu oo'an gwireheelyaa akwat dinjii k'ęhdik dhidlit shrineereheelyaa ?
42:5:024:0	Juk nakhwats'ą' googwahaałkyaa , nats'ąą Gwidinji' ihłii ts'ą' gwatr'agwaanduu oo'an gwihihłyaa geenjit . ” Ąįįts'ą' ąįį dinjii k'ęhdik nilii ąįį t'ahnyąą , “ Ndak nineenjii ts'ą' nidęhk'it oo'an nizheh gwits'eegwihiin'ąįį ! ”
42:5:025:0	Zhat łąą ąįį dinjii goovandah ndak ninehjin ts'ą' didehk'it oo'an dizheh gwits'eehaa'ąįį . Vit'eegwijyąhchy'aa deehiił'e' ts'ą' .
42:5:004:1	Levi , Jesus Vitsyaa Dhidlit
42:5:026:0	Łyaa geegagoolii kwaa gooveenjit t'igwiizhik ! Datthak naajat haa Vit'eegwijyąhchy'aa deegihiił'ee ts'ą' jyaa diginyąą , “ Łyaa geegwaroolii kwaa . Juk drin diinandah t'igwiizhik ! ”
42:5:027:0	Jii ąįįtł'ęę , Jesus kwaiik'it gihłeehoozhii akhai' tax eenjit laraa oonjii nilii Levi oaazhii zhat gwa'an dhidii nah'in ts'ą' jyaa diyahnyąą , “ Shatąįį hinkhaii . ”
42:5:028:0	Levi ndak niinzhii ts'ą' zhat jidii datthak akhoonyąą ts'ą' yaahaazhii .
42:5:029:0	Ąįįtł'ęę Levi ąįį Jesus eenjit gwintł'oo ch'arehee'aa gwiłtsąįį , zhat chan tax eenjit laraa oonjii lęįį nąįį ąįįts'ą' ch'izhii dinjii lęįį nąįį chan zhat goovaa neech'aga'aa .
42:5:030:0	Ąįį Pharisee chan ts'ą' Law eech'ǫąąhtan nąįį Jesus vitsyaa nąįį ts'ą' gitr'igii'ee haa googaahkat , “ Jaghaii nakhwan chan ts'ą' Jesus haa tax eenjit laraa oonjii nąįį ts'ą' zhit gwa'an dinjii vatr'agwaanduu gwanlii nąįį haa neech'oh'aa t'akhwa'in ? ”
42:5:031:0	Akhai' Jesus jyaa goovahnyąą , “ Juu dinjii gwinzii gwandaii dinjii k'ahaanjii t'aahchy'aa kwaa t'oonchy'aa . Juu iłts'ik nąįį zhrįh .
42:5:005:1	Adach'agaa'aa Kwaa Geenjit Ch'agoahkat
42:5:032:0	Dinjii nizįį nąįį gootr'agwaanduu gweheelyaa gwits'į' eenjit dzaa gwats'ą' hoiizhii kwaa t'oonchy'aa gaa zhit juu vatr'agwaanduu gwanlii nąįį eenjit t'ishi'in . ”
42:5:033:0	Jesus t'agahnyąą “ Zhit John gweedhaa datthak vitsyaa chan ts'ą' Pharisee gootsyaa nąįį haa adach'agaa'aa kwaa ts'ą' khadigigiinjii gaa nan nitsyaa nąįį adach'agaa'aa gwiizhit jak chų' chan giinįį . ”
42:5:034:0	Jesus t'agoovahnyąą , “ Zhit juu goohaanjik zhat dhidii gwiizhit zhat vijyaa nąįį gooch'arahah'aa kwaa shrǫǫ niindhan ? Łyaa duuyeh !
42:5:035:0	Gaa nijin drin dinjii goohaanjik gihłeerihiłchįį ji' t'ee duuyeh ch'aga'aa gooveenjit goo'aii . ”
42:5:036:0	Jesus jii gwandak zhit haa geegoovąąhtan , “ Dinjii ch'ihłak gaa duuyeh ik k'eejit łahchy'aa ts'ą' ik ch'aa kat k'anaahkaii t'oonchy'aa . Jyaa diizhik ji' zhit ik k'eejit ąįį iizųų hahtsyaa ts'ą' zhit ik ch'aa kat gwinzii vigweheechy'aa kwaa .
42:5:037:0	Ąįį gwik'it chan dinjii ch'ihłak gaa duuyeh jak chų' nizįį ąįį jak tyah ch'aa zhit yinjaa t'oonchy'aa , jyaa diizhik ji' , zhit jak chų' nizįį ąįį jak tyah ch'aa łeehahch'aa ts'ą' jak chų' an heelyaa gwiizhit jak tyah iizųų hahtsyaa .
42:5:038:0	Ąįį geh'an jak chų' nizįį ąįį jak tyah k'eejit zhit gwizhrįh tr'iheenjaa goo'aii .
42:5:039:0	Ąįįts'ą' chan ch'ihłak gaa duuyeh jak chų' jat eenį' tł'ęę jak chų' k'eejit dinįį t'oonchy'aa . ‘Jak chų' jat ąįį gwandaa nizįį ! ’ jyaa yahnyąą . ”
