42:12:001:1	Gwik'iinjiighit Adaa'įį Nąįį Ts'į' Adak'ǫǫntii .
42:12:001:0	Izhit zhat dinjii thousands nąįį khaihłan niinjil ts'ąįį gaa nihkat deegaa'aa , Jesus ditsyaa nąįį tr'ookit jyaa ahnyąą , “ Pharisee nąįį łųh vaaniituu gwik'it t'ii'in ąįį goots'į' adak'ǫǫntii , zhit gwik'iinjiighit adaa'įį nąįį t'agwaihnyąą .
42:12:002:0	Jidii nagogwąąh'įį ąįį kwaii gwizhrįh nigweheedaa ts'ą' datthak gwik'igahaandal gweheelyaa .
42:12:003:0	Ąįįts'ą' t'ee tǫǫ gwizhit deiinyą' ąįį drin gwizhit nireheetth'ak , zheh gwizhit dinjii haa dandzit ąįį chan zheh gwikiit'ik k'iidak shraa haa t'ihiinjyaa gwireheetth'ak .
42:12:004:0	“ Shijyaa nąįį , nakhwaagwaldak , dinjii oonjat shrǫ' , dinjii ch'izhii dinjii vizhin haahkhwaa gaa jyąhts'ą' t'ee łyaa yats'ą' gwiizųų tr'agwahaah'ya' .
42:12:005:0	Juu vahaanjat naagwahaaldak : Vit'eegwijyąhchy'aa veech'andaii ǫhłįį , dinjii ęhdaa tr'igwiin'ąįį ąįįtł'ęę t'ee adan zhrįh hell nanakhwahahchyaa . Aahą' , naagwaldak , veech'andaii ǫhłįį !
42:12:006:0	“ Neek'ik ch'ihłoanli' laraa tsoo tsal neekwaii t'įį tr'iheelyaa lee t'oonchy'aa ? Ąįį googaa ch'ihłak gaa Vit'eegwijyąhchy'aa yinildee kwaa .
42:12:007:0	Nakhwakiighai' daanchy'aa gaa , Vit'eegwaahchy'aa gaandaii t'inchy'aa . Ąįį geh'an noojat shrǫ' , neek'ik daanchy'aa ji' gaa ąįį andaa ts'ą' khadhoo'ee t'oonchy'aa .
42:12:008:0	“ Nakhwaagwaldak , juu gwandah shaa nilii nyąą , Gwidinji' chan yeenjit Vit'eegwijyąhchy'aa vats'an zheekat gwich'in nąįį andah shaa nilii vaahaihjyaa .
42:12:009:0	Gaa juu gwandah shaa nilii kwaa nyąą , Gwidinji' chan yeenjit Vit'eegwijyąhchy'aa vats'an zheekat gwich'in nąįį andah shaa nilii kwaa vaahaihjyaa .
42:12:010:0	“ Juu Gwidinji' ts'ą' gwinehts'į' khaginkhee ąįį veenjit oo'an gweheedaa ; gaa juu Ch'anky'aa Shroodiinyąą inehts'į' khaginkhee ąįį duuyeh veenjit oo'an gwihijyaa .
42:12:011:0	“ Israel nąįį tr'igiinkhii zheh akwat gwats'ą' k'eegwaadhat choh nąįį , Governor nąįį ts'ą' nanakhwarąąhchįį ji' gaa nats'ąą cheedahanchyaa akwat deehiinjyaa eenjit tr'agoiindii shrǫ' !
42:12:002:1	Nankat Gwik'eiich'i' Tr'ihił'ee Eenjit Jesus Akǫǫ T'agoovahnyąą
