42:19:001:1	Jesus , Zacchaeus haa .
42:19:001:0	Jesus , Jericho kwaiik'it hee k'idik ts'ą' gehgoo hahaii .
42:19:002:0	Izhit hee Zacchaeus ndak khii tax eenjit laraa oonjii nilii dhidii , łyaa valaraa gwanlii .
42:19:003:0	Jesus hąąh'yaa gwik'eegwandaii gaa dinjii natsal nilii ts'ą' khyų' dinjii tee yąąh'in .
42:19:004:0	Nijuk Jesus ahaa izhit gwits'ii hee aagal ts'ą' yahąąh'yaa eenjit ts'iivii Sycamore kat deedhizhii .
42:19:005:0	Nijin Jesus ts'iivii ehzhee niinzhii dąį' k'iidak Zacchaeus nah'in ts'ą' jyaa yahnyąą , “ Zacchaeus , juk zhat neenindii , juk drin nizheh hihdyaa goo'aii . ”
42:19:006:0	Zacchaeus khan neeneezhii ts'ą' shoh haa dizheh gwits'eeyihiłchįį .
42:19:007:0	Juu nąįį datthak Jesus yizheh nihdąhkhaii yąąh'in dąį' datthak giiyeeginkhii ts'ą' jyaa ginyąą , “ Jii dinjii vatr'agwaanduu gwanlii vizheh heedyaa eenjit nihdeiinzhii ! ”
42:19:008:0	Zacchaeus ndak niinzhii ts'ą' Diik'eegwaadhat jyaa ahnyąą , “ Juk zhat , shik'eiich'ii teetł'an kwaii neeshraahchy'aa nąįį intł'eehihłyaa . Ąįįts'ą' juu vininjigoolzhii nąįį chan dǫǫ gwiteegogwąąnchy'aa gooneegoohihkwat . ”
42:19:009:0	Jesus t'iiyahnyąą , “ Juk drin jii zhehk'aa gwizhit gwich'įį nąįį neeheezhii . Yeenii diilak Abraham vats'an inkhaa geh'an .
42:19:002:1	Laraa Gwandak Zhit Geech'ǫąąhtan
42:19:010:0	Gwidinji' ihłii ts'ą' ąįį dinjii teehaajil nąįį neehałshii eenjit keegwaał'in , jyąhts'ą' khit geegoo'aii . ”
42:19:011:0	Dinjii nąįį ch'agoołk'įį gwiizhit Jesus nihk'it gwaandak ts'ą' gwandak zhit geegoovąąhtan . It'ee khaiinjii Jerusalem k'idik , ąįįts'ą' K'eegwaadhat Veegwinii'ee vineegwahaakyaa goo'aii gwich'in giindhan .
42:19:012:0	Ąįįts'ą' jyaa nyąą , “ Ch'ihłan dinjii King nilii nąįį ts'an deedhaa nahkat niighit gwa'an King heelyaa eenjit gwats'ą' heekhaa ąįįtł'ęę k'ineeheedik .
42:19:013:0	Heekhaa gwehkįį , ditsyaa ch'ihłoaatin nąįį teegogwaanchy'aa gold laraa ch'ihłak gooteedhidlii ts'ą' jyaa goovahnyąą , ‘Hadhaljii gwiizhit jii haa laraa dootsii . ’
