42:17:001:1	Gwatr'agwaanduu
42:17:001:0	Jesus ditsyaa nąįį jyaa ahnyąą , “ Dinjii jidii gwizhit dee'in haa vatr'agwaanduu gwilik , gaa ąįį juu vats'an t'igwii'in łyaa veenjit tr'igwidii dha'aii !
42:17:002:0	Kii nitsii vak'oh chan diriłchaa ts'ą' chųų choh kat oondaa t'eeriheełnaii ji' gwandaa vidivee gweheezyaa , juu gwintł'oo gwik'iinjiighit kwaa nąįį yeh'an datr'agwaanduu gwahahtsyaa gwits'į' .
42:17:003:0	“ Adak'ǫǫntii ! Nakhwalak datr'agwaanduu gwahtsii ji' , jyaa deehee'yaa kwaa eenjit veiinyąą , ąįįts'ą' datr'agwaanduu akhagoonyąą ji' , veenjit oo'an gwihiinlii .
42:17:002:1	Gwik'iinjigwiighit
42:17:004:0	Nihk'it drin ch'ihłak gwizhit nats'ą' gwinlęįį vatr'agwaanduu gwanlii ji' gaa nihk'it nits'eehidik ts'ą' jyaa nahaanjyaa ‘Shatr'agwaanduu akhagoihnyąą , ’ ąįį ji' veenjit oo'an gwihiinlyaa gwizhrįh . ”
42:17:005:0	Tr'ihił'e' nąįį K'eegwaadhat jyaa agahnyąą , “ Gwandaa gwik'iinjigwiighit nitsii Vit'eegwijyąhchy'aa veenjit tr'ihee'yaa eenjit diits'iinyąą . ”
42:17:003:1	Ch'itsyaa Gwik'eegwahthat
42:17:006:0	Diik'eegwaadhat jyaa goovahnyąą , “ Mustard seed tsal agwahtł'oo gwik'iinjigwiighit khwa'įį ji' , ‘Jii Mulberry ts'iivii nitsii ji' , gaa , Nanzhit khadaanchįį ts'ą' chųų choh zhit nindhat ! ’ vaiinyąą ts'ą' ąįį ts'iivii nik'eegwahahthat . ”
42:17:007:0	“ Nakhwatee ch'ihłak ch'itsyaa di'įį . Ąįį gwanzhįh deek'it geetr'agwah'in , akwat divii k'ąąhtii nilii ji' . Nijin gwanzhįh deek'it gwats'an oo'ee neezhįį dąį' , nik'ee jyaa vaiinyąą , ‘Dzaa dhindii , ts'ą' neech'in'aa ? ’
42:17:008:0	Łyaa duuyeh gwich'in ! Gaa jii ąįį jyaa vaiinyąą , ‘Hih'aa sheenjit shrinlii . Gwach'aa tł'andirilchaa nakat nąąhtsuu ts'ą' hih'aa ts'ą' hishinjyaa haa sheenjit shriinlii . Ąįįtł'ęę neech'in'aa . ’
42:17:009:0	Ąįį ch'itsyaa deehee'yaa goo'aii ąįį gwik'eegwahthat eenjit mahsį' varahnyąą gwat'aahchy'aa kwaa shrǫǫ oiinyąą ?
42:17:004:1	Jesus , Dinjii Ch'ihłoaatin Nąįį Ashranǫąhjik
42:17:010:0	Izhit gwik'it jyąhts'ą' naagoo'aii , nijin deeni'yaa goo'aii datthak gwik'it t'ini'in tł'ęę , jyaa nyąą , ‘Ch'itsyaa zhrįh tr'iinlii . Deegwehee'yaa goo'aii , izhit gwizhrįh diigwitr'it . ’ ”
