42:11:001:1	Jesus , Nats'ąą Kharigidiinjii Geech'ǫąąhtan
42:11:001:0	Ch'ihłok Jesus zhit gwa'an khadigiinjii . Ndaanaahjik dąį' , vitsyaa ch'ihłak t'iiyahnyąą , “ Shik'eegwaadhat , khadigiriinjii gidiigwąh'ee , John nats'ąą ditsyaa nąįį googwah'ee gwik'it . ”
42:11:002:0	Jesus jyaa goovahnyąą , “ Jyąhts'ą' khagadǫhjii , ‘Diiti' , Noozhri' Shroodiinyąą tr'ahoh'e' . Nijin drin jii nankat gwidinji' datthak nik'injahahdaa geenjit khadigiriinjii .
42:11:003:0	Drin gwiteegwaanchy'aa shih tr'ihee'aa diits'an ąh'įį .
42:11:004:0	Diitr'agwaanduu diineenjit oo'an gwihinlii , Diikhwan chan juu diits'ą' gwiizųų tr'agwah'in gooveenjit oo'an gwirihilii . Ąįį gwizhit tr'agwaanduu gwiindhan gwits'į' an-diinoaan'ee . ’ ”
42:11:005:0	Ąįįts'ą' Jesus ditsyaa nąįį jyaa ahnyąą , “ Nakhwatee ch'ihłak jyaa diizhik ji' yu' ? Tǫhtł'an nijyaa veeninkhee ts'ą' jyaa vahaiinjyaa , ‘Shijyaa , łųhchy'aa tik sheedįįntł'oo .
42:11:006:0	Shijyaa zhit gwa'an neehidik , akhai' shizheh sheek'idik , gaa veenjit shih shi'įį kwaa . ’
42:11:007:0	Akhai' nijyaa zheh gwizhit gwats'an jyaa nahnyąą ji' yu' , ‘Shaa nigwiin'ąįį kwaa ! Duuyeh neenjit geech'idįhchįį . Shįį , shigii nąįį haa tr'ihįįłchųų . Duuyeh khakisha'ąįį ts'ą' nantł'eech'ałtsit t'oonchy'aa ! ’
42:11:008:0	Ąįįtł'ęę yu' , deehee'yaa shrǫǫ yuuhthan ? Nakhwaa gwahaldak . Nijyaa nilii , gaa ąįį geenjit khakihee'aa ts'ą' nantł'eech'ahahchaa kwaa . Gaa nihk'it k'ii'ee ch'oahkat ji' , nijyaa nilii eenjit gwizhrįh kwaa , gaa jidii t'aahchy'aa datthak nintł'eeheelyaa t'inchy'aa .
42:11:009:0	Ąįįts'ą' jyaa nakhwahaihjyaa , Vit'eegwijyąhchy'aa oohkat ji' , nakhwantł'eegwehee'aa t'inchy'aa . Gwank'oohtii ji' , vagahoh'aa t'inchy'aa . Ganloonaii ji' , nakhweenjit gidirideenchyaa t'inchy'aa .
42:11:010:0	Juu ch'oahkat t'ee vintł'eegwahaatth'aa , ts'ą' juu gwinkeegwaah'in chan yagwahah'aa , ts'ą' juu ganlaanaii chan veenjit gindeiinvyaa eetr'ooheendal t'inchy'aa .
