42:18:001:1	Tr'injaa Vakai' Niindhat ts'ą' Dinjii Ch'aroahkat Zheh gwizhit Ch'oahkat haa Googwandak
42:18:001:0	Ąįįtł'ęę Jesus jii gwandak zhit geegoovąąhtan , jidii geenjit khadigigiinjii akhagagooheenjyaa kwaa eenjit .
42:18:002:0	“ Zhit gwa'an kwaiik'it goo'aii gwizhit dinjii ch'aroahkat zheh gwizhit ch'oahkat nilii . Ąįį Vit'eegwijyąhchy'aa aanjat kwaa ts'ą' dinjii chan hił'ee kwaa nilii .
42:18:003:0	Ąįįts'ą' chan tr'injaa vakai' niindhat chan zhat kwaiik'it gwich'įį . Ąįį gwintł'oo yeeninidik ts'ą' deeyiindhan gwik'it t'igwehee'yaa geenjit yaandeegwii'ąįį . ‘Juu shats'ą' iizųų nąįį eenjit shits'iinyąą . ’
42:18:004:0	Łyaa niighyuk yik'eegwahthat kwaa , gaa gohch'it jyaa adaanyąą , ‘Vit'eegwijyąhchy'aa chan aaljat kwaa ts'ą' dinjii chan hooł'e' kwaa gaa ,
42:18:005:0	Jii tr'injaa vakai' niindhat tr'ihkhit shik'eegoodhat niindhan geenjit shaandeegwii'ąįį akwat vik'eegwahałthat . Ąįį akwaa ji' , gwintł'oo geenjit shaandeegwehee'aa ts'ą' chishahąhndaa ! ’ ”
42:18:006:0	Ąįįts'ą' t'ee Diik'eegwaadhat t'agoovahnyąą , “ Jii dinjii ch'aroahkat zheh gwizhit ch'oahkat tsinteech'ąąhkaii dohtth'ak .
42:18:007:0	Ąįį eenjit , Vit'eegwijyąhchy'aa ąįį dinjii tǫǫ drin haa , ‘Shits'iinyąą , ’ yahnyąą nąįį nihteetr'anaazhik lee t'inchy'aa ? Jidii eenjit , ‘Shits'iinyąą , ’ giiyahnyąą , ąįį eenjit khan goots'iheenjyaa lee t'inchy'aa ?
42:18:002:1	Pharisee ts'ą' Dinjii Tax Eenjit Laraa Oonjii haa Gwaandak
42:18:008:0	Nakhwaagwahaldak , zhit deegiindhan gook'eegwahahthat t'inchy'aa gaa nijin Gwidinji' nankat k'idik ji' gwik'iinjigwiighit agwahah'aa shrǫǫ ? ”
42:18:009:0	Jesus jii gwandak ąįį juu dinjii ihsįį indhan ts'ą' juu datthak gooveenjit iizųų nąįį haa gwaandak .
42:18:010:0	“ Dinjii neekwaii nąįį Kharigidiinjii Zhee Gwachoo gwats'ą' gahaa'oo , khagigeheejyaa geenjit . Ch'ihłee Pharisee nilii ts'ą' ch'ihłee chan tax eenjit laraa oonjii nilii .
42:18:011:0	Jii Pharisee adąhzhrįh nadhat ts'ą' jyąhts'ą' khagidiinjii , ‘Vit'eegwijyąhchy'aa mahsį' , juu nąįį datthak k'it shahzhrįh idininjich'aldhat kwaa , niinjigwalzhii kwaa , ts'ą' tr'injaa veedhiidii kwaa ąįį haa dhiichįį kwaa , mahsį' ! Jii tax eenjit laraa oonjii vik'it t'ihchy'aa kwaa .
42:18:012:0	Drin ch'ats'ateets'įį neekwaii gwizhit drin neekwaii ch'ih'aa kwaa , ts'ą' jidii oihjii datthak ts'an ch'ihłoaatin kwaii ( 1/10 ) Vit'eegwijyąhchy'aa vats'an ałtsii . ’
42:18:013:0	Gaa zhit tax eenjit laraa oonjii ąįį geh'at gwa'an adąhzhrįh nadhat , gaa zheezhit k'iidak gaa gwąąh'in kwaa , gwiizhit didrihtsii gwahgwat ts'ą' t'inyąą , ‘Vit'eegwijyąhchy'aa , neeshraahchy'aa shǫįįnyąą , tr'agwaanduu tr'agwał'ya' ! ’
42:18:003:1	Jesus Chan ts'ą' Tr'iinin Tsal Nąįį haa
