42:24:001:1	Jesus Neegwiindaii
42:24:001:0	Drin zhit vanh dąį' hee tr'injaa nąįį ąįį jidii gwinzii vagwaatsan shriginlik haa Jesus vatth'ank'it gwats'ą' gahaajil .
42:24:002:0	Vatth'ank'it gwadąįį kii gihłeehiltth'at łee googwąąh'in .
42:24:003:0	Ąįįts'ą' nihdeeginjil , gaa Diik'eegwaadhat Jesus vichį' gąąh'in kwaa .
42:24:004:0	Zhat nigiilzhii ts'ą' deegwiizhik t'igwii'in gaagiindaii kwaa , gwiizhit khan hee dinjii neekwaii vagwach'aa ch'ahdrii giveeghaii nadhat nagwaanąįį .
42:24:005:0	Gwint'aii gąąnjat ts'ą' nankat nikiigogwąh'ee gwiizhit ąįį zheekat gwich'in neekwaii jyaa goovahnyąą , “ Dinjii gwandaii gwiizhit jaghaii tth'ank'it gwizhit vinkeegǫh'in ?
42:24:006:0	Dzaa dhidii kwaa t'inchy'aa , gwandaii needhidlit . Galilee dhidii dąį' , deenakhwahnyąą ganoondaii .
42:24:007:0	‘Gwidinji' dinjii iizųų nąįį antł'eehahchyaa ts'ą' gigiihahtsak . Ąįįtł'ęę drin tik gwiindhat tł'ęę neegweheendaii . ’ ”
42:24:008:0	Ąįįtł'ęę tr'injaa nąįį giiginjik anaanjik ,
42:24:009:0	Tth'ank'it gwats'an oo'ee neegiijil ts'ą' jii datthak giitsyaa 11 chan ts'ą' ch'izhii nąįį haa googwaandak .
42:24:010:0	Ąįį tr'injaa t'ee Mary Magdalene , Joanna , James vahan Mary , nąįį haa , Jesus vitsyaa nąįį ts'ą' goovandah deegwiizhik goovaagogwaandak .
42:24:011:0	Gaa vitsyaa nąįį ąįį tr'injaa deeginyąą zhyaa t'igwinyąą giindhan ts'ą' gwik'iinjigiighit kwaa .
42:24:002:1	Emmaus gwats'ą' Geedaa
42:24:012:0	Gaa Peter ąįį ndak ninehjin ts'ą' tth'ank'it gwats'ą' hilgik , gwizhit gwąąh'in , gaa yagwach'aa zhrįh nah'in , gaa ch'akwaa . Ąįįtł'ęę dizheh gwits'eehoozhii , deegwiizhik t'igwinyąą li' niindhan .
42:24:013:0	Izhit drin gootee dinjii neekwaii nąįį Jerusalem gwats'an 7 mile Emmaus kwaiik'it gwats'ą' gee'al .
42:24:014:0	Deegwiizhik datthak geenjit nihłaa geegiginkhii .
42:24:015:0	Geegoogwaandak ts'ą' geegiginkhii gwiizhit Jesus gooveeghaih niinzhii ts'ą' goovaa ahaa ,
42:24:016:0	giiyąąh'in gaa adan t'inchy'aa giiyaandaii kwaa .
42:24:017:0	Jesus t'agoovahnyąą , “ Oh'al gwiizhit jidii eegoohkhii ? ” Khaihłan nagadhat ts'ą' goonin kat tr'igwidii dha'aii .
42:24:018:0	Ch'ihłak dinjii Cleopas oaazhii ąįį yuahkat , “ Nan zhrįh Jerusalem gwizhit aakin inlii juk k'ehdąį' gwanaa gwats'an deegwiizhik gaanandaii kwaa ? ”
42:24:019:0	“ Jaghaii , deegwiizhik ? ” goovahnyąą . “ Jesus , Nazareth gwats'an deeginlik reh , ” ginyąą . “ Ąįį dinjii t'ee łyaa Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii , dee'ya' chan ts'ą' deiinyą' datthak geenjit t'ee Vit'eegwijyąhchy'aa chan ts'ą' dinjii datthak haa giishoo'ąhłii .
42:24:020:0	Giinkhih kįh dilk'ii nąįį chan ts'ą' Israel kįh dilk'ii nąįį tr'ahaahkhwaa eenjit gwintł'eegiiyahchįį tł'ęę t'ee gigiiyiłtsak .
