42:16:001:1	Laraa K'ąąhtii Niinjigwaazhii
42:16:001:0	Jesus ditsyaa nąįį jyaa ahnyąą , “ Ch'ihłan dinjii valaraa gwanlii . Ąįį dinjii yalaraa k'ąąhtii nilii di'įį . Ąįį laraa k'ąąhtii nilii ąįį yalaraa zhyaa an ąhtsii eenjit giiyaagwaandak .
42:16:002:0	Adats'ą' nihdeeyąąhchįį ts'ą' jyaa yahnyąą , ‘Deeni'in t'anarahnyąą neegwiitth'ak ? It'ee duuyeh sheenjit laraa k'ąąhtii neenilįį . Dęhtły'aa kat laraa dąh'in ąįį gwidęhtły'aa shintł'ineiinlii . ’
42:16:003:0	Ąįį dinjii jyaa adaanyąą , ‘It'ee deeshi'yaa ? Shats'ą' k'eegwaadhat shigwitr'it shits'į' neegǫǫnjik . Łųh khaihihthaa eenjit shat'aii kwaa . Ąįįts'ą' chan ch'adooshakwat eenjit hihłyaa .
42:16:004:0	It'ee deeshi'yaa gaashandaii ! Gwitr'it gwishi'įį kwaa ts'ą' gwihihchy'aa gwakwaa ji' , shijyaa nąįį gweheelyaa ts'ą' digizheh nihdeeshagahahchik . ’
42:16:005:0	Ąįįts'ą' ąįį juu yats'ą' k'eedeegwaadhat ts'ą' agaandaii nąįį gooteegwagwaanchy'aa ts'ą' nihdeegoovahchik . Dinjii ch'ihłak jyaa ahnyąą , ‘Shats'ą' k'eegwaadhat deegwahtsii vats'ą' andaii ? ’
42:16:006:0	‘Olive ghwai' ch'ityah 100 , ’ yahnyąą . ‘Dzaa nidęhtły'aa iłtsuu , ’ ąįį laraa k'ąąhtii nyąą , ‘Khan dhindii ts'ą' 50 ąįį vakat neediintł'oo . ’
42:16:007:0	Ch'izhii dinjii chan jyaa ahnyąą , ‘Nan ąįį yu' ? Deegwąhtsii gwats'ą' andaii ? ’ ‘Tł'oo li' ch'ityah 1000 , ’ jyaa nyąą . ‘Dzaa nidęhtły'aa iłtsuu , ’ ąįį laraa k'ąąhtii nyąą . ‘Khan vakat 800 diintł'oo . ’
42:16:008:0	Jyaa dii'in eenjit ąįį yats'ą' k'eegwaadhat ąįį jii laraa k'ąąhtii nilii łyaa vigwizhi' gwanlii eenjit yeeyinjihił'ee . Juk gweendaa nankat gwidinjii nąįį ideenjit deegii'in , izhit łyaa juu dinjii ch'eegwąhndit gwats'an nilii nąįį andaa ts'ą' googwizhi' gwanlii . ”
42:16:009:0	Ąįįts'ą' Jesus tth'aii ginkhii , “ Ąįįts'ą' nakhwaagwaldak . Dzaa nankat gwizhrįh niinjigwaazhii laraa haa jyaa dahtsii . Nijin nalaraa kwaa goodlit ji' , zheekat gwandaii ndaanąą'ąį' kwaa nihdeenarahahchyaa .
42:16:010:0	Juu gwintsii kwaa gwizhit gwik'eegwahthat , ąįįt'ee gwandaa gwintsii gwizhit gwik'eegwahahthat . Ąįįts'ą' juu gwintsii kwaa gwizhit niinjigwaazhii , ąįįt'ee gwandaa gwintsii gwizhit niinjigwahaazhii .
42:16:011:0	Gwik'eegwahthat kwaa ts'ą' jyaa t'inchy'aa ji' , duuyeh nankat gwik'eiich'i' ts'ą' t'anarahtthan . Nats'ahts'ą' zheekat łi'didlii ąįį gwats'ą' t'anarahąhkhyaa ?
42:16:012:0	Ch'izhii dinjii ts'an k'ąąhtii kwaa ji' , duuyeh ch'ihłak gaa nats'an nilii nantł'ana'aii .
42:16:002:1	Jesus Jii Kwaii T'inyąą
