42:10:001:1	Jesus , Dinjii 72 Nąįį Hił'e'
42:10:001:0	Ąįįtł'ęę Diik'eegwaadhat ch'izhii dinjii 72 nąįį gwitee tr'iinlii . Ąįį gooteegwagwaanchy'aa ts'ą' neekwaii ginlii , nijin kwaiik'it gwa'an k'eeheedik datthak idits'įį goohił'e' .
42:10:002:0	Ąįįts'ą' t'agoovahnyąą , “ Dinjii nąįį gwanzhįh tr'ąąhshii k'it t'iginchy'aa , gaa lęįį ch'ahąąhtsyaa nąįį kwaa . Ąįį gwanzhįh deek'it gwats'ą' K'eegwaadhat vats'ą' khadagohjii , lęįį nąįį yeenjit ch'ahąąhtsyaa .
42:10:003:0	Juk zhat hohjyaa ! Divii gii zhoh tee gwats'ą' hał'aa k'it t'anakhwahihłyaa .
42:10:004:0	Laraa dhah , khwah , akwat kwaiitryah gaa adahaa hohłyaa shrǫ' ! Tąįį gwinjik dinjii nǫh'in ji' , vats'ą' gohkhyaa shrǫ' !
42:10:005:0	Zheh nihdǫh'oo dąį' , tr'ookit jyaa dohnyąą , ‘Jii zheh gwizhit gwich'įį nąįį tsinehdan nakhwaa oolį' . ’
42:10:006:0	Dinjii tsinehdan eenjit ch'eet'igwiniindhan , tsinehdan haa di'įį zhat gwich'įį ji' , tsinehdan khwa'įį ąįį zhat akhoohnyąą , ąįį akwaa ji' , tsinehdan vits'į' nǫhjii .
42:10:007:0	Ąįį zheh gwizhrįh gohch'įį ts'ą' jidii hoh'aa , akhwahanjyaa haa nakhwantł'eerahchak zhrįh ǫhjii , juu gwitr'it t'agwah'ya' agwarooheekwat gwizhrįh geenjit goo'aii geh'an . Zheh gwiteegogwąąnchy'aa datthak gohch'į' shrǫ' !
42:10:008:0	Nijin kwaiik'it nihdǫhdal ts'ą' nakhweenjit shoo gilik ts'ą' jidii nakhwęhdaa narahchak , ąįį oh'aa .
42:10:009:0	Ąįį kwaiik'it gwizhit iłts'ik nąįį shranohłik . Zhat dinjii nąįį jyaa ohnyąą , ‘K'eegwaadhat Veegwinii'ee nahgwan nakhweenjit dha'aii . ’
42:10:010:0	Gaa nijin kwaiik'it nihdeenakhwarahchįį kwaa ts'ą' nakhwatr'igii'ee ji' , tąįį gwinjik gwats'ą' hohdal ts'ą' jyaa dohnyąą ,
