42:14:001:1	Jesus éí diné bitah nahonichaadii néidiisá
42:14:001:0	Áko Jesus łah háá'áyį́į́h jį́į́ góne' Férisii naat'áanii nilíinii ła' bikin góne' azhdooyį́į́ł biniyé yah ajííyá, nít'éé' t'áá íiyisí hadahasííd. 
42:14:002:0	Nít'éé' jó'akon, diné ła' bitah nahonichaad léi' jiiłtsą́. 
42:14:003:0	Áko Jesus hadzoodzíi'go bee haz'áanii yínda'niłtinii índa Férisii danilíinii ábizhdííniid, Háá'áyį́į́h jį́į́ góne'ésh nááhodi'doodláałgo bee haz'ą́, dooda daats'í? 
42:14:004:0	Nidi t'áadoo ha'át'íhída dadííniid da. Áko diné jiiłtsoodgo náábizdiisá, áádóó béézh'níłnii'. 
42:14:005:0	Áko diné danilíinii ábizhdííniid, Háishą' háá'áyį́į́h jį́į́ góne' nidi nihitélii, doodaii' nihibéégashii tó hahadleeh góyaa íítłizhgo, da' doósh t'áá áko háidoołtéel da? 
42:14:002:1	Iigehgo áda'azįįdgi nidahaaskaii bee na'nitin
42:14:006:0	Áko díí bich'į' doo t'ą́ą́' háádadzódziih át'ée da. 
42:14:007:0	Áádóó bida'asnii'ígíí aląąjį' naazíinii dah nídandaahgóó nídahozhdii'ánígíí Jesus yiyiiłtsą́ągo hane' bee ak'idi'dootį́įłii yaa ch'íhoní'ą́ągo áháłní, 
42:14:008:0	Diné ła' iigehdę́ę́' hágo nidííniidgo, t'ááká aląąjį' naazíinii dah nídandaahgóó bich'į' ch'í'ídiyííltééł yíila', háálá diné t'ah niláhígo át'éii ił nilíinii hágo yididooniiłgoda át'é, 
42:14:009:0	áko nihi'níłnii'ígíí níyáago ándidooniił, Bik'i dah sínídáhígíí díí diné baa ní'aah, áko t'óó baa yádíníízįįłgo t'áá a'ohgo ádaat'éii dah nídinibįįhgi dah díníídaał. 
42:14:010:0	Nidi ni'ílnii'go, ákǫ́ǫ́ díínáałgo t'áá a'ohgo ádaat'éii dah nídinibįįhgi dah díníídaał, áko ni'níłnii'ígíí ándidooniił, Shik'is, aláahgo ádaat'éii dah nídinibįįhgi dah nídaah, áko nił da'ayánígíí t'áá ałtso bił nílį́į doo. 
42:14:011:0	Háálá t'ááłá'í jinítínígo ayóó ájít'é ízh'dólzinígíí éí a'ohgo ájít'é áhodi'doolnííł, nidi t'áá háiida a'ohgo ádaa nitsídzíkeesígíí éí ayóó át'éii jílį́įgo áhodi'doolnííł.  
