42:6:001:1	Jesus bídahooł'aahii háá'áyį́į́h jį́į́ góne' tł'oh naadą́ą́' deinizh
42:6:001:0	Łah háá'áyį́į́h jį́ azlį́į'go tł'oh naadą́ą́' bitahgóó Jesus joogááł, nít'éé' hódahooł'aahii bił jookahgo tł'oh naadą́ą́' ła' deinizhgo, bílák'eejį' deidiniyishgo dayííyą́ą́'. 
42:6:002:0	Nidi Férisii danilíinii ła' ádadííniid, Ha'át'éegoshą' háá'áyį́į́h jį́į́ góne' doo bee haz'ánígíí baa naahkai? 
42:6:003:0	Áádóó Jesus hach'į' haadzíi'go ádííniid, Da' t'ahásh doo David índa yił naakaígíí dichin daazlį́į'go ádaadzaa yę́ęgi dayínółta' da? 
42:6:004:0	Shą́ą́', éí Diyin God bikin góne' yah ajííyáago, Diyin God bich'į' bááh nááhániihii nízhdii'ą́ągo jííyą́ą́', áádóó hoł naakaígíí ałdó' ła' baz'níłtsood, éí ła'da doo yidooyį́į́łgóó bee haz'ą́ą́ nít'éé' yę́ę, nááda'iiłniihii t'éiyá deiyą́ągo bee bá haz'ą́ą́ nít'éé'. 
42:6:002:1	Diné bíla' bąąh dah haz'áanii
42:6:005:0	Áádóó áhodííniid, Diné Silį́į'ii háá'áyį́į́h jį́ ałdó' bee bóhólnííh. 
42:6:006:0	Łah háá'áyį́į́h jį́ náá'ásdlį́į'go kin bii' áłah ná'ádleeh góne' yah ajííyáago naz'neeztą́ą́', nít'éé' diné bíla' nish'náájígo bąąh dah haz'ą́ą́ léi' ákwe'é naagháá lá. 
42:6:007:0	Áko háá'áyį́į́h jį́į́ góne' daats'í nááhozhdidoołááł danízingo bee haz'áanii yínda'niłtinii índa Férisii danilíinii hak'i dahodidoo'ááł biniyé hadahasííd. 
42:6:008:0	Nidi baa nitsídadzikeesígíí bił bééhoozin, áko diné bíla' bąąh dah haz'ánígíí áyidííniid, Hágo, kodi yiizįįh. Áko nízhdii'na'go ákwii dziizį'. 
42:6:009:0	Áádóó Jesus áhodííniid, Łahgo haz'ą́ nanihídíshkid, Háá'áyį́į́h jį́į́ góne' daats'í yá'át'éehgo ázhdooníiłgo bee haz'ą́, éí doodaii' atízh'doolííł daats'í; hináanii yisdázhdoołtééł, éí doodaii' azhdiyoołhéełgo daats'í bee haz'ą́? 
