42:21:001:1	Asdzání bąąh áhásdįįdii béeso ayíínil
42:21:001:0	Nít'éé' hajííghalgo diné da'at'íinii béeso adaha'níiłgi bibéeso adayiiníiłgo jiiłtsą́, 
42:21:002:0	áko asdzání bąąh áhásdįįdii bahojoobá'í léi' béeso ts'ídá a'ohgo ílínígíí naaki ayíínilgo jiiłtsą́. 
42:21:003:0	Áádóó ázhdííniid, T'áá aaníígóó ánihidishní, Díí asdzání bąąh áhásdįįdii bahojoobá'í nidi t'áá ádzíłtso haláahgo i'íínilgo át'é, 
42:21:002:1	Kin bii' sohodizin ádooldįįłígíí t'áá bítséedi baa hojoolne'
42:21:004:0	háálá t'áá ádzíłtso t'áá ałtsoní bee bilááh dazhneel'ánígíí éí lą'í adadziiznil, nidi díí asdzání t'áá íiyisí bahojoobá'í nidi, t'áá yee hinánígi ałtso ayíínil. 
42:21:005:0	Nít'éé' kin bii' sohodizin tsé da'ílíinii índa aa yílyáii bee naashch'ąą'ígíí ła' baa yádajiłti'go hodiizts'ą́ą'go áháłní, 
42:21:003:1	Bee éédahózinii áádóó atí'él'į́
42:21:006:0	Díí k'ad danół'ínígíí tsé doo ła' t'áá ałk'i dah si'ą́ą da dooleełígíí beidoołkááł, nidi t'áá ałtso naa'ahidoolkał. 
42:21:007:0	Áko nidahódééłkidgo ádaaní, Na'nitiní, hahgoshą' díí ákódahodoonííł, áádóó k'adę́ę ákóhánéehgo ha'át'íísh bee ééhózin dooleeł? 
42:21:008:0	Áko ázhdííniid, Ádaa ádahołyą́, áko doo yóó'adanihidi'nóot'ah da, háálá lą'í, Shí Christ ásht'į́, daaníigo shízhi' yee ádadójíigo nidahidookah áádóó, K'ad áajį' ahoolzhiizh! daaníigo. T'ááká bikéé' dah dahidoohkááh yíila'. 
42:21:009:0	Anaa' dahólǫ́ǫgo índa hahóó'áago dadoohts'a'go, éí t'áadoo bik'ee nihił daayé'í, háálá díí áłtsé ts'ídá ádadoonííł, nidi nihodoogáłígíí éí doo t'áá hooshch'į' ádooníił da. 
42:21:010:0	Ákohgo ábizhdííniid, Ał'ąą dine'é ałch'į' nídahidiibáah dooleeł, áádóó łahgo nihokáá' bee bóhólníihgo bił haz'áanii índa náánáła' nihokáá' bee bínááhólníihgo bił nááhást'áanii yił ałch'į' nídahidiibáah dooleeł, 
42:21:011:0	áko łahgóó ayóó át'éego ni' nídahidi'náah doo, áádóó nídahodichįįh áádóó nidahałniih doo, índa yá'ąąshdę́ę́' bik'eda'íyée'ii índa bee éédahózinii ayóó ádaat'éii nídeiltséeh dooleeł. 
42:21:012:0	Nidi díí t'áá át'é t'ah doo ánééhgóó danihiidoołtsołgo atídanihił'į́į doo, kin bii' áłah nída'adleehígíí índa awáalyaajį' adanihii'éeshgo, áádóó shízhi' biniinaa aláahgo naat'áanii índa naat'áanii naazdáágóó bidááhdę́ę́' nidanihii'éesh doo. 
42:21:013:0	Áko éí baa hoolzhiizhgo nihí shá dahołne'go nihá ashja doolííł. 
42:21:014:0	Éí bąą nihijéí bii' hazhó'ó hasht'e'nitsídanohkees, bee ák'ihadadidoohdzihii t'áá bítséedi t'áadoo nabik'ítsídaałkeesí, 
42:21:015:0	háálá saad índa bee hódzáanii nihaa dadideesh'ááł, éí nihits'ą́ą́jí danilíinii t'áá ałtso doo yídaneel'ą́ą da doo, índa yich'į' doo hadaodziih ádaat'ée da doo. 
42:21:016:0	Nihishchíinii áádóó bił hadashoojée'ii áádóó danihik'éí índa danihik'isóó nidi ninádanihididoo'ááł, áko nihí ła' nidanihidoołtsił; 
42:21:017:0	shízhi' biniinaa diné t'áá ałtso nihik'ee dadiniih dooleeł. 
42:21:018:0	Ákondi nihitsiits'iin bąąhdóó nihitsii' t'ááłá'í nidi doo yóó'adoodił da. 
42:21:004:1	Jerúsalem ádooldįįłígíí t'áá bítséedi baa hane'
42:21:019:0	Hada'íínółnínígíí binahjį' dadoohdzih. 
