42:5:001:1	Łóó' t'óó ahayóí haadlo'
42:5:001:0	Ákódahoodzaago Genésaret be'ek'id bąąhgóó dzizį́įgo, diné yíl'áhígíí Diyin God bizaad deididoots'į́į́ł biniyé hach'į' ałk'i naakai. 
42:5:002:0	Nít'éé' be'ek'id bąąhgi tsinaa'eeł naaki sinilgo jiiłtsą́, nidi łóó' hadayiileehí tsinaa'eeł yiyi'dę́ę́' haakaigo biłóó' bee hadahaltsósí dayiigis lá. 
42:5:003:0	Áko Sáíman bitsinaa'eeł biih jííyáago, Tábąąhdóó t'áá áháníjį' ni'níł'eeł, bizhdííniid. Áko tsinaa'eeł biyi'dóó dasneezdáago diné áłah silį́'ígíí nazneeztą́ą́'. 
42:5:004:0	Áádóó ałtso niyázhníłti'go Sáíman ábizhdííniid, Tó ditą́ąjį' ni'níł'eeł, áádóó nihiłóó' bee hadahaltsósí bee hadadi'yoołtsos biniyé taah daałtsóós. 
42:5:005:0	Áko Sáíman áháłní, Na'nitiní, tł'éé' bíighah dayíníilníísh, ákondi t'áadoo ła' shódeisiilt'e' da! Nidi nizaad k'ehgo k'ad łóó' bee hahaltsósí taah deestsos. 
42:5:006:0	Ákódadziidzaago, łóó' t'óó ahayóí biyada'dziiłtsooz, áádóó hałóó' bee hahaltsósí hats'ą́ą́' dahadlaadgo, 
42:5:007:0	náánáła' tsinaa'eeł biyi'di diné bił ałch'odajó'nínígíí háká adoojah biniyé ách'į' bídazh'deezhgish. Áádę́ę́' haa da'as'éelgo tsinaa'eeł t'áá áłah łóó' bii' hadazhdééłbįįdgo bąą tsinaa'eeł hats'ą́ą́' táłtł'ááh nidééh. 
42:5:008:0	Sáíman Peter éí yiyiiłtsą́ągo Jesus yiyaajį' nitsidinígo'go kójíní, Bóhólníihii nílíinii, shits'ánínááh, háálá bąąhági ááníiłii nishłį́. 
42:5:009:0	Háálá łóó' t'óó ahayóí hadadzistsoozígíí bąą hoł naakaígíí bił t'óó hoł adahayóí; 
42:5:010:0	James índa John éí Zébedii biye'ké nilį́įgo, Sáíman yił ałch'odaa'níhígíí ałdó' ákódaadzaa. Áádóó Jesus éí Sáíman áyidííniid, T'áadoo bik'ee nił yé'í; kodóó náásgóó diné niłnée doo. 
42:5:002:1	Jesus éí diné ła' łóód ats'íís yiyáanii naałdzidii bee bąąh dah haz'ą́ągo néidiisá
