42:11:001:1	Jesus sodizin yína'niłtin
42:11:001:0	Ákódzaago łahgo haz'ą́ą́ léi'gi Jesus sozdilzin, nít'éé' áá hodzoost'įįdgo hóhooł'aahii ła' áhodííniid, Bóhólníihii, sodadiilzin dooleełígíí bínanihiníłtin, t'áá John bídahooł'aahii sodizin yíneineestą́'ígi át'éego. 
42:11:002:0	Áko ábizhdííniid, Sodadołzingo kódadohní:NihiTaa' [yá'ąąshdi honílóonii], nízhi' diyingo óolzin le'.Bee nóhólníihii náásgóó k'ee'ąą yilzhish le'.[Bee íinínízinii t'áá yá'ąąshdi ááníłígi át'éego nahasdzáán bikáa'gi ááníił le'.] 
42:11:003:0	Ch'iyáán t'áá ákwíí jį́ niha'iyíłtsódígíí t'áá ákwíí jį́ nihaa hidí'aah. 
42:11:004:0	Áádóó nich'į' nida'ayiilzíhígíí nihá yóó'anáhidí'aah,háálá t'áá nihí nihich'į' bąąhági ádaaníiłii t'áá ałtso bá yóó'anídahidiit'aah,áádóó nihí hodínóotahjį' nihi'óółnííh lágo,[nidi bąąhági át'éii bits'ą́ąjį' yisdánihiyínííł]. 
42:11:005:0	Áádóó ábizhdííniid, Háishą' nihí ła' nihik'is hólǫ́ǫgo tł'é'ííłníi'go baa nooyáago ábididoohniił, Shik'is, bááh táa'go sha'nínííł, 
42:11:006:0	háálá shik'is ła' nízaadę́ę́' yigáałgo shaa níyá, áko t'áadoo biyaa nooshkáłí da? 
42:11:007:0	Nít'éé' wóne'dę́ę́' haadzíi'go ádidooniił, T'áadoo shaa nánít'íní; t'áá íídą́ą́' dádi'níłkaal, áádóó sha'áłchíní bił da'ashhosh; doo nídoosh'néehgo na'óstsóód át'ée da. 
42:11:008:0	Ánihidishní, Azhą́ hak'is nilį́į nidi doo nízhdidoo'nahgo baz'doołtsoł da, nidi doo diiłheełgóó adókeedígíí biniinaa nízhdidoo'nah, áko t'áá yinízinígi ánéelt'e'go baz'doołtsoł. 
42:11:009:0	Áádóó ánihidishní, Da'íínóhkeed, áko deínóhkeedígíí nihaa dadoolyééł; hádaaht'į́, áko hádaaht'ínígíí bik'ídadoohkah; dáádílkał nídanołts'in, áko nihá ąą ádadoolnííł. 
42:11:010:0	Háálá t'ááłá'í jinítínígo dajókeedii éí haa dahalyé, hádajit'ínígíí bik'ídajiikááh, índa dáádílkał nídazniłts'inígíí há ąą ádaalne'. 
42:11:011:0	Háishą' nihitahdóó azhé'é nilíinii ła' biye' éí [łees'áán bíyííkeedgo, da' tséésh yeidoo'ááł, doodaii'] łóó' bíyííkeedígíísh tł'iishda yeidoołtééł, 
42:11:012:0	doodaii' naa'ahóóhai biyęęzhii bíyííkeedgo, da' séígo'ísh yéídoołtééł? 
42:11:002:1	Jesus áádóó Béíyalzííbab
42:11:013:0	Áko nihí doo yá'ádanoht'ée da nidi, aa doolyéełii yá'ádaat'éehii nihada'áłchíní baa dadoohłéełgo nihił béédahózin, éí bilááh át'éego nihiTaa' yá'ąąshdi hólóonii Níłch'i Diyinii bídayókeedii yeidiyii'aah. 
42:11:014:0	Łah níłch'i doo yájíłti'góó áhoolaii hayi'dóó hainííłchą́ą́', áko níłch'i bi'iiníziinii hanoolchą́ą'go doo yájíłti'ígíí yájíłti' nídzísdlį́į́', áko diné yíl'áhígíí t'óó bił adahóóyóí. 
42:11:015:0	Nidi ła' ádadííniid, Níłch'i bida'iiníziinii binanit'a'í Béíyalzííbab yolyéii bee níłch'i bida'iiníziinii ayi'dę́ę́' hahizhniłkaad lá, 
42:11:016:0	nidi náádaała', hákada'iiłhilgo nidahódééłkidgo ádaaní, Yá'ąąshdę́ę́' bee ééhózinii ła' dadíníil'įįł. 
42:11:017:0	Nidi yaa nitsídaakeesígíí hoł bééhózingo ábizhdííniid, Ła' hooghandóó danilíinii t'áá bí ałk'i néijahgo éí t'áá ádzaaí neheleeh, áádóó łahgo dah oonééł t'áá bí ałk'i néijahgo t'óó ałts'á'áldah doo. 
