42:22:001:1	Jesus diyoolyéełgo binahast'ą́
42:22:001:0	Áko díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh k'adę́ę baa hoolzhíísh, éí atis'adeesdzá bee bééhániihii yolyé. 
42:22:002:0	Áko aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii haash yit'éego Jesus deidiyoołhéłígíí ch'ééh yíkadadilts'i', háálá diné yéédaaldzid. 
42:22:003:0	Nít'éé' Júdas éí Iskáriyat joolyéhígíí Séítan hwiih yíyá, éí naakits'áadahígíí ła' jílį́, 
42:22:004:0	áko éí dashdiiyáago aláahgo nááda'iiłniihii índa bisiláo bindanit'a'í baa hodizhdoo'ááł biniyé bich'į' hadzoodzíí'. 
42:22:005:0	Áádóó bił dahóózhǫǫdgo béeso haa deidooniłgo há dahodeez'ą́. 
42:22:002:1	Jesus éí atis'adeesdzá bee bééhániihii hódahooł'aahii bił dazhdooyį́į́ł
42:22:006:0	Áko bee lą́ adzisłį́į'go diné yíl'áhígíí doo binááłgóó baa hozhdidoo'áałgo ha'át'éegoda há ashja doolíłígíí baa nitsídzízkééz. 
42:22:007:0	Áko díík'ǫsh t'áágééd bááh ályaii hodílzingo áłah ná'ádleeh bijį́ atis'adeesdzá bee bééhániihgo dibé yázhí nááhániihii baa hoolzhiizh. 
42:22:008:0	Áko Jesus éí Peter índa John ayííł'a'go ííłní, Nihílááh, atis'adeesdzá bee bééhániihgo yidánígíí dadiidį́į́ł biniyé hasht'edoohłííł. 
42:22:009:0	Áádóó ábizhdííniid, Háadishą' hasht'ezhdoolííł nihííní'ní? 
42:22:010:0	Áko áháłní, Jó, kin haal'áá góne' oo'áazhgo, áadi diné ła' bidaa'í yee tó yoo'áałgo nihidááh doogááł; éí kin góne'é yah ííyáago bikéé' yah adooh'ash. 
42:22:011:0	Ákwe'é kin bee bóhólníihii ábididoohniił, Na'nitiní nilíinii áníłní, Diné nidahakáahgo bá nahaz'ánígíí daats'í łahgo t'áá shá haz'ą́? Ákwe'é shí áádóó shídahooł'aahii atis'adeesdzá bee bééhániihgo yidánígíí bił dadeeshį́į́ł. 
42:22:012:0	Áko kin ná'ádeídi hótsaago hasht'ehoolyaago nihich'į' íidoolííł, ákóne'é hasht'edidooh'nííł. 
42:22:003:1	Bóhólníihii Bidiyingo Adą́ áyiilaa
42:22:013:0	Áko dashdii'áázh, nít'éé' t'áá aaníí t'áá áhodííniidígi át'éego bik'ízhní'áázh, áko atis'adeesdzá bee bééhániihgo dadoodį́łígíí t'áá áłdįįłt'éego ájiilaa. 
42:22:014:0	Áádóó áajį' ahoolzhiizhgo daal'aadii bił bikáá' adání bich'į' dasdineezbin. 
42:22:015:0	Áko Jesus áhodííniid, T'ah doo atíshi'dilnééhdą́ą́' díí atis'adeesdzá bee bééhániihgo yidánígíí t'áá íiyisí nihił dadeeshį́į́ł nisin, 
42:22:016:0	háálá ánihidishní, Éí doo náádeeshdį́įł da, Diyin God bee bóhólníihgo bił haz'áanii bii'di ałtso bohoolyaago índa. 
42:22:017:0	Áko doodlį́įłii néidiiką́ągo sodoolzingo yaa ahééh niizį́į'go ádííniid, Díí nídadoohkaah áádóó ałtah dohkaahgo daahdlą́, 
42:22:018:0	háálá ánihidishní, Kodóó ch'il na'atł'o'ii bitoo' doo ła' náádeeshdlį́įł da, Diyin God bee bóhólníihgo bił haz'áanii baa hoolzhiizhgo índa. 
42:22:019:0	Áádóó bááh néidii'ą́, áádóó sodoolzingo yaa ahééh niizį́į'go niyiizti'go hatainiihgo ání, Díí shits'íís [nihá ninádiní'ánígíí át'é. Nídaahdį́įhgo bee shéédaałniih dooleeł. 
42:22:020:0	T'áá ákót'éego da'jííyą́ą́'dóó bik'ijį' doodlį́įłii ałdó' néidiiką́ągo ádííniid, Díí doodlį́įłii shidił bee aha'deet'áanii ániidíii át'é, éí nihá deezna'ígíí át'é.] 
42:22:021:0	Jó'akon, nináshidee'aahígíí k'ad kwe'é shił hólǫ́ǫgo bikáá' adání yik'i dah déesnii'. 
42:22:022:0	Háálá Diné Silį́į'ii t'áá bá ha'oodzí'ígi át'éego dah diighááh, nidi diné nináhodiní'ánígíí éí doo hojooba' ájíníi da! 
42:22:004:1	Aláahgo é'ét'é dooleełgi baa saad hólǫ́
42:22:023:0	Áko nida'ahízhdílkidgo áda'ahizhdi'ní, Nihí háidashą' ákódii'nííł? 
42:22:024:0	Áádóó ałghadazh'dit'áahgo baa nízhdiikaigo áda'ahizhdi'ní, Nihí háidashą' aláahdi ániit'éego baa nitsáhákees? 
42:22:025:0	Áko Jesus áhodííniid, Aláahgo naat'áanii danilíinii ał'ąą dine'é yindant'áii éí ayóogo ádídahólníihgo yindant'áa łeh, áádóó ákwe'é bídahólníihii éí yá'át'éehgo ádaaníiłii dabidi'níi łeh. 
42:22:026:0	Nidi nihí doo ákódanoht'ée da; nihitahgóó aláahgo ayóó át'éhígíí bíni'dii éí akéédę́ę́' naagháhígíí nahalin dooleeł, áádóó naat'áanii nilíinii bíni'dii naal'a'í nahalin dooleeł. 
42:22:027:0	Jó, háájígoshą' aláahgo át'é, biyaa ni'iikaahígíí daats'í, éí doodago naal'a'í nilį́įgo ayaa ni'iikaahígíí daats'í? Da' doósh biyaa ni'iikaahígíí da? Nidi shí t'éí naal'a'ígi át'éego nihitahgi naashá. 
42:22:028:0	Nidi nihí t'éiyá nashíhodi'ntaahgi t'áá áłahjį' shił dahólóonii danohłį́, 
42:22:029:0	áko t'áá shiTaa' éí bee shóhólníihgo bił haz'áanii sheidiní'ánígi át'éego shí ałdó' 
42:22:005:1	Peter éí Jesus doo bééhasin da bidizhdooniiłígíí t'áá bítséedi baa hane'
42:22:030:0	bee shóhólníihgo bił haz'ą́ągi shits'ą́ą́' da'doohsį́į́ł áádóó da'doohdlį́į́ł, índa bikáá'dóó nidahat'áii bikáá' dah nisoodáago Ízrel naakits'áadahgo dine'é bindanoht'áa doogo nihaa dinish'aah.  
42:22:031:0	Áko Bóhólníihii ádííniid, Sáíman, Sáíman, jó'akon, tł'oh naadą́ą́' bigházhníłdééh nahalinígi át'éego ándoolííł biniyé Séítan nííkeed. 
42:22:032:0	Nidi ná sodeeszin, áko ne'oodlą' bee aa dzódlí doo bígééd dííleeł da, áko adíísihígíí bits'ą́ąjį' dah nídinidzáago, nik'isóó dabidziilgo áńdadíídlííł. 
42:22:033:0	Áko ábizhdííniid, Bóhólníihii, nił awáalyaaí deeshłeełgi, doodaii' t'áá nił shidi'yoolyéełgi nidi bich'į' niná'ádinisht'ą́ągo shił t'áá áko. 
