51:4:001:1	Bee nida'nitinii
51:4:001:0	Naat'áanii danohłíinii , nihinaalte' t'áá ákogi át'éego índa t'áá aheełt'éego yá'át'éhígi ádaał'į́ , háálá yá'ąąshdi nihí ałdó' nihiBóhólníihii hólǫ́ǫgo nihił béédahózin .
51:4:002:0	T'áadoo diniitłóhí sodadołzin , áádóó Diyin God bich'į' ahééh danohsingo sodizin bee hada'ísídół'į́į́' .
51:4:003:0	Áádóó nihí ałdó' nihá sodadołzin , hane' yá'át'éehii baa dahwiilne' dooígíí nihá ashja'ósingo nihá íidoolííł biniyé , áko Christ bína'niltin doo bééhózin da yę́ę baa nahwiilne' dooleeł . Éí baa nahashne'go biniinaa awáalyaaí nishłį́ .
51:4:004:0	Áko t'áá bee hahideesdzih dooleeł nít'é'ígi át'éego Christ baa hane' ííshjání ádeeshłíłígíí bíká sodadołzin .
51:4:005:0	Doo da'oodlání binááł dahonohsą́ągo dahinohnáago Christ bá ádaaht'į́įgo nihá ashja'ósinígíí ts'ídá hazhó'ó chodaoł'į́ .
51:4:002:1	K'é ha'níigo bee naaltsoos niilt'i'ii
51:4:006:0	T'áá áłahjį' ajooba' saad éí áshįįh halnihígi át'éego bee yádaałti' , ákódaaht'į́įgo diné t'ááłá'í nítínígo bich'į' t'ą́ą́' háá'doodzihgi nihił béédahózin doo .
51:4:007:0	Tíkikas , éí Bóhólníihii binahjį' nihik'is ayóó'óó'níinii áádóó naal'a'í ba'ahódlíii índa shił naal'a'í jílíinii éí shił áhoot'éhígíí t'áá ałtso bee nihił hodoolnih .
51:4:008:0	Éí kodi nihił áhoot'éhígíí nihił béédahodoozįįł biniyé , áádóó nihijéí hada'ólníigo ánihizhdoolííl ałdó' biniyé nihich'į' ahóół'a' .
51:4:009:0	Áádóó Onésimas bił ahóół'a' , éí ba'ólíigo ayóó'óó'níigo nihik'is nilíinii , t'áá aadę́ę́' nihitahdę́ę'go nijighá . Éí t'áá ájíłah kodi ádahoot'éii t'áá ałtso bee nihił hozhdoolnih .
51:4:010:0	Aristárkas , bił awáalyaaí nishłíinii k'é nihiłní . Mark , Bárnabas bił naa'aash nilíinii , ałdó' k'é nihiłní . ( Mark nihaa níyáá ládą́ą́' k'é dabididoohniił , t'áá íídą́ą́' bee nihił hweeshne' yę́ęgi át'éego . )
51:4:011:0	Áádóó Jáshowa , Jústas wolyéhígíí , ałdó' k'é nihiłní . Bąąh nídahineeshgizhii bitahdóó díí diné t'éiyá Diyin God bee bóhólníihgo bił haz'áanii yá nidaalnishgo shił nidaalnishii danilį́ , áádóó bee shił náhoojǫǫłii danilį́ .
51:4:012:0	Épafras t'éí aadę́ę́' nihitahdę́ę'go diné nilį́įgo Christ Jesus yá naal'a'í nilíinii k'é nihiłní . Éí oodlą́ yee nininísáanii danohłį́į doo biniyé , índa t'áadoo anáhóót'i'í Diyin God íinízinii t'áá yíní át'éegi nihił béédahózin doo biniyé t'áá áłahjį' nihénálniihgo t'áá íináwołí bee nihá sodilzin .
51:4:013:0	Háálá t'áá ánółtso nihí áádóó Leiyodisíyadi índa Haiyerápolisdi kéédahoht'íinii t'áá íiyisí nihízhneedlį́įgo shił bééhózingo nihił hashne' .
51:4:014:0	Luke azee' ííł'íní ayóó'óó'níinii índa Díímas ałdó' k'é nihiłní .
51:4:015:0	Leiyodisíyadi nihik'isóó danilíinii , áádóó Nímfas índa éí bighan góne' da'oodlání áłah nádleehii nihá k'é dabididoohniił .
51:4:016:0	Díí naaltsoos nihich'į' yéélta'go índa , Leiyodisíyadi da'oodlání áłah nádleehii ałdó' bich'į' dayízhdóołtah . Leiyodisíyagóó naaltsoos íishłaaígíí ałdó' ts'ídá dayídóołtah .
51:4:017:0	Áádóó Arkípas éí , Bóhólníihii bá nanil'a'go naa deet'áanii ts'ídá ałtso bi'díílíiłgi baa áhólyą́ , dabididoohniił .
51:4:018:0	Shí Paul , díí k'é dishníigo bee ak'e'ashchíhígíí éí t'áá shíla' bee áshłééh . Awáalyaaí nishłį́įgo shéédaałniih . Diyin God bibee ajooba' nihił hólǫ́ǫ doo . T'áá ákót'ée doo .
