51:3:001:0	Christ bił náádanihi'diiljée'go , Diyin God binish'náájí Christ dah sidáadi dahólóonii hádaaht'į́ .
51:3:002:0	Yá'ąąshdi dahólóonii t'áá íiyisí haleebee baa nitsídaahkees , nahasdzáán bikáa'gi dahólóonii éí dooda .
51:3:003:0	Háálá nihokáá' bił nidahazt'i'ii bits'ąą dasinoonáago k'ad Christ bił Diyin God bii' nídanihidi'dees'į́į́' .
51:3:001:1	Átséédą́ą́' ájít'éé nít'ée'ii áádóó iiná ániidíii bee ájít'éii
51:3:004:0	Christ nihe'iina' nilíinii yit'íní í'diilyaago , nihí ałdó' bee bits'ádi'nílíidii bił ałts'ą́ą́' da'nołk'iizgo danihidi'dooltsééł .
51:3:005:0	Éí bąą nihokáá' baa da'íldéehii nihiyi' dahólóonii yóó'adahidoh'aah ; éí na'ageh bee tsi'oodááł , baa'ihgo nitsáhákees , ałdáhonooní , nichǫ́'ógo laanaa hwiindzin , índa adáhonooní ádaat'éii . Jó , adáhonooní éí e'elyaii bich'į' nahadláii t'áá bił aheełt'é .
51:3:006:0	Díí biniinaa Diyin God t'óó báhádzidgo bibee até'él'íinii éí diné doo ak'eh dahół'íinii bik'i dahoyiileeh .
51:3:007:0	Nihí ałdó' łah doo da'oodlání bitahgóó ákódanoht'éego dayínóhkááh nít'éé' .
51:3:008:0	Nidi áháchį' , hashké hwiindzin , áká naat'á , t'áá ádzaagóó aa hane' , índa baa'ihgo yáti' , díí t'áá ałtso k'ad yóó'adahidoh'aah .
51:3:009:0	Wooch'ííd t'áadoo ałk'ijį' nisooł'ání , háálá átséédą́ą́' ádanoht'é yę́ę índa éí bee ádaot'įįdii bii' hahisoohkai ,
51:3:010:0	áko iiná ániidíii biih dahisoohkai . Diyin God ánihijiilaii , éí nihił éédahózingo ádanihijiléehgo t'áá hwééniilt'éego ániidíii ánánihijidlééh .
51:3:011:0	Ákódajít'éii éí Gríik dine'é nilíinii índa Jew dine'é nilíinii doo bił ał'ąą ájít'ée da , áádóó bąąh náhineeshgizhii índa doo bąąh náhineeshgizhii , áádóó náánáłahdę́ę́' dine'é índa Síthiyan dine'é nilíinii , áádóó naalte' índa doo naalte' nilíinii ałdó' doo bił ał'ąą ájít'ée da , nidi Christ t'éí bóhólnííh , áádóó diné t'áá ałtso bá hojílǫ́ .
51:3:012:0	Éí bąą Diyin God atah nihiizláa'ii , dadinohyin índa Diyin God ayóó'ánihó'níinii danohłį́ . Éí bąą ałhaa a'ááh danohsin , ałhaa dajiinohba' , ádaa dahojiinołbá'ígo nitsídaahkees , a'ohgo áda'díínółzin , índa ałch'į' nízaadgóó hada'íínółní .
51:3:013:0	Ałch'į' hada'íínółní , ła'da bich'į' saad dahosoołį́į'go bił k'é nída'ahididooh'niił ; doo ákwii ádaoht'įįdii Christ nihá yóó'iidii'aahígi át'éego doo ákwii áda'ahoł'į́į́ nít'ée'ii ahá yóó'adahidoh'aah .
51:3:014:0	Áádóó díí t'áá ałtso bighą́ąhjį' ayóó'áda'ahíínóhní , háálá éí t'áá ałtsoní hadaałt'éego ahíyółtą' .
51:3:015:0	Áádóó Diyin God bits'ą́ą́dę́ę́' bee ach'į' hózhǫ́ náhásdlį́į'ii bíni' nihijéí bii' bóhólníih le' , jó , t'áá ła' bizhi'ee danohłį́į doo biniyé nihíká ádahodoo'niid . Índa ahééh danohsin le' .
51:3:016:0	Haa'íyee' Christ bizaad lą'ígo bee ákidaahdláa le' , bee hódzáanii t'áá ałtso bee ahidiníłnáago nida'ahinohtin , índa chánah áda'ahíínółzin , áádóó Diyin God bizaad biyi'dóó sin , áádóó sin bee Diyin God baa ha'niihii , índa ajooba' nihijéí bii' hólǫ́ǫgo Níłch'i Diyinii k'ehgo sin bee Bóhólníihii bich'į' dahohtaał .
51:3:002:1	Da'oodlání ałch'į' ádaat'éii dooleełgi
51:3:017:0	Jesus bee Diyin God aTaa' nilíinii bich'į' ahééh danohsingo t'áá ałtsoní baa yádaałti'ígíí áádóó baa nidaahkaígíí éí Bóhólníihii Jesus bízhi' bee baa nidaahkai .
51:3:018:0	E'asdzą́ą́ danohłíinii , nihadahastiin bídahwíínółníihgo áda'díínółzin , háálá Bóhólníihii bíi'ii ákódaat'į́įgo beełt'é .
51:3:019:0	Ahastiin danohłíinii , nihida'asdzą́ą́ ayóó'ádeínóh'ní ; t'áadoo bich'į' doo danohts'ídí .
51:3:020:0	Áłchíní danohłíinii , danihishchíinii t'áá ałtsojį' bik'eh dahonoł'į́ , háálá éí Bóhólníihii yaa bił hózhǫ́ .
51:3:021:0	Azhé'é danohłíinii , niha'áłchíní t'áadoo bída'ohts'ihí , háálá bída'ohts'ihgo bąąh nidahoyołkaad .
51:3:022:0	Naalte' danohłíinii , nihokáa'gi nihinanit'a'í t'áá ałtsojį' bik'eh dahonoł'į́ . T'óó bináałgo bił hóshǫ́ t'éiyá biniyé ádaaht'į́įgo éí dooda , nidi nihijéí tł'ááhdę́ę́' Bóhólníihii dadíínóhsingo nihinanit'a'í bik'eh dahonoł'į́ .
51:3:023:0	Bóhólníihii bá ádaaht'į́įgo t'áá ha'át'íhída baa nidaahkaigo haleebee bindaałnish ; doo diné t'éí bá ádaaht'į́į da .
51:3:024:0	Bóhólníihii nihá bee hólóonii nihaidooléełgo nihił béédahózin . Bóhólníihii Christ bá nidaał'a' .
51:3:025:0	Doo ákǫ́ǫ́ ájooníiłii éí doo ákǫ́ǫ́ ájíít'įįdii bąą atíhodi'doolnííł , háálá Diyin God éí t'áá aheełt'éego diné yeinít'į́ .
