45:7:001:1	Asdzání áádóó diné ahaa yít'áazhii binahjį' ak'idi'dootį́įłii
45:7:001:0	Jó, bee haz'áanii nihił béédahózin, shik'isóó, áko diné nizh'níłdįįdjį' bee haz'áanii hwee ádíhólníih dooleełígíísh doo bik'ida'doohtįįh da? 
45:7:002:0	Asdzání hahastiin hólóonii hahastiin hináago bee haz'áanii yee hótą', nidi hahastiin hats'ą́ą́' daaztsą́ągo bee haz'áanii bits'ą́ąjį' hwéédíchi'. 
45:7:003:0	Hahastiin t'ah hináago náánáła' diné bił ahaa náájít'ashgo adiléii bee ho'dójíi doo. Nidi hahastiin hats'ą́ą́' daaztsą́ągo éí bee haz'áanii bits'ą́ąjį' hwéédoochid doo, áko azhą́ náánáła' diné bił ahaa náájít'ash nidi doo adiléii jílį́į da. 
45:7:004:0	T'áá ákót'éego shik'isóó, Christ bits'íís bił dasinoonáago bee haz'áanii Mózes baa deet'áanii bits'ąą dasinooná, áko Christ bíí' dasoolį́į́'. Jó, Diyin God bá chodeiit'į́įgo dahinii'náa doo biniyé Christ daaztsą́ą́dę́ę́' náábi'diilzá. 
45:7:005:0	Háálá ts'ísee k'ehgo dahinii'ná yę́ędą́ą́', bee haz'áanii ch'ééh dooda nihiłníigo bąąhági át'éego adáhonooní t'éí bídaniidlį́į́ nít'éé'. Éí nihiyi' naalnishgo t'óó nanihiłtseed. 
45:7:002:1	Bąąhági át'éii ayi'di hólóonii
45:7:006:0	Nidi k'ad bee haz'áanii bits'ą́ąjį' nihéédahideeshchidgo binaalte' daniidlį́į́ nít'éé' yę́ę bich'į' danee'ná. Áko ałk'idą́ą́' bee haz'áanii bee bik'e'ashchínígíí doo bik'ehgo Diyin God bá chodeiit'į́į da, nidi Níłch'i Diyinii bee iiná ániidíii bee bá chodeiit'į́. 
45:7:007:0	Ákoshą' ha'át'íí dadidii'niił? Da' bee haz'áaniísh bąąhági át'éii át'é? Ts'ídá dooda lą́ą! Nidi bee haz'áanii ádingo bąąhági át'éii doo shił bééhózin da doo nít'éé'. Bee haz'áanii, Doo adázhnoolníi da, doo dííniidgóó adáneeshníigo Diyin God bich'į' ádił ni'iiszíhígíí doo shił bééhózin da doo nít'éé'. 
45:7:008:0	Bee haz'áanii ánínígíí baa ákoniizį́į'go bąąhági át'éii bee adáhonooní haa shį́į́ néelą́ą́' shii' héełgo áyiilaa. Háálá bee haz'áanii doo shił bééhózindą́ą́' doo bąąhági ásht'į́į da nisin nít'éé'. 
45:7:009:0	Bee haz'áanii ánínígíí łah doo baa ákonisingóó hinishná nisin nít'éé', nidi bee haz'áanii baa ákoniizį́į'go bąąhági ánísht'éhígíí ałdó' baa ákoniizį́į́', áko t'óó bik'ee dasétsą́. 
45:7:010:0	Bee haz'áanii iiná yee nihodoo'ááł yę́ę, jó, aninéda yee shohodiiłt'i'. 
45:7:011:0	Bee haz'áanii bee bąąhági át'éii bá hashja ná'iish'įįhgo shi'deezlo', áádóó shiisxį́. 
45:7:012:0	Jó, bee haz'áanii dílzinii át'é, áádóó bik'eh ó'oo'níiłii ałdó' dílzinii ádaat'é, éí ts'ídá t'áá ákogi át'é áádóó yá'át'éehii át'é. 
45:7:013:0	Áko daats'í yá'át'ééh nilíinii bik'ee dasétsą́? Ts'ídá dooda lą́ą! Nidi bąąhági át'éii éí t'óó yá'át'ééh nahalin nidi, nashiił'náago bik'ee dasétsą́. Bee haz'áanii éí bąąhági át'éii ó'ooł'įįłígíí t'áadoo bahat'aadí íidoolííł biniyé eidiní'ą́, áko éí binahjį' bąąhági át'éii ts'ídá doo bóhonee'ą́ą da silį́į́'. 
45:7:014:0	Háálá bee haz'áanii éí diyin k'ehgo át'éego nihił béédahózin, nidi shí t'éí ts'ísee k'ehgo ánísht'é. Bąąhági át'éii bich'į' nashi'diiznii'. 
45:7:015:0	T'áá shí ááshníiłii doo bik'i'diishtįįh da. Háálá yá'át'éhígi ádeeshnííł nisinígíí éí doo ááshłíił da, nidi jooshłáhígíida ááshłííł. 
45:7:016:0	Áko doo bąąhági ásht'į́į da doo nisinii ádił iisihgo bee haz'áanii éí t'áá aaníí áníí lá nisin łeh. 
45:7:017:0	Áko doo t'áá shí ásht'į́į da lá, nidi bąąhági át'éii shii' hólónígíí áshíł'į́į́ lá. 
45:7:018:0	Yá'át'éehii shii' ádin nisin (ts'ísee k'ehgo ánísht'éhígíí ááhdishní). Háálá azhą́ yá'át'ééhjí ádeeshnííł nisin nidi yá'át'éhígi ádeeshníłígíí doo bíneesh'ą́ą da. 
45:7:019:0	Háálá yá'át'éhígi ádeeshnííł nisinii éí doo ááshłíił da, nidi doo ákǫ́ǫ́ ádaat'éii doo nisinii, jó, éída ááshłíił łeh. 
45:7:020:0	Nidi doo ákǫ́ǫ́ ádaat'éii doo nisinii ááshłíiłgo éí doo t'áá shí ááshníił da, nidi bąąhági át'éii shiyi'di hólónígíí áshíł'į́. 
45:7:021:0	Jó, kónísht'éego ádaa ákonisdzin, yá'át'éhígi ádeeshnííł niisįįh nidi bąąhági át'éii t'áá áłahjį' shidáahgi hólǫ́. 
45:7:022:0	Shijéí tł'áahdi Diyin God yee has'áanii t'áá íiyisí bąą shił hózhǫ́. 
45:7:023:0	Nidi náánáła' bee haz'áanii shits'íís bii' hólǫ́ǫgo shił bééhózin, éí bee haz'áanii shintsíkees yił ana'ahil'į́įgo ádił ni'iidzííh yee has'áanii shiyi' hólóonii yisnááh áshósin. 
45:7:024:0	Dooládó' lá diné hojooba' át'éii nishłį́į da! Hool'áágóó dadeestsaał biniyé bąąhági át'éego hinishnánígíí bits'ą́ąjį' háí lá yisdáshidoołtééł lá? 
45:7:025:0	Jó, éí Jesus Christ nihiBóhólníihii yisdáshidoołtéełgo Diyin God bich'į' baa ahééh nisin! Ákohgo t'áá shí ánísht'éego Diyin God yee has'áanii shíni' bee bi'íínísin; jó, ts'ísee k'ehgo bąąhági át'éii yee has'áaniida bi'íínísin.
