45:6:001:1	Bąąhági át'éii bits'ąą dadziztsą́ą nidi Christ bee dajiiná
45:6:001:0	Ákoshą' ha'át'íí dadidii'niił? Da' Diyin God bibee ajooba' k'ee'ąą áániił dooleełísh biniyé bíni'dii bąąhági át'éii baa yiikah doo? 
45:6:002:0	Ts'ídá dooda lą́ą! Bąąhági át'éii bits'ąą danee'náago haash yit'éego t'ahdii t'áá éí bii' dahinii'náa doo? 
45:6:003:0	Da' doósh nihił béédahózin da, t'áá áníiltso Christ Jesus bee danihi'doolzį́'ígíí éí dadziztsánígíí bee danihi'doolzį́į́'? 
45:6:004:0	Áko dadziztsánígíí bee danihi'doolzį́'ígíí bee hoł łá'í dasiidlį́į'go hoł yóó'ádanihi'diilyaa, áko aTaa' yee ayóó át'éii bee Christ daaztsą́ą́dę́ę́' néidiisá yę́ęgi át'éego nihí ałdó' iiná ániidíii bee dayíníikáah doo.  
45:6:005:0	Háálá Christ daaztsánígi át'éego bił danee'náago bee bił łá'í dasiidlį́į'go, t'áá ákót'éego ałdó' dadziztsą́ą́dę́ę́' náázdiidzáhígi át'éego nihí ałdó' náádiijé'ígíí bee t'áá aaníí hoł łá'í daniidlį́į doo. 
45:6:006:0	Ałk'idą́ą́' ádaniit'éé nít'éé' yę́ę t'áá bił tsin ałnáoszid bąąhjį' hoł o'oolkaalgo nihił béédahózin, bąąhági át'éii nihits'íís yee bik'eh hólóonii ádooldįįł biniyé, áko bąąhági át'éii doo t'áá binaalte' daniidlį́į da doo. 
45:6:007:0	Háálá dadziztsą́ągo éí bąąhági át'éii bits'ą́ąjį' hwéédoochid yileeh. 
45:6:008:0	Nidi Christ bił danee'náago bił dahinii'náa dooleełgo ałdó' deiniidlą́. 
45:6:009:0	Háálá Christ daaztsą́ą́dę́ę́' náábi'diilzáago ts'ídá doo danáádootsaał dago nihił béédahózin, áko aniné éí náásgóó doo hwee ádínááhólníih da. 
45:6:010:0	Háálá ts'ídá t'ááłáhídi dadziztsánígíí bee bąąhági át'éii bik'eh jideesdlį́į́', áádóó dadziztsą́ą́dę́ę́' náázdiidzáago k'ad Diyin God bá jiiná. 
45:6:011:0	T'áá ákót'éego nihí ałdó' bąąhági át'éii bits'ąą dasinoonáago, Jesus Christ nihiBóhólníihii bee Diyin God bá dahinohnáago bee ádaa nitsídaahkees. 
45:6:012:0	Áko nihits'íís dadínóonéełii bąąhági át'éii t'áadoo yee ádíhólníihgo ádeínóhsiní, adáhonooní t'áadoo bida'íínóhsiní. 
45:6:013:0	Nihits'íís bee hadilyaii bee ádił ni'iidzííh biniyé doo ákwii áhát'į́ bee t'áadoo nihits'íís chodaoł'íní, nidi diné daneeznáádę́ę́' náádiijée'go iináajį' anáá'nilígíí danohłį́įgo Diyin God baa ádadiyoht'aah, áko nihits'íís ts'ídá t'áá ákwii áhát'į́ biniyé bíni'dii choyooł'į́. 
45:6:002:1	Ts'ídá t'áá ákogi é'ét'é binaalte'
45:6:014:0	Háálá bąąhági át'éii doo nihee ádínááhólníih da doo. Jó, bee haz'áanii Mózes baa deet'áanii doo biyaa soonil da, nidi Diyin God bibee ajooba' baa dadzíínóhłíigo dahinohná. 
45:6:015:0	Ákoshą' hait'é? Da' bee haz'áanii Mózes baa deet'áanii doo biyaa sii'nilgóó nidi Diyin God bibee ajooba' t'éí baa dadzííníidlíigoósh bąąhági ádeii'níił doo? Ts'ídá dooda lą́ą! 
45:6:016:0	Da' doósh nihił béédahózin da, naalte' ak'eh dahół'ínígi át'éego ła'da baa ádasidooht'ą́ągo t'áá éí binaalte' danohłį́įgo aniné yiih nihidoo'ish, nidi Diyin God bik'eh dahonoł'į́įgo binaalte' danohłį́įgo iiná ts'ídá t'áá ákogi át'éii yiih nihidoo'ish? 
45:6:017:0	Nidi Diyin God bich'į' ahééh hwiindzin, háálá nihí bąąhági át'éii binaalte' danohłį́ yę́ędą́ą́', na'nitin nihaiszįįdígíí nihijéí bee bik'eh dahonoł'į́ dasoolį́į́'. 
45:6:018:0	Áko bąąhági át'éii bits'ą́ąjį' nihéédadeeshchidgo ts'ídá t'áá ákogi át'éii binaalte' dasoolį́į́'. 
45:6:019:0	Bik'idadi'doohtį́łígíí nihá nantł'ago biniinaa t'áá bééhózínígo nihich'į' yáshti'. Łah naalte' nahalingo ha'át'íhída t'óó badaa'ihii áádóó doo ákǫ́ǫ́ ádaat'éii t'óó náás ó'oolíłígíí baa ádasidooht'ą́ą́ nít'éé'. K'ad t'áá ákót'éego diyingo dahinohnáa doo biniyé naalte' nahalingo ts'ídá t'áá ákogi át'éii baa ádadiyoht'aah. 
45:6:020:0	Bąąhági át'éii binaalte' danohłį́ yę́ędą́ą́' t'áá ákogi át'éego iiná doo nihídéét'i' da nít'éé'. 
45:6:021:0	Nidi baa yáhásinii baa nidasoohkaiishą' ha'át'íí bee nihaa daazdéél? Ákódaat'éii aniné t'éí bee nidahaazt'i'. 
45:6:022:0	Nidi k'ad bąąhági át'éii bits'ą́ąjį' nihéédadeeshchid áádóó Diyin God binaalte' dasoolį́į́', áko bidiníná nihee dahazlį́į'ii éí diyingo ádanihi'diilyaa, áádóó ałdó' doo nihonít'i'góó dahinohnáa doo. 
45:6:023:0	Háálá Diyin God bich'į' ádił ni'iidzííh éí aniné niyiilé, nidi Jesus Christ nihiBóhólníihii bee Diyin God éí iiná doo ninít'i'ii t'áá jíík'e nihainílá.
