7:20:001:1	Bénjamin dine'é bich'į' anaa' hazlį́į́'
7:20:001:0	Ákohgo Dan kin haal'áádóó Bíyer-shííba kin shijaa'jį' Ízrel dine'é t'áá ałtso nidahaaskaigo Gíliyad kéyah nahós'a'dę́ę́' ałdó' t'áá yił niheeskaigo éí Mízpeh kin haal'áagi t'áá ła' bizhi'ee Bóhólníihii yaa áłah silį́į́' .
7:20:002:0	Áko diné t'áá ałtso bits'ą́ą́dóó ayóogo bídahólníihii éí Ízrel dadine'é t'áá ałtso bits'ą́ą́dóó ádaat'į́įgo Diyin God bidine'é danilį́įgo t'áá bí t'ááłáhígi áłah nilį́į́ nít'éé' ; diltłish yee nidaabaahii dį́įdi neeznádiindi mííl .
7:20:003:0	( Nít'éé' Ízrel dine'é dajílíinii Mízpeh kin haal'áágóó adziiskaígíí Bénjamin dine'é haa dahodiizts'ą́ą́' . ) Áko Ízrel dine'é ádaaní , Haash yit'éego díí doo yá'áshónígi áhóót'įįdígíí hazhó'ó bee nihił dahodoołnih .
7:20:004:0	Áko Líívai dine'é be'asdzą́ą́ bąąh seesyíinii áhodííniid , Gíbiyah kin haal'áagi Bénjamin bikéyahgi níyáago ákwii she'asdzą́ą́ nish'íní bił shiiłkaah nít'éé' .
7:20:005:0	Áko t'áá éí bitł'éé' Gíbiyah dine'é shaatįįh yikai áádóó kin binaadę́ę́' shinázt'i'go shida'niiłhį́į́ nít'éé' . Áko she'asdzą́ą́ nish'íní yę́ę nídayi'iyííłnáadgo daaztsą́ .
7:20:006:0	Áko she'asdzą́ą́ nish'íní yę́ę nídiiłtį́įgo nihoyéłgizhgo Ízrel dine'é kéyah yii' kéédahat'į́į́góó ałtso ádahaashjaa' , háálá Ízrel dine'é bitahgi t'óó baa'ihígi ádahat'į́ índa doo hashkał baa na'asdee' .
7:20:007:0	Jó , t'áá ánóht'é Ízrel dine'é danohłį́ ; kót'é dashidohníinii áádóó kót'é ha'níinii , ch'ídadooh'ááł .
7:20:008:0	Áko diné t'áá ałtso t'áá ła' bizhi'ee nídiijée'go ádaaní , Nihí doo ła' níbaalgóó , doodaii' hooghangóó nídiidáał da .
7:20:009:0	Nidi Gíbiyah dine'é k'ad kódahodiilníił ni : yáá'iilt'e' bik'ehgo bich'į' hidiikah .
7:20:010:0	Áko Ízrel dine'é bitahgóó t'áá át'é diné neeznádiingo neeznájílt'éego bits'ádahodii'nił , áádóó t'ááł áhídi míilgo neeznádiingo bits'ádahodii'nił , índa neeznáadi mííl ázhnéelą́ą'go t'ááłáhídi mííl ázhnéelą́ą'go bits'ádahodii'niłgo bidookįįłii diné bá ákǫ́ǫ́ adajiijáahgo áká aníjíjah doo . Áko Bénjamin bikéyahgi Gíbiyah kin haal'áajį' joonéełgo Ízrel dine'é bitahgi doo hóshkał yaa naaskaii t'áá ałtso bik'ehgo k'éédazhdidoodlííł .
7:20:011:0	Ákohgo Ízrel dine'é t'áá ałtso kin haal'áhígíí yaatįįh nákah ; t'ááłá'í ídlínígi át'éego t'áá ła' bizhi'ee ákódaat'į́ .
7:20:012:0	Áko Ízrel dine'é danilíinii éí Bénjamin dine'é bitahgóó diné ła' adayiis'a'go ádaaní , Díísh ha'át'íí doo yá'ádaashóonii nihitahgi baa nida'aldeeh ?
7:20:013:0	Éí bąą k'ad Gíbiyah kin haal'áagi diné doo yá'ádaashóonii nihaa dadinoh'aahgo t'óó nidadiiltsxił índa Ízrel dine'é bits'ą́ąjį' doo yá'ádaat'éehii kódadiilnííł . Nidi Bénjamin dine'é éí Ízrel dine'é bik'isóó danilį́į nidi doo dayíists'ą́ą' da .
7:20:014:0	Áko Bénjamin dine'é danilíinii éí Gíbiyah kin haal'áajį' Ízrel dine'é yich'į' anaa' dahodoołeeł biniyé bikin hadaas'áádę́ę́' ch'ídahaazhjéé' .
7:20:015:0	Áko íídą́ą́' Bénjamin dine'é bikin hadaas' áádóó naadiin hastą́ądi mííl ánéelą́ą'go diltłish yee nidaabaahii nii'nil , áádóó ałdó' Gíbiyah kin haal'áagi kéédahat'ínígíí tsosts'idi neeznádiin óóltą'go diné nideiznil .
7:20:016:0	Diné t'áá át'é bitahdę́ę́' nishtł'ají yee da'ditł'į́hígíí tsosts'idi neeznádiingo t'áá łá'í nítínígo bee aditł'į́į́h bee tsiighá áníłtsááz bíighahgo nidi doo nideisį'ígíí nideiznil .
7:20:017:0	Áko Bénjamin dine'é danilíinii t'áágéedgo Ízrel dine'é t'éiyágo dį́įdi neeznádiindi mííl ánéelą́ą'go diltłish yee nidaabaahii nii'nil ; díí diné t'áá ałtso anada'a ł'íinii danilį́ .
7:20:018:0	Áko Ízrel dine'é dah diikaigo Béthel haz'ánígóó eekai , áádóó Diyin God nideídíłkidgo haash yit'éego dooleeł , deidííniid . Nihí háidíígíishą' átsé Bénjamin dine'é yich'į' anaa' ádahodoolííł ? Nít'éé' Bóhólníihii áhodííniid , Júdah dine'é átsé .
7:20:019:0	Ákohgo Ízrel dine'é t'ah abínídą́ą́' nídiijée'go , Gíbiyah dine'é yik'iidoojah biniyé niníná .
7:20:020:0	Áko Ízrel dine'é éí Bénjamin dine'é bich'į' anaa' biniyé dah náádii'ná áádóó Gíbiyah kin haal'áagi Ízrel dine'é hach'į' ałkéé' niná'ahi'niłgo hak'i néijah nít'éé' .
