7:2:001:1	Bóhólníihii bidiyingo naal'a'í éí Bókim haz'ánígi honíle'
7:2:001:0	Áko Bóhólníihii bidiyingo naal'a'í Gílgal haz'ánídóó Bókim haz'áníjį' honíle'go ádííniid , Ííjip kéyahdę́ę́' hanihíí'eezhgo danihizhé'é yę́ę kéyah baa diní'ą́ągo bich'į' bee ádee haasdzíi'ii biih nihíí'eezh . Shą́ą́' ádíshní , Shibee aha'deet'áanii doo t'áá k'ad nihits'ą́ą́' k'íníti' da .
7:2:002:0	Áádóó díí kéyahgi kéédahat'ínígíí t'áá ha'át'eegoda ts'ídá doo bił ahadadi'dooht'áał da ; bibikáá' náá'iiniihí naa adahidooł kał . Nidi nihich'į' bee haasdzíi'ii t'áadoo bik'eh dahosooł'įįd da . Ha'át'íísh biniinaa kódaohdzaa ?
7:2:003:0	Éí bąągo ádííniid , Doo nihits'ádínéeshkał da , nidi nihooshk'iizh góne' nihaa anída'ajiłígi át'éego hóyée'go nihich'į' nidahwiiłnáa doo , áádóó bidiyin dabidi'níinii łoh nihá nánídlį́įgo bizahohkáah doo .
7:2:004:0	Ákódzaago Bóhólníihii bidiyingo naal'a'í éí Ízrel dine'é yich'į' díí saad yee hahaasdzíí' , áko diné chánahgo ida'niichago dáácha .
7:2:002:1	Jáshowa daaztsą́
7:2:005:0	Áko ákwii Bókim hoolyée doo , dadííniidgo Bóhólníihii yich'į' nááda'iisnii' .
7:2:006:0	Áko Jáshowa éí diné yéé'níłnii'go , Ízrel dine'é t'áá ałtso kéyah ádíí' ádeidoolííłgóó dah nídahidiikai .
7:2:007:0	Áko diné éí Bóhólníihii yá nidaal'a'go Jáshowa bíiníłką́ , áádóó aląąjį' naazíinii Jáshowa bilááh ánízáágóó dahináá nít'éé' ; Bóhólníihii éí ayóó ádaat'éii yaa naagháii t'áá ałtso deinééł'į́į́' ; éí ayóó ádaat'éii Ízrel dine'é yá yaa naayá .
7:2:008:0	Áko Nan biye' Jáshowa éí Bóhólníihii yá naal'a'í nilíinii daaztsą́ ; neeznádiindóó ba'aan neeznáá binááhai nít'éé' .
7:2:009:0	Áko yóó'ádahoolaa ; t'áá hó hakéyah biyi' Tímnath-síírah kin shijaa'gi Dził Íífreiyim nahós'a'gi áhoolyé ; Géíyash dah yisk'idígíí náhookǫsjí haz'ą́ .
7:2:003:1	Ízrel dine'é t'áá ádzaagóó dahodeesá áádóó ándahodii'aahii binahat'a'
7:2:010:0	Áko éí da'ahílchíihii t'áá ałtso dahazhé'é yę́ę ahikááhgóó dadzizlį́į́' , índa bikéé'dóó nááda'ahideeshchínígíí éí Bóhólníihii doo yéédahósin da nít'éé' , doodaii' ayóó ádaat'éii Ízrel dine'é yá yaa naayáhígíí doo bił béédahózin da nít'éé' .
7:2:011:0	Áko Ízrel dine'é danilíinii éí Bóhólníihii binááł doo yá'át'éhígi ádajíít'įįd , áádóó diyin dabidi'níinii Béíyal daolyéii yich'į' nidahałáá nít'éé' .
7:2:012:0	Áko dabizhé'é yę́ę biBóhólníihii Diyin God yóó'adeideez'ą́ ; éí Ííjip kéyahdę́ę́' ch'íbiní'eezh nít'éé' , áádóó diyin dabidi'níinii yikéé' dah dahidiikai ; diné hanaagóó kéédahat'ínígíí bidiyin dabidi'níinii ła' yich'į' nitséédadigohgo yee Bóhólníihii yá nídahałchįįh nít'éé' .
7:2:013:0	Bóhólníihii yóó'adeideez'ą́ągo diyin dabidi'níinii Béíyal daolyéii áádóó Áshtarath yá nidahałáá nít'éé' .
7:2:014:0	Ákohgo Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįdgo aghada'ii'níiłii hoł nidínóodah biniyé yaa hodiní'ą́ . Hanaagóó hwe'ana'í kéédahat'ínígíí hwee ádídahólníihgo áhoolaa , áko hwe'ana'í danilíinii doo bídazhníłdzilgóó áhoolaa .
7:2:015:0	T'áá dah hizhdikááhgóó Bóhólníihii hak'ijį' nilį́įgo doo yá'áshónígi áháł'į́ ; Bóhólníihii áhodííniidígi át'éego áádóó ákódooníiłgo hach'į' ádee hadoodzí'ígi át'éego atíháł'į́ , áko ts'ídá ayóó át'éego bik'ee nitsijíkai .
7:2:016:0	Ákót'ée nidi Bóhólníihii éí ándahodii'aahii ła' há niinínil ; éí hwee da'ni'įįhii bits'ą́ąjį' yisdádahwiinííł nít'éé' .
7:2:017:0	Áko bi'ándahodii'aahii ts'ídá doo dayíists'ą́ą' da , nidi ałjiłnii bił ahé'éldahígi át'éego diyin dabidi'níinii yikéé' naanánooyéełgo yich'į' nidahałáá nít'éé' ; honít'i' t'óó yits'áhájeehgo dabizhé'é yik'ehgo deíkai yę́ę éí Bóhólníihii bibik'eh ó'oo'níiłii yik'eh dahół'į́įgo deidísin yę́ę doo yik'eh dahół'į́į́góó t'áadoo yik'eh ádaadzaa da .
7:2:018:0	Áádóó Bóhólníihii éí ándahodii'aahii há néidiinilgo Bóhólníihii éí ándahodii'aahii nídaadleehii yił dahólǫ́ǫ́ nít'éé' , áko hweda'ana'í bits'ą́ąjį' ánihodii'aahii yisdáhwiiníiłgo yiiníłką́ ; Bóhólníihii łahgo át'éego hąąh tsíńdeezkééz , háálá hweda'ana'í hade ádahósingo bik'ee chaał nidahojiyiinííh nít'éé' áádóó hóda'ats'ihgo bik'ee ti'dahojiyooznii' .
7:2:019:0	Ákódzaago ánihodii'aahii abííłkáahgo t'ą́ą́' dah nídahidiikááh áádóó t'áá bí t'óó nida'ádiyiishchxǫ'go dabizhé'é yę́ę biláahgo diyin dabidi'níinii yikéé' dah dahidiikaigo yá nidaal'a' índa yich'į' yaa á nídaat'įįhgo yich'į' nidahałá ; ádaats'įįł yę́ę áádóó doo ádabidi'nínígi ádaat'įįł yę́ę doo ni'hódeiléeh da .
7:2:020:0	Ákohgo Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįdgo ání , Díí dine'é éí shibee aha'deet'áanii k'ídeizti' ; dahazhé'é yę́ę éí yik'eh dahół'į́į doo biniyé bich'į' bee haasdzíí' nít'éé' , áko ádíshníinii doo dayíists'ą́ą' da .
7:2:021:0	Ana'í danilíinii Jáshowa daaztsą́ągo yi'oh ni'níghą́ą́' yę́ę doo ła' há ch'íhidínéeshkał da .
7:2:022:0	Áko éí ana'í bee Ízrel dine'é ádajít'éegi hwééhózíní áhodeeshłíiłgo nahóníshtaah ; Bóhólníihii bihonít'i'ii bik'eh ádajít'éego daats'í dajíkááh ; t'áá dahazhé'é yę́ę ak'eh dahóół'įįdígi daats'í ádajit'į́ , dooda daats'í .
7:2:023:0	Éí bąą Bóhólníihii éí da'ana'í ánéísįįd ; t'áadoo t'áá łahjį' baa ch'íníjée' da índa t'áadoo Jáshowa yílák'ee hodíí'ą́ą da .
