7:16:001:1	Géíza kin haal'áadi Sámson yaa naayáii
7:16:001:0	Sámson éí Géíza kin haal'áágóó jiníyáago áadi asdzání ałjiłnii léi' dziiłtsą́ , áko bił jineezhtéézh .
7:16:002:0	Sámson kwe'é níyá , daaníigo Géíza dine'é ahił dahoolne' . Áko kin haal'áago dáń'dítį́įhgi tł'éé' bíighah haa héeshjée'go yiską́ . Tł'éé' bíighah hasht'edadít'éego ádaaní , Háni'dii ha'íí'ą́ąjį' dahodiyiilyééł .
7:16:002:1	Sámson áádóó Diiláílah
7:16:003:0	Nidi tł'é'ííłníi'jį' Sámson sitį́į́ nít'éé' , áko tł'é'ííłníi'go nídii'na'go kin haal'áhígíí bidáádílkał t'áá áłah áádóó ałts'ą́ą́hjí bá íí'áhígíí índa naadasitánígíí t'áá bił hajíínilgo hawoostis dah dziznilgo Hííbran bíighahgi dah yisk'id bighą́ą'jį' hajizhjaa' .
7:16:004:0	Ákódzaadóó bik'ijį' Sórek yíldzisdi asdzání ła' Diiláílah wolyéego ayóó'ájó'ní .
7:16:005:0	Áko Filístiya dine'é bindanit'a'í baa yíkaigo ádabidííniid , Hach'į' baa nisi'níłdeełgo bee ayóó áhóodziilii índa haash yit'éego hak'eh dadidiidleeł , áko hoda'diitł'óołgo atídahodiilnííł . Áko t'ááłá'í niitínígo béésh łigaii ła'ts'áadahdi neeznádiingo naa dahidii'nił .
7:16:006:0	Áko Diiláílah éí Sámson ábizhdííniid , Ha'át'éegoshą' ayóó ánóodziil ? T'áá shǫǫdí bee shił hólne' . Índa haash yit'éego ne'astł'ǫ́ǫgo t'éí atíndi'doolnííł .
7:16:007:0	Áko Sámson éí asdzání ábizhdííniid , Ałtįįtł'óól t'ah ditłée'ii tsosts'idgo bee she'astł'ǫ́ǫgo lą́ą , áko t'áá ła' diné ádaat'éhígi át'éego doo shidziil da deeshłeeł .
7:16:008:0	Ákohgo Filístiya dine'é bindanit'a'í éí ał tįįtł'óól t'ah ditłée'ii tsosts'idgo asdzání yaa deiznil , áko yee hwe'aztł'ǫ́ .
7:16:009:0	Áko asdzání éí ná'áne'édę́ę́' diné héeshjée'go áyiilaa . Áádóó hadoolghaazhgo ání , Sámson , Filístiya dine'é nik'i dah yizhjéé' ! Nidi ałtįįłtł'óól bee hwe'astł'ónígíí tł'óół yilzhólígíí kǫ' bee yideez nahalingo jiizhnizhgo náhizhdiitah . Ákohgo bee hadziilii t'áadoo bił bééhooziní da .
7:16:010:0	Áko Diiláílah éí Sámson áyidííniid , Jó , t'óó shá nahosíníłt'i'go shinisínílo' . T'áá shǫǫdí hait'éegoshą' ni'dootł'óół bee shił hólne' .
7:16:011:0	Áko ábizhdííniid , Tł'óół ániidíii t'ah doo choo'įįhii bee she'astł'ǫ́ǫgo lą́ą , áko t'áá ła' diné ádaat'éhígi át'éego doo shidziil da deeshłeeł .
