7:9:001:1	Abímelek aláahgo naat'áanii nilį́į́ nít'éé' yę́ędą́ą́'
7:9:001:0	Áko Jerabéíyal biye' Abímelek éí Shííkem kin haal'áágóó jiníyáago hamá bik'éí áádóó t'áá ałtso hamá bizhé'é bik'éí danilíinii ábizhdííniid ,
7:9:002:0	Shííkem kin haal'áagi kéédahat'íinii t'áá ałtso dadi'doots'į́į́ł biniyé ádabidohní , Jerabéíyal biye'ké tsosts'idiin yilt'éego nihindant'áa dooígíí nihá yá'át'ééh , doodaii' t'ááłá'ígo daats'í nihinant'áa doo ? Béédaałniih , shą́ą́' t'ááłá'í dine'é daniidlį́įgo nihik'éí nishłį́ .
7:9:003:0	Áko hamá bik'éí éí Shííkem dine'é t'áá ałtso yich'į' díí saad t'áá át'é yee haa nidahasne'go Abímelek yikéé' deíkáah dooleełgo tsídadeezkééz , háálá ádaaní , Nihik'éí jílį́ .
7:9:004:0	Áko Béíyal-bíírith dílzinii bikindę́ę́' béésh łigaii tsosts'idiingo haa deiznilgo Abímelek joolyéii éí diné t'áadoo yee chodao'íní daígíí áádóó t'óó ak'i nidanilne'ii bich'į' ni'jiiléego hakéé' tádookai .
7:9:005:0	Áko Áfra kin shijaa'góó hazhé'é bighangóó ajííyáago hak'is Jerabéíyal biye'ké tsosts'idiin yilt'éego tsé t'ááłá'ígíí bikáa'gi nidzistseed , nidi Jerabéíyal biye' akéédę́'ígíí Jótham t'éí yidzíí' , háálá t'áá bíná'ádees'į́į́' lá .
7:9:006:0	Áko Shííkem kin haal'áagi kéédahat'íinii t'áá ałtso áłah silį́į'go Míllo kin yaa áhídóó danilíinii bił dashdiikai , índa Shííkemgi chéch'il áyah nii'áii bíighahgi Abímelek aláahgo naat'áanii ádayiilaa .
7:9:007:0	Áko Jótham bił hóóne'go dah diiyáago Dził Gérazim bighą́ą'jį' haayáago sizį́įgo yéego hadoolghaazhgo ání , Shííkem dine'é danohłíinii , dashíínółts'ą́ą́' , áko Diyin God nihółts'ą́ą' doo .
7:9:008:0	Tsin naazkaadii aláahgo yinant'áa dooígíí ak'ah yik'i yadeidooził biniyé dah diikaigo áliv tsin ádeididooniił , Nihinanít'áa dooleeł .
7:9:009:0	Nidi áliv tsin áhodidooniił , Da' shi'ak'ah bee Diyin God áádóó diné hoł nilínígíí bits'ą́ą́' dah dideesháałgoósh tsin naazkaadii t'áá ałtso t'éí binanisht'áa doo ?
7:9:010:0	Áko tsin naazkaadii éí fig tsin ádeididooniił , Hágo , nihinanít'áa doo .
7:9:011:0	Nidi fig tsin áhodidooniił , Da' bee łinishkanígíí áádóó bee shineest'ą' yá'át'éhígíí bits'ą́ą́' dah dideesháałgoósh tsin naazkaadii t'éí binanisht'áa doo ?
7:9:012:0	Áko tsin naazkaadii éí ch'il na'atł'o'ii ádeididooniił , Hágo , nihinanít'áa dooleeł .
7:9:013:0	Nidi ch'il na'atł'o'ii áhodidooniił , Da' shineest'ą' bitoo' bee Diyin God áádóó diné danilíinii éí bił hóshónígíí bits'ą́ą́' dah dideesháałgoósh tsin naazkaadii binanisht'áa dooleeł ?
7:9:014:0	Ákohgo tsin naazkaadii t'áá ałtso ch'il deeníní ádeididooniił , Hágo , nihinanít'áa dooleeł .
7:9:015:0	Índa ch'il deeníní éí tsin naazkaadígíí ádeididooniił , T'áá aaníí nihinaat'áanii ádashohłéehgo ak'ah shik'i yadaohsíidgo ats'ádashinołteeh ládą́ą́' , hágo , shichaha'ohgi nahísóotą́ nidi doo ákódaahnééhgóó éí háni'dii ch'il deeníní bits'ą́ą́dóó kǫ' hazdoosxihgo Dził Lébanangóó gadtsoh ałtso iididoołk'ą́ą́ł .
7:9:016:0	Éí bąą k'ad t'áá aaníinii áádóó t'áádóo nídíii ádeiilyaa danohsingo éí Abímelek aláahgo naat'áanii ádaohłaago áádóó Jerabéíyal índa bighandóó danilíinii yá'át'éhígi bich'į' ádaohdzaago , éí yaa naayáhígíí bik'ehgo baa nisoohkai ládą́ą́' yá'át'éhígi lá ádaohdzaa ni ,
7:9:017:0	háálá shizhé'é nihá naazbaa'go be'iina' ts'ídá nihá ninéidiní'ą́ , áádóó Mídiyan dine'é bits'ą́ąjį' yisdánihíínil .
7:9:018:0	Nidi shizhé'é bighandóó danilíinii díí jį́ bik'ijį' dasoolį́į'go biye'ké tsosts'idiin yilt'éego tsé t'ááłá'ígíí bikáa'jį' nidasoołtseed , áko shizhé'é éí asdzání há naal'a'í biyáázh Abímelek éí Shííkem dine'é aláahgo binanit'a'í nilį́įgo ádaohłaa , háálá aají nihí nihik'is nilį́ .
