7:21:001:1	Bénjamin dine'é bida'asdzą́ą́ dooleełii
7:21:001:0	Mízpeh kin haal'áagi Ízrel dine'é ádee hadahideesdzíi'go ádaaní , T'áá háiida nihitsi' dahólǫ́ǫgo Bénjamin dine'é doo ła' baa diiltéeł da .
7:21:002:0	Áko Ízrel dine'é Béthel haz'ánígi nidahaaskaigo ákwii Diyin God binááł nidzíiztą́ągo hwee ada'az'ą́ , áko baa saad haghą́ągo t'áá íiyisí dajíícha ,
7:21:003:0	áádóó ádazhdííniid , Ízrel dine'é biBóhólníihii Diyin God nílíinii , ha'át'éegoshą' díí jį́ Ízrel dine'é bits'ą́ą́dóó dine'íígíí ła' bidíníídee' ?
7:21:004:0	Áko biiskání t'ah abíínígo diné nídiijée'go bikáá' náá'iiniihí hadeiiztł'ingo didlidgo náádahaniihii índa hózhǫ́ǫ́jí náádahaniihii náádadziisnii' .
7:21:005:0	Áko Ízrel dine'é ádaaní , Ízrel dine'é bitahgóó ła' háidíígíishą' Bóhólníihii binááł áłah ílį́įgi doo nidziiskai da ? Háálá Bóhólníihii ts'ídá hódéét'i'go yadazhdiilnii'go bee ádee hadahizhdeesdzíí' yę́ę Bóhólníihii binááł Mízpeh kin haal'áagi áłah ílį́įgi t'áadoo ła' jiníyáágóó , T'óó hodi'yoolyééł , shą́ą́' ho'doo'niid ni' .
7:21:006:0	Áko Ízrel dine'é éí bik'is Bénjamin dine'é yaa a'áhí danízingo ádaaní , Díí jį́ Ízrel dine'é bits'ąą t'ááłá'í dine'é ábi'disdįįd .
7:21:007:0	Hait'éegoshą' Bénjamin dine'é daadzí'ígíí bida'asdzą́ą́ dadooleełígíí bá shódeidiilt'eeł ? Jó , Bóhólníihii binahjį' bee ádee hadadeedzíi'go ádadii'ní , Danihitsi'ké hoda'asdzą́ą dooleeł biniyé doo haa dahidii'nił da .
7:21:008:0	Áko ádaaní , Ízrel dine'é bits'ą́ą́dóó háidíígíishą' Mízpeh kin haal'áagi Bóhólníihii binááł áłah ílį́įjį' t'áadoo dazdeeskai da ? Nít'éé' , shoo , Jéíbesh-gíliyad kin haal'áádóó dine'é dah oonéłíjį' t'áadoo dazdeeskai da lá .
7:21:009:0	Háálá diné dajííłta' nít'éé' ; shoo , Jéíbesh-gíliyadgi kéédahat'íinii t'ááłá'í nidi t'áadoo ła' níyáhí da lá .
7:21:010:0	Ákohgo Ízrel dine'é áłah nádleehii éí bidine'é doo nídanilyéesii naakits'áadahdi míilgo ákǫ́ǫ́ yida'iisnii'go yich'į' yee hadaasdzíi'go ádeidííniid , Nihílááh , Jéíbesh-gíliyadgi kéédahat'íinii , asdzání índa ba'áłchíní t'áá daabił diltłish bee nidaałtseed .
7:21:011:0	Diné t'ááłá'í nítínígo índa asdzání bił naazhtéezhii t'ááłá'í nítínígo ałtso nidadoołtsił .
7:21:012:0	Áko Jéíbesh-gíliyadgi kéédahat'ínígíí ch'ikéí bízháán nidaakaígíí diné doo yił ahéédahólzinii dį́įdi neeznádiingo yik'ídaaskaigo Sháílohgi dah da'ínéhígóó Kéínan kéyahjį' nídeizh'eezh .
7:21:013:0	Ákohgo áłah nilínígíí t'áá át'é éí Ríman tsé si'áníjį' hasih haz'ą́ąjį' Bénjamin dine'é yich'į' hane' yił ada'iis'aadgo ádaaní , Nihich'į' dahózhǫ́ǫgo naałdeeh le' .
7:21:014:0	Áko íídą́ą́' Bénjamin dine'é nináhaaskaigo Jéíbesh-gíliyadóó ch'ikéí ninádajiizh'eezhígíí baa dadziiznil , nidi doo ałtso bininíłna' da .
7:21:015:0	Áko Bénjamin dine'é baa a'áhí dazniizį́į́' , háálá éí Ízrel dine'é bits'ąą nahjį' Bóhólníihii kóbiilaa .
7:21:016:0	Ákohgo áłah ílínídóó hastóí aląąjį' naazíinii ádadííniid , Hait'éegoshą' Bénjamin dine'é t'ahdii asdzání bee ádaadinígíí be'asdzą́ą́ dahólǫ́ǫgo ádadiilnííł ? Shoo , Bénjamin dine'é bits'ąą asdzání ałtso ádaasdįįd .
7:21:017:0	Áko ádadííniid , Bénjamin dine'é bíí' dooleełii ts'ídá bá át'ée doo , áko Ízrel dine'é bitahdóó doo ałtso ádoodįįł da .
7:21:018:0	Azhą́ ákót'ée nidi danihitsi'ké bida'asdzą́ą dooleeł biniyé doo baa dahidii'nił da , háálá íídą́ą́' Ízrel dine'é ádee hadadeesdzíi'go ádaaní , Bénjamin dine'é be'asdzą́ą dooleełii baazhníłtį́įgo éí hóyée'go há ha'doodzih .
7:21:019:0	Áko ánáádadi'ní , Bóhólníihii baa áłah ná'ádleeh t'áá nináháhááh bik'eh néit'aahígíí éí Sháíloh haz'ánígi éí Béthel kin shijaa' náhookǫsjígo , Bétheldóó Shííkem kin haal'áajį' atiinígíí ha'a'aahjígo índa Lebónah kin shijaa' shádi'ááhjígo t'éí bá náhoot'aah .
7:21:020:0	Éí bąą Bénjamin dine'é yich'į' yee hadaasdzíi'go ádaaní , Nílááh , ch'il na'atł'o'ii k'éédílyééhgóó dohkáahgo áadi aa híshóojée' doo ,
